
# The Grey Nato - Episode 05 - "The Baselworld Jet Lag Megasode"
Published on Tue, 29 Mar 2016 08:49:29 -0400



## Synopsis
Jason Heaton and James Stacey discuss their experiences at Baselworld 2017, sharing their thoughts and impressions on new watch releases from various brands like Tudor, Rolex, Tag Heuer, Zinn, Glashütte Original, MB&F, Oris, Omega, Rado, Doxa, Zodiac, Breitling, and more. They highlight their favorite pieces like the Tudor Black Bay Steel "Dark", Rolex Explorer updates, Zinn 910th Anniversary chronograph, Omega Speedmaster CK2998 Limited Edition, and others. They also share some non-watch related recommendations.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-05-the-baselworld-jet)
- [episode MP3](https://www.buzzsprout.com/2049759/11311119-the-grey-nato-episode-05-the-baselworld-jet-lag-megasode.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Welcome to Episode 5 of The Grey Nado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. I'm Jason Heaton, a Minneapolis-based freelance writer for a number of gear, travel, and timepiece publications including Gear Patrol, Hodinkee, Revolution, and Men's Journal. |
|James Stacey| And I'm James Stacy. Based in Vancouver, I call myself a professional enthusiast, and I write about watches, cars, and almost anything else that catches my eye for a blog2watch.com, Nouveau Magazine, and more. We're back from Basel, and that's today's main topic. I feel like we've aged a couple years apiece, and I have literally no idea what time it is right now. So we're gonna call this the jet lag special, and we're gonna get right into it. Jason, you had a couple extra days in Switzerland. How are you feeling? Coming down off the high that is Baselworld, or are you just kind of crashing as you got home? |
|Jason Heaton| Well, I'm just sort of clinging to being awake these days. It's good to be back to Curry and the cats and a normal bed. I was on an air mattress for six or seven nights there. So definitely good to be home. But, you know, I personally I thought it was a fantastic Baselworld. It was it was grueling. It was a lot of walking. From my perspective, it was a it was a great show. This was my third Baselworld. And I thought it was a really strong showing from a lot of brands. And I don't know, what was your what was your kind of initial takeaway from from the whole show? |
|James Stacey| I thought it was an amazing show. You know, I was there with, uh, with a blog to watch you there with gear patrol. And, uh, we had a great team this year with a blog to watch huge coverage, lots of success on Instagram. People seem to really be excited about quite a few of the watches. I don't think there was necessarily like one major winner, but the general level of watches, both in terms of. Companies that have tried something new and companies that are further kind of iterating on something that was successful.  I think we saw both sides of that coin. Lots of new colors and versions. Certainly, that seems to be the popular theme right now. Yeah, there was a lot of red and black this year. Yeah, exactly. A lot of red and black. We're still seeing a lot of blue. Obviously, bronze is a thing. |
|[No speech transcribed]|Yeah. |
|James Stacey|We're going to get into all of this. And before we get in too deep, for those maybe just getting to the show for the first time, we're going to talk about a lot of stuff coming up. It's almost all watches. If you have no idea what we're talking about, swing by SoundCloud.com.  and check out the show notes for this episode. Everything we mention will be listed there so you'll be able to see what we're talking about and get more details and things like that. |
|Jason Heaton|Be sure to check out both of our Instagram feeds as well as Gear Patrol's and a blog to watches as well because a lot of the watches that we talk about today are we took photos of and they are probably in our Instagram feeds. |
|James Stacey|Yeah, no doubt. The show didn't feel as busy as it has in past years as far as the general crowd.  You know, I spent my entire show in Hall 1 and 2, almost exclusively in Hall 1 this year, because there was just a lot of meetings to take. And it just didn't feel quite as packed as it did in previous years. I agree. I don't know if that's necessarily fair, and if we want to go even further into unfair information, an Uber driver told me that this is one of the only years where the hotels weren't slammed. |
|Jason Heaton|Well, I think a lot more people were using Airbnb or some sort of apartments this year. That was the impression that I got as well. |
|James Stacey| Yeah, the Airbnb thing works perfectly for that city because you don't have to move around very much. Like you can get the city centers relatively small. Yeah. You know, with exception, I thought that the show seemed a little lighter this year, but the brands came out in full force and we saw a lot of really exciting product. Right. It was it was a fun week. You know, overall, I guess we'll start with the first night that we both landed in Zurich and then made it to Basel was a Tudor party. |
|Jason Heaton| Yeah, that was fun. That was a really fun night. |
|James Stacey|Yeah. So, you know, we, we met up at a, at basically like a hotel and everybody got together and then we walked down to the river, the Rhine, and got on boats that were all kind of camoed out like skiffs. I guess it's fair to call them a skiff. Yeah. And an internal, you know, there was like a room inside the boat and we all kind of clambered in and it was really dark. Like you couldn't see anything. We knew essentially everybody that was there. It was all kind of well-known journalists from all the big blogs and websites and magazines and such.  And then they ferried us down the Rhine to like a secret location, which is like kind of a warehouse dinner event. And, uh, yeah, they had, uh, you know, it was a fun dinner and a fun event with lots of people. |
|Jason Heaton|And that's where they showed off the new bronze, which wasn't much of a surprise, uh, given the, all the, no, it was fully leaked all the leaks, um, which, which Tudor didn't seem too unhappy about, but, uh, I, you know, I think they took it in stride. Yeah. Um, but yeah, that watch was, was definitely the star of that night. But I think what was kind of interesting is, You know, they knew that it had been leaked, but there was sort of a high-ranking guy from Tudor in Switzerland who, towards the end of the evening, stood up and said that he had another surprise that he was withholding just for us in the room there, and he pulled out of his pocket the new Black Bay All Dark, which was the PVD case, all black version, which I felt, just personally, I preferred it to the bronze. I don't know about you, James. |
|James Stacey|Yeah, for me, Well, let's let's dig right in. So as far as product, the the bronze is larger. It's 43 millimeters. And it uses a obviously a bronze case uses a PVD treated case back so you don't have any of the kind of skin irritation issues with bronze. I'm not wild about the watch. People seem really excited about it. So I definitely understand why they made it. It's the brown coloring for the dial and the bezel that just doesn't work with kind of my taste. |
