
# The Grey NATO - Ep 50 - Oak & Oscar & More
Published on Tue, 09 Jan 2018 09:29:05 -0500



## Synopsis
This episode celebrates the podcast's 50th episode milestone. Jason and Blake discuss new gear they've acquired, including a backpack from Topo Designs and clothes from Outlier. Blake interviews Chase Fancher of Oak & Oscar about their new Jackson chronograph watch. Jason and Blake then cover final notes, recommending podcasts, articles, videos, and other content they've enjoyed recently.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-50-oak-and-oscar-and)
- [episode MP3](https://www.buzzsprout.com/2049759/11311071-the-grey-nato-ep-50-oak-oscar-more.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Blake Stacey| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. This is episode 50, and we thank you so much for listening. And actually, you know, with it being episode 50, Jason, I would also like to say just thank you for listening to 49 episodes so far The Grey Nado, eh, Jason? |
|Jason Heaton|Yeah, it's really exciting.  You know, sometimes you need to stop and kind of look back and, and, uh, absorb these milestones. And I guess until we started recording today, it hadn't even occurred to me that, you know, 50, that's, that's, that's legit. That's, that's pretty cool. So yeah. Thanks everybody for, for keeping us going and, and, uh, and making the Graynado as successful as it's been. |
|Blake Stacey|Yeah. And a nice way to kick off the new year. So we're well into 2018 by, uh, you know, 72 hours or so at this point and You know, how are things? How is the end of your year? We haven't talked in a little bit. You know, it's a busy time of year the last couple weeks of December. So how are things? Anything new or notable? You've got some pretty bonkers weather there. |
|Jason Heaton|Yeah, it's really cold here. You know, we've had a string. We had 66 hours straight, is what the news was saying, below zero Fahrenheit. So, you know, that's That's straight on cold, you know, even, even by our standards. And today's not much better. It's, it's pretty windy. And, um, you know, I was chatting with, uh, with Steven from Hodinkee, uh, the other day and he was out here visiting and he was quite happy to flee back to New York after visiting his in-laws out here. But, uh, it's, we're definitely in the thick of, of fire and whiskey season as people have probably noticed from, from my Instagram photos lately. Um, but it's, you know, it's fine. It's, uh, as long as you, uh, You dress appropriately and kind of keep your skin covered up. It's definitely tolerable. So how about you? You said you're expecting rain there in Vancouver. I can't even remember what rain is like. |
|Blake Stacey|Yeah, it's been actually, you know, if we think back to the last time we recorded, it's been a real mix. We had snow here for quite a while and then it rained for quite a while as it does and that cleared up all the snow and today it's just kind of foggy.  You know, we're holding above freezing temperatures, which is good for all the people who have to drive around here. They don't have a lot of cold weather driving experience. The average BC, you know, lower mainland driver. So they do a lot better at, say, two degrees instead of negative two. Yeah. And it's been, overall, it's been fine. We had a couple of really shining days. You know, my brother had some really amazing days up skiing in Whistler. So it looks like the season should be good for that.  You know, I can't really complain with two when, you know, I've got friends and family dealing with negative 20, negative 30s. |
|Jason Heaton|Yeah. Yeah. I think last time we talked, last time we did an episode was, if I'm not mistaken, it was our Colorado episode, right? |
|Blake Stacey|Yep. Yeah. So it would have been right on a month ago. |
|Unknown|Yeah. |
|Jason Heaton|Right. You know, we took some time off obviously for the holidays, but yeah, last time we met, we were skiing out in Colorado. It was pretty chilly out there.  Have you been out much, been outside much? You haven't been skiing since then, have you? |
