
# The Grey NATO - Ep 51 - Live From Geneva It's SIHH
Published on Tue, 23 Jan 2018 09:59:29 -0500



## Synopsis
The podcast discusses the notable watches and events from the 2019 SIHH (Salon International de la Haute Horlogerie) watch show in Geneva. The hosts talk about their favorites from brands like Baume & Mercier, Montblanc, Panerai, Cartier, Jaeger-LeCoultre, and others, highlighting aspects like design, pricing, and innovation. They also share behind-the-scenes experiences from attending the event and meeting brand representatives and personalities.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-51-live-from-geneva)
- [episode MP3](https://www.buzzsprout.com/2049759/11311070-the-grey-nato-ep-51-live-from-geneva-it-s-sihh.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Unknown| Hello and welcome to another episode of The Grey Nado. A loose discussion of travel, adventure, diving, gear, and most certainly watches. This is episode 51 and we'd like to thank you for listening. This is kind of a special episode. Jason is actually in tomorrow. It's Thursday evening for me. Jason, it's Friday morning for you in Geneva. How's it going? |
|Jason Heaton|Good, you know. Yeah, it's weird to be straddling two days.  Yeah, I'm craving good coffee and I've been here for a week and I got up this morning. It's about 8 a.m. here on Friday and I thought before we talked, I think you're having whiskey and I'm having coffee here. I have them both to stay up. I ran down the street to get a coffee because I don't have any in this Airbnb that I'm in. And it's like, you know, I just can't get good coffee in Geneva. I just can't wait to get home to like make a good AeroPress or a pour over or something. But that'll come soon. |
|Unknown|I mean, so much of these shows, all you get is an espresso. |
|Jason Heaton|Exactly. |
|Unknown| Yeah. And I like Nespresso perfectly fine. I have one and I kind of bounce it between that and the AeroPress like you mentioned. Yeah. But I mean, you go to these shows and after about the 20th Nespresso in two days or three days. Yeah. It really starts to feel like acidic and not at all like coffee. |
|Unknown|Yeah. |
|Unknown|Yeah. And you start thinking like there's a reason that Nespresso like puts this as a shot and not like four or five ounces. Right. It's just, you just put it down and then you're awake for a bit and you move on to the next thing. |
|Jason Heaton|Yeah, that's so true. Yeah, but I'm, I'm wrapping up here. So I'll, I'll be, um, uh, I'll be flying out tomorrow morning and I'm quite, quite happy to get home. But, uh, yeah, one more day. |
|Unknown|And that's great. And, and SIHH, what did you think this year? I don't even know really where to start. I obviously wasn't there. I dealt with a huge amount of FOMO.  uh you know that's the fear of missing out and uh you know it looks like everybody had a really good time all the the normal cast and crew were uh on site in Geneva and and I actually think there were some pretty at least noteworthy watches but I actually think there are a couple ones that like are good like good and I would aspire to own uh so I'm I'm excited to see what you thought you know having been there so please. |
|Jason Heaton|Yeah I um I agree I mean I think it was some some good watches. I feel like the industry's turned a corner a bit. I think watches are, you know, SIHH in the past couple of years has been such a show all about, and rightly so, about, you know, the really high-end stuff and innovation and watchmaking. But I was always a little bit disappointed not to see some, you know, good solid sort of TGN worthy sports watches. And this year there were a handful of really good things.  Um, yeah, we can chat about it a bit here, but you know, for me, the show is, um, as you remember from last year, you know, it's just, it's more about seeing people and, uh, whether it's the folks from the brands that, you know, being out in Minneapolis or you in Vancouver, you know, we just don't get to see them as regularly as the people that live in New York. So it's nice to see them. And then the, you know, the usual cast of characters from, uh, you know, analog shift guys were here, Jacob and James and, um, uh, Ted Gashew got to chat with him and And, you know, the whole gang from Hodinkee and some of the Gear Patrol guys that I haven't seen for a while, Red Bar guys. And then I jumped, bumped into a guy, his name is James. He's a co-owner of Astwood Dickinson in Bermuda, who I met like on an America's Cup trip a couple of years ago. And we were, he was playing darts in a pub and I bumped into him. So, you know, for me, these are the memorable experiences. I mean, you know, the watches are kind of a fleeting quick try on the wrist, take a couple of photos and move on.  But yeah, we could we can certainly jump into the watches. |
|Unknown|Well, yeah, I mean Let's split it up between watches and if you know, I think you went to a couple cool dinners. |
|Jason Heaton|You saw some celebrities Let's you know, I mean, I think you and I both probably are gonna overlap on some of our favorites from the show The one that was announced Prior to to the show one of them that was announced prior to the show. I think that was a hit for Bowman Mercier was that baumatic watch, which isn't exactly TGN material, but the price is right. And it's, you know, if you're someone who's in, in for a, uh, a nice dress watch, um, you know, 2,700 bucks, uh, for a nice little 44 or sorry, 40 millimeter steel watch with the movement chops that that watch has, um, is, is really impressive. And that's kind of Balmain Mercier's, I guess, bread and butter are the kind of entry-level affordable stuff, um, of all the brands here. Um, I don't know if you, you know, You saw that if that appealed to you, but it has that almost, it almost has like a geophysic. Yeah, definitely. |
|Unknown|Aesthetic with the crosshair dial. It kind of has the same sort of philosophy as the geophysic as well, where it's into the, it has, it has that nice aesthetic, that kind of proven reserved sort of Swiss simple aesthetic. |
|Unknown|Yeah. |
|Unknown|But it has a couple of nice feature points, a nice bright dial, you know, applied markers. I think a pretty good date window.  I really like that the depth of the date window's very thin, so either the dial's very thin or the movement and the case and everything are nice and tight, so you don't get that big shadow. Right, right. And I know that's really picky, but I just, I've started to get really tired of date windows, especially when you see some watches that just flat out don't have them. Yeah, yeah. And you realize, like, from a design aspect, it's just great. Yeah, yeah. And, uh, and, and then I like the BOMATIC and I like, you know, it's a white dial with a white, uh, with a white, you know, date display and, And then on top of that, you've got a bunch of silicon elements in the movement. And this is going to be a shared movement. Yes. Among other Richemont brands, I believe it actually shows up. I read, I at least read online that it shows up in some form in the new Panerai, which we can talk about in a moment. Yeah. Maybe it's the base movement that they went that way, but look, it's under three grand. Yeah. It's steel, it's 40 millimeters, and it has a high-tech movement.  It's not exactly bound firing a shot across Omega's bow. Right. But it's them saying like, Hey, you know, we can get into using these very modern higher tech materials to make a watch that probably will require less fuss over time. You're not going to deal with as much magnetism or wear and tear on the movement. |
|Jason Heaton|Right. And, you know, speaking of the movement, um, you did mention that the Panerai, but the big kind of controversy here is that, um, another watch that isn't exactly in our wheelhouse, but the Vacheron launched this new 56 line, which is kind of a quote-unquote entry level for Vacheron. I think they were trying to, everybody was pretty clear that they were trying to appeal to kind of a younger generation, bring some new buyers into the Vacheron kind of fold. But the controversy was, is that the basic automatic Vacheron 56 actually uses a form of that baumatic movement without the Geneva seal finishing. And so I think some people feel like that kind of waters down Vacheron. |
|Unknown|So it's, um, it was really, it seems outside their game. Yeah. Yeah. But I think this is also the, the world in which Richemont is going to play now. Right. And I think it's just a question of, you know, if you spend this kind of money to develop a movement, little bits and aspects of the movements will be passed around and Swatch has been doing it for five years, 10 years. |
|Jason Heaton|Yeah, exactly. |
|Unknown| Yeah. Even longer than that, if you want to consider ETA, right? Right. As a sort of legacy thing. Right. But, you know, Blancpain will have something borrowed liquid metal from here that Omega made or Omega will have an SI14 balance spring that they got from somebody else. And, you know, it's these technologies and that's the power of having these huge kind of conglomerates. Yeah. But yeah, I think in some ways it can backfire on a brand like Vacheron, which has high-end appeal. Yeah. Which, you know, I think part of that comes from it standing, specifically standing separate from other brands. Right. And maybe with the 56, they figured this isn't going to be for our normal buyer. |
|Jason Heaton|Yeah. And I think, you know, I think what they're banking on is that it won't alienate their kind of faithful, but they'll make enough by selling it to a new crowd to, you know, maybe You want to keep a brand viable and make enough money to kind of turn out the high-end stuff that you're known for. So if it works for them, that's great. I hope it does. But yeah, it was kind of a bit of a talking point, I guess, around the show for the basic automatic one. |
|Unknown|What did you think of the Bowmatic in person, on wrist? |
