
# The Grey NATO - Ep 52 - Watchmaker Q&A // Jason Gallop (Roldorf & Co)
Published on Tue, 06 Feb 2018 09:43:28 -0500



## Synopsis
This podcast features a chat and Q&A with watchmaker Jason Gallop of Vancouver's Rolled Orphan Co. Jason shares his background and journey into watchmaking, which began in London and took him to Switzerland for further training. He moved to Vancouver and initially worked for Rolex before eventually starting his own business. The conversation covers a wide range of topics related to watchmaking, including watch servicing, parts and movement types, recommended service intervals, and tips for watch owners. Jason provides detailed insights and advice based on his extensive experience.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-52-watchmaker-q-and)
- [episode MP3](https://www.buzzsprout.com/2049759/11311069-the-grey-nato-ep-52-watchmaker-q-a-jason-gallop-roldorf-co.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Podcast Host| Hello and welcome to a special episode of the Graynado. The following is a chat and Q&A with real-life watchmaker Jason Gallop of Vancouver's Rolled Orphan Co.  We recorded this chat in Jason's Land Rover on Cypress Mountain in Vancouver, and Jason was kind enough to share his watchmaking story and answer a bunch of your questions. For those that sent questions in, please know that we had far too many questions for just one chat, and we'll be sure to have Jason on again soon for a second round of Q&A, so if we didn't get to your question, just sit tight. You can find out more about Jason and his watch retail and service business at roldorf.co on the web, or you can go to Instagram and follow him at roldorf.  But without further delay, let's tune into the Land Rover. Jason, how's it going? It's going really well. Thanks for being back on the show. We had you a while back with Merlin. I think I've been promising people for a while that we'd have this chat with a watchmaker and that watchmaker is of course you. And it's something that I've been very keen on doing because I get, we get a lot of emails asking sort of watch service related questions. And, and I think it's going to be, fun to answer some of those questions. And also you have a what I think is a very interesting story. And then on top of that story, it's a diverse story, but it's also a very TGN sort of story, your interests, as you and I've got to know each other, our interests have like repeated overlaps, which I've always liked. So so in brief, you today run and operate roldorf and co the watch store and service provider in Vancouver, but if you could, could you give us kind of an origin story where you came from and how you got all the way to a watch store on the West Coast? |
|Jason Gallop|Yeah, absolutely. Yeah, it's kind of a long story. It starts when I was 17 and a half, I guess. I didn't quite know what to do with my life. My father was a goldsmith, so I'd had the industry around me, but a very heavily weighted towards goldsmithing kind of experience, which is not something I really wanted to do. I was the kind of kid that built Meccano and Lego when I was a kid. I was just fascinated by mechanical things and that. So my dad suggested watchmaking to me, I think primarily because he had a partner that was a German watchmaker that had a store below his workshop.  And I used to sit with him during the summer where I couldn't stand being up in the workshop with my dad because it's hot, sweaty, goldsmithing type workshop. And I was just fascinated. I was fascinated by the size of things, how things were small. So, yeah, I went into the British Horological Institute. They were operating out of a school in East London in a place called Hackney.  And, um, I went in there and met with some, some incredible people. It was a two and a half year program, um, covering everything from, you know, watches to clocks, manufacturing, uh, to repair. Um, and, uh, it was, it was a great, a really great experience. In the, uh, in the late eighties, there wasn't any internet and, uh, travel was a little different then. So.  Especially coming from an island place like England, if you're just a regular person, travel was a big deal. Even just to the coast was a big deal. So actually having the opportunity to go out to Switzerland and study out there was incredible. So my high school French wasn't too bad, so that was lucky.  got out at the beginning of 1988 to Wasstep in Neuchâtel with Antoine Simonnet being the instructor and director of the school then. |
|Podcast Host|How long was that program at Wasstep at the time? |
|Jason Gallop|At that time it was almost six months, five and a half months. So they were taking students that already had prior experience one way or another.  Um, whether it be through places like the British Horological Institute and, uh, those types of watchmaking school or those people that are, that are apprenticed in companies, or you'd just been a, an independent and we're just working away, but wanted to get some more, more knowledge, a deeper knowledge. Yeah. So I spent the winter of 88 out in, uh, Neuchatel doing a little bit of, uh, skiing as well and, uh, and stuff like that. |
|Podcast Host| And you had some notable classmates as well. |
|Jason Gallop|Yeah, I guess so. Yeah, Stephen Forsey was in my class, and Peter Speak, Peter Speak Marin, as well. And then Stephen and I actually went to Wastep together. So we were there together, and that's where I met Currie Wilter-Leinen, who was a student there as well.  So that's quite the roster these days. Yeah. There must've been just, I think there just must've been something in the water. Yeah, exactly. You have to remember too, that this was a very strange time for the, uh, for the Swiss watch industry. Um, it had just gone through, uh, what most would, would consider Armageddon, uh, in the early, in the early eighties and was just really starting to, to recover. So, uh, and there was a renewed interest, I think, on the Swiss side. And that's where it became really interesting. And I think that's why many of us had wanted to either teach or produce our own thing. I know I left there certainly with the aspiration to be making my own watch, just even as an exercise to go through that. Or I ended up in Vancouver, but the thoughts of starting up a watch school here Because this felt, Vancouver felt very much like an outpost at that time. Right. It was very, very far away from the industry. Super remote, yeah. Yeah. And most of my friends and classmates were kind of shaking, shaking their head going, what, what's really going on here? Why would you do that? |
|Podcast Host|And you came to Vancouver in 88 right after Wolstead? |
|Jason Gallop|Yeah. It was kind of, it was kind of, it wasn't really planned to be Vancouver. It was supposed to be, it was supposed to be Toronto. |
|Podcast Host|Okay. |
|Jason Gallop| I was working for Rolex at the time and I was very lucky enough to get a transfer over to Rolex in Toronto, but right at the last minute my parents decided to move to Vancouver instead. I think it's that East Coast weather, you know, my dad flew out while I was at Wastep to Toronto and he came back and he was like, there is no way we are going to live down that.  That's crazy. So he came back to London, kind of disheartened, and spoke to the immigration officer we were working with. And he said, no, Vancouver's the place for you. British Columbia, why not? So my dad went, yeah, sure, OK, we'll do that. And we came out his site unseen. |
|Podcast Host|And you've been here ever since? |
|Jason Gallop|Yeah, I was drop shipped, ultimately. I went to Toronto for a short period of time. But I kept getting calls from my dad saying, why are you doing this? You should just come back. Let's start a business together.  Sure. And so I did come back, but never actually ended up working with my dad directly, as most sons probably can attest to. It's not easy working with a parent. |
|Podcast Host|No, certainly not. I think you're either too much alike or too different, or both at the same time, right? |
|Jason Gallop|Yeah. You know, you both have very, very high aspirations, and your ideas maybe step on the other person's ideas. You're the young whippersnapper,|
|Podcast Host| And then with today's chat, we've driven up to the Cypress ski area, and you were saying on our drive up, you know, I figured we, you know, it's nice to be able to get out and do these recordings in a scene that feels fitting for the topic and all that sort of thing. And you've got this lovely Defender 90 that we're out in and that you picked up just earlier. Well, I guess we're now in 2018, so mid-2017. Yeah. And there's a fun story that goes along with that, too, a real pilgrimage.  Yeah. Also coming west. But you were saying that you, when you first came out here, you know, there's a bit of snow on the hills today and a few of the, a few of the lifts are open at Cyprus. But you were saying you were skiing one time in Switzerland and then your next skiing was out here. |
|Jason Gallop|Yeah. In the same, in the same year, it was, it was, it was pretty amazing. When you think back to 1988 and stuff like that, I never even really heard of Vancouver that much.  But then to actually be here and there be skiing here, which was fantastic, because I did a little bit of skiing in Switzerland while I was over there. I had to get on snow because I'd learnt the year before to ski in the south of England on a dry slope, which was brushes. So my first experience in snow was in Switzerland.  I arrived here and I didn't want to just sit on my laurels. I needed to work at something. And I just thought, hey, what better than to actually get out and work at a place where skiing was going to be free for me. So I worked up here that first season. |
|Podcast Host|And Vancouver would have been obviously massively different. That was just after Expo 86.  And then, of course, long before things like the Olympics and the better road to get up to Whistler and all these sorts of things that are all really, like, only predate my time in the city by a very little couple of years. |
|Jason Gallop|Yeah, well, I grew up in London, and it's a very big, busy, bustling city. And I arrived in Vancouver, and it felt like a village. Nobody was out after 9 or 10 o'clock at night. You know, drive down Georgia Street at 10 o'clock No one. It's like, what's going on? But, uh, certainly is nice up here. That's for sure. I love the mountains here. |
|Podcast Host|It's fantastic. So after making it to Vancouver, uh, you departed the watch scene briefly or? |
|Jason Gallop|Well, I stayed in it up until, um, 97. Um, uh, one way or another, I was, I, I worked for a company here, um, as a Rolex watch, uh, watchmaker, uh, within a company called Berks. Um,|
|Podcast Host| Canadian phone numbers. |
|Jason Gallop|Yeah, it's a very big Canadian company. This is while it was still family owned and stuff like that. So I saw that company go bankrupt and lose its Rolex agency. And then I went certainly independent from there. That's when I decided I was going to take on a few brands that weren't around town. So Zodiac was one of those brands. Jean D'oeuvre was another.  And then I also had some pre-owned watches that I kind of dealt a little bit with, which was really fun, but had my workshop in a shop on Howell Street that was another Brit that started up a jewellery shop. Yeah, it was a good time, but then I decided that I wanted to make a change. I love change. It's part of my DNA coming out coming out here doing something adventurous like that. And, uh, I got, I got a, uh, I had a, uh, an opportunity to work for a high tech company out here called, uh, Creo. Um, not many people in the watch industry would know that name, but, uh, certainly in the printing industry. So I was doing quite a bit in the way of, uh, micro mechanical engineering, uh, working with, uh, lasers and optics, micro optics.  And, uh, in, in research and development. And that was with, uh, with a very, very modern tech company that was on the bleeding edge of, um, uh, organizational behavior, being able to work when you felt most, uh, productive and not coming in, um, when, when you didn't think you were going to get much done. Um, so that kind of flexibility, which I had never seen before, and I saw the benefits of it. It was quite incredible.  So yeah, so I worked with them until they were taken over and systematically broken down by Kodak. And I took my severance, decided to go to university, do an MBA, so I could put some education behind the practical experience that I actually had. And it was really, really fantastic. And during this whole period of time, I was doing other really cool things.  scuba diving and things like that. |
|Podcast Host|Yeah, because you're an instructor level with BASC, right? |
|Jason Gallop|Yeah, actually with PADI. |
|Podcast Host|Oh, okay. I don't know why I thought BASC. |
