
# The Grey NATO - Ep 53 - A Tale Of Two Dive Watches
Published on Tue, 20 Feb 2018 10:05:09 -0500



## Synopsis
The hosts discuss Jason's recent experience driving AMG cars on a frozen lake in Winnipeg, as well as their upcoming travel plans to events like the Breitling launch, Bremont Townhouse, and Baselworld watch fair. They then review two affordable dive watches - the Farr Aqua Compressor Levin and the Mark II Paradive G3. The show wraps up with final notes including recommendations for the film "Treasures from the Unbelievable Wreck", an article about polar explorer Henry Worsley, and a must-watch video of skier Candide Thovex performing incredible stunts.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-53-a-tale-of-two-dive)
- [episode MP3](https://www.buzzsprout.com/2049759/11311068-the-grey-nato-ep-53-a-tale-of-two-dive-watches.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. This is episode 53, and we thank you for listening. So James, it's been a while since we talked. I think our last time we talked was kind of the post-SIHH episode, and then you had your interview show with Jason from Rolledorf, which was really cool.  Yeah, it went well. Yeah. So what's been up with you since a few weeks back? |
|Jason Heaton|So travel started to kind of spin back up for the Nuvo gig. So I was in Winnipeg for about two and a half days with Mercedes-Benz. They do like an Arctic winter driving course on the frozen Lake Winnipeg. So AMG is the performance division of Mercedes and they do something called the AMG Driving Academy, which is courses all over the world at racetracks, at all sorts of different scenarios where an AMG vehicle would be suitable. Yeah. So it could be like off-roading in a G or a racetrack in a GTR, or in this case, they have two locations in the world where they do winter, uh, ice driving. So studded tires.  And we had CLA 45s, which is kind of the small sedan that AMG makes with Mercedes. And then the C63, the kind of classic, used to be their small sedan, but it's now a slightly bigger sedan. And then the big guy, the E63S. You got to drive all three? Yep. Yeah, many times. It was basically just It was all car time. I mean, for one of these courses, it's not cheap. I mean, I think if you want to do the full thing, which is, I got about one and a half days of the three-day program in this press sample. And I think if you want to do the full thing, it's a little over 5,000 Canadian. Holy cow. Wow. But if you're really into this, it seems expensive upfront. But if you're really into the idea of wanting to do this type of a course and not have to use your own car and have instructors that are just AMG instructors, That price includes everything basically once you've landed in Winnipeg. |
|Unknown|Oh, okay. |
|Jason Heaton|So they get you from the airport. They get you up to Gimli. That's your hotel, like the resort, the food, the instructors, the car time, and then a drive back to the airport. It's all, it's pretty much a flat rate. And, um, and, and you spend all, pretty much all the time driving. Huh? Nice. So it's multiple like 40 minute sessions and you just move from one of the cars to another. Wow. And they, you know, you each, car group kind of has its own assigned instructor class. And then they give you, it's some of its drills, some of it's open driving and it's 360 plus acres that they've used of the lake to cut in these like really beautifully groomed courses. So you start with simple stuff like big circles and peanut shapes and maybe like a slalom course. And then you, you, they kind of graduate you to road courses essentially. So there's no elevation change cause you're on a frozen lake. Right.  But all sorts of left and right turns. And the idea is to slide and drift as much as you possibly can. |
|James Stacey|Were all three cars all-wheel drive, or rear-wheel drive, or both? |
|Jason Heaton|So the CLA is all-wheel drive with a front-wheel drive bias. So most of the time, it would be front-wheel drive. Then if you're in a slippery scenario, you get rear-wheel drive. So it's very predictive, very easy to control. And then you have the C63 is rear-wheel drive all the time.  which makes it a handful, but it feels very natural when you start to slide. And then the E63, not only is it 600 horsepower, it's also all wheel drive with a rear bias. Oh, wow. Yeah, lots of fun and intimidating. They want you to move fairly quickly in the cars and it's hard to understand how well studded tires work if you've never done that before. And the answer is they work pretty well, even when you've got a ton of power to throw around. And then if you wipe out bad enough, throw yourself into a snowbank, you can try and dig yourself out and get a push. And if you can't, then they bring over the vulture, which is a big matte black G-Wagon and they tow you out. And then they take a hole punch and they punch your card. Oh, geez. |
|James Stacey|I saw a photo. You put one into the snowbank. |
|Jason Heaton|Oh, I sure did. Yeah, yeah, yeah. I was in the car getting an instruction from the lead instructor or the chief driving instructor for AMG, this guy named Reinald. And I was attempting to do what he was telling me to do.  in his very stern German accent. And I just overcooked to the end of the slalom, and I was moving apparently too quickly. And when I got on the brakes, I swear I picked up speed. And yeah, right up into a snowbank, probably three quarters of the car. |
|James Stacey|Does that damage the plastic fairings? |
|Jason Heaton|They have special compression bumpers. The bumpers in the photos don't look like a normal AMG bumper. I see. So they didn't seem concerned about damage.  really at all, the bigger concern is if you have people go off, then everyone has to stop. Oh, sure. While they pull you out. So if a couple of people go off, you could lose half of your driving time for that segment. Yeah. Yeah. You know, cause if, if the whole group has to assemble with the first car that goes off, dig them out, try and push doesn't work, tow them out. That's seven or eight minutes or whatever. Right. Progress all the way down the course. A couple of these courses were like multiple miles long. Yeah.  get down there, do it again to the next person and you're through nearly 20 minutes. So that became the biggest impetus for not wiping out was you didn't want to be the guy that was making it so that other people couldn't, you know, be drifting and having fun. Right. Yeah. But that was really good. And it was probably the best thing to do is to crash early in the morning and then work my way back up in terms of confidence. Yeah. Yeah. And by the end, you know, you're in the big one, the E63S or I was due to my rotation and you're on kind of a big open course. And I had Reinald back in the car with me and, uh, and I was having a much better time, um, you know, finding the point where the car would slide and how much power you really needed. And it, it really felt like you could do it in any of the cars, but they all required kind of a different level of finesse. Oh, sure. Uh, so I could imagine if you, uh, you know, if you, like I said, we had roughly one full day and then an hour or so in the evening.  But if you bump that up to three days on the ice, I really feel like you could come out of there with a new skill set, pretty much. It's a, it's, it's pretty cool. Definitely not a cheap sort of thing to go do, but you know, people go on other vacations that have adventure aspects and costs lots of money, big dive trips, things like that. And I could see this being very appealing to, you know, the enthusiast driver who doesn't get a chance to drive on a frozen lake, or is maybe a little bit tired of spending his money to drive on a track where you don't get a really sliding, you know, a low friction surface, things like that. So it's definitely not cheap, but it is definitely really cool. And if you're in a situation where that's an option, I think they put on a really good program. |
|James Stacey|Well, it seems like there are a lot of brands doing this stuff now. I saw somebody else recently posted something with McLaren was doing it. I know Porsche. |
|Jason Heaton|McLaren has one in Sweden. Porsche has a couple throughout Europe. Yeah. I mean, a lot of the brands use Sweden to do these ice driving or snow driving situations because they're already up north doing Arctic winter testing. Oh, right. Which is very common because in Sweden you have access to the Arctic Circle. Yeah. So, I mean, there's lots of stories of, you know, guys driving AMGs from Germany to the Arctic Circle, turning around and driving home just to prove that some new piece or something they did was effective. Yeah. The McLaren one I'm sure would be an absolute blast. Yeah.  Yeah. And I know I saw, um, Amy Shore, who I think we both follow on Instagram, great photographer who I think she shot the stuff for fair, who we'll be talking about a little, little while later. Yeah. Um, she was doing one with a Land Rover. Oh, cool. Like in the last a couple of weeks. Yeah. So yeah, I think it's a, I think it's a pretty popular thing. And I think, you know, it's one thing to take, like, do you want to take a Land Rover to a track? Right. You know, and, and maybe McLaren just gets tired of running track events. Yeah.  Yeah. And they feel, you know, I think this, it is about car control, but it's also giving people the ability to kind of go buck wild. Yeah. Because when the car starts to slide, like when you initiate the slide, you really need like in, even in the big AMG, like more than 4,000 RPM to do it correctly. Yeah. So you get this huge roar from the engine. It's, it's a, it's a lot of, it's a lot of fun. |
|James Stacey|Oh, I can imagine. I'd love to do that. Yeah. Well, I have to settle for the city streets around here. I mean, you know, you're from, back east in Ontario. And I have often thought that a course like that, not quite that extreme, but a course like that, which would almost be required to get driver's licenses in this part of the world. You know, these Northern climates where you're driving on ice and snow several months out of the year. |
|Jason Heaton|I always get a laugh in Vancouver when we get snow a couple of days a year or whatever. The level of driving that's clear when you, you know, people who go their whole lives and don't drive in a low friction environment. Right.  and they're on tires that aren't appropriate for it, and they're trying to go up or down very steep hills. I mean, you can really get the jackpot of slippery driving accidents in and around Vancouver. And certainly growing up in Ontario, it became common stance to drive all manner of ill-equipped vehicles in bad weather. I laughed with friends that I don't think I ever owned a winter tire until I lived in Vancouver.  Yeah. You know, growing up in Ontario, you just had all seasons. Sure. And you just changed the way you drive. Yeah. And I just didn't, you know, at the time I wasn't smart enough or, you know, had enough cash to be swapping, you know, different tires on my old wheel of Leros. Right. Right. |
|James Stacey|Yeah. Yeah. Yeah. Well, speaking of that, I, um, I did a little wheel swap on, on the old Land Rover here, uh, a couple of weeks ago. |
|Jason Heaton|I saw this on Instagram. Yeah. Yeah. |
|James Stacey|Yeah. Um, You know, a guy we've talked about on a past show, Myron, who runs Rover Haven Straps, he's over in Michigan, and he's a Land Rover guy, and he had a spare set of kind of period correct, if you will, steel Land Rover rims with Nokian Hakkapelita winter tires mounted on them. And I'd been wanting to kind of swap the aftermarket wheels that came on my Land Rover from the last owner for something a little more fitting for the vehicle.  And he had them. And so we made a deal and he actually was, was nice enough to drive over, you know, 10 hours from Michigan. And then we put them on one afternoon and, and it's great. I mean, you know, the, the wheels look great, but, but the tires are, are arguably some of the top winter tires. You know, people talk about blizzacks and continental contacts and stuff, but, but Haka Polita is, it's a Finnish tire and, and, uh, they know a little something about winter driving and, um, yeah, they're, They're pretty cool. I mean, I don't actually drive a lot in four-wheel drive. I haven't had to use it that much this winter. And these tires do make a difference, even on the ice, just in standard rear-wheel drive. So I'm pretty happy. Nothing certainly like what you had. |
|Jason Heaton|Yeah, we were driving also finished tires, but hand-studded lappies. Oh, wow. So it's this really interesting story. I'll actually throw it in the show notes, but it's this couple, a man and his wife, that hand-stud lappies. |
|James Stacey|That's amazing. |
