
# The Grey NATO - Ep 54 - New Watch Season
Published on Tue, 06 Mar 2018 09:44:45 -0500



## Synopsis
The hosts Jason and James discuss new watches they've acquired or are interested in, including the Garmin Descent Mark I dive computer and the new Hamilton Khaki Field Mechanical 38mm watch. They also recap Jason's recent trip to New York City for the launch of the new Breitling Navitimer 8 collection and provide their thoughts on the new watches from Breitling. The discussion covers the brand's new direction under CEO Georges Kern and their inspiration from vintage Breitling designs. Finally, the hosts share some podcast, book, and video recommendations related to space exploration and watchmaking.
For their podcast recommendations, Jason suggests the audiobook version of The Right Stuff by Tom Wolfe narrated by Dennis Quaid, and James recommends the Watch and Listen video podcast by Matt Farah and Cameron Weiss. Jason also recommends the book Endurance by Scott Kelly about his experience as an astronaut spending a year on the International Space Station.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-54-new-watch-season)
- [episode MP3](https://www.buzzsprout.com/2049759/11311067-the-grey-nato-ep-54-new-watch-season.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| We're back from New York City and full of coffee. Hello, and welcome to another episode of the Graynado, a loose discussion of travel, adventure, diving gear, and most certainly watches. This is episode 54, and we thank you for listening. Jason, how's it going, man? Good, good. |
|Jason Heaton|Yeah, it was good to see you last week. It was a fun whirlwind, you know, 24 hour trip, but yeah, it was good to connect.  Fun times. |
|James Stacey|Yeah, it's a real treat when you get to see you and Ed and David from a blog to watch and Barbara. And really, we saw just about everyone, a bunch of the Hodinkee crew was there for the Breitling thing. And I just it's so strange to go to a city like New York for like, yeah, like 20 hours. Yeah. Yeah. We saw the inside of a hotel. I saw the inside of a car to and from the hotel.  And, and the watches are great and all of that's great. It's just very strange to go to a city where you could literally do anything. Yeah. And have such a great time. Like I've had great times in New York before, and I've never gone for so little time that I don't actually go outside. |
|Jason Heaton|Yeah. We might as well have been flying to the middle of the desert or something. |
|James Stacey|Yeah, it could have, yeah, exactly. It could have been a convention center, literally anywhere. Yeah. |
|Jason Heaton|Yeah. I did manage to sneak up to the Hodinkee office for just about an hour, but yeah, other than that, it was hotel, car.  you know, party, hotel, airport. Yeah, but anyway, it was fun. |
|James Stacey|Yeah, we saw a lot of people. Yeah, for sure. No, it was a really good crew and Breitling put on a big event. This is clearly a pretty big deal to them and we're going to get into the watches in short order, but we have some other kind of general what's newness to cover. So what's new in your neck of the woods? How's winter treating you in the cold? |
|Jason Heaton|Pretty well done with it. I mean, I'm ready to be Ready to move on. I, I, I'm a winter lover and it's been a great winter for, for cross country skiing here. And I've been doing a lot of that, but, uh, it's, uh, it, the, the meltdown has begun. I'm sure we'll get some more snow at some point, but, uh, it's just, I don't know. I usually in February we sneak away for a dive trip or something. And this year, uh, we stayed put and it's, uh, I can feel it. I can just kind of feel the, the spring fever creeping in, but, uh, I, I found ways to pass the time. I was, uh, Uh, I was going to mention, you know, maybe people have been watching my Instagram feed of notice that I, uh, I finally pulled the trigger and bought the, uh, the Lego Saturn five rocket model and, and spent about a week, you know, over several days just sort of, uh, building that, which was a lot of fun. And yeah, it looks great. Yeah. I highly recommend it. You know, it's, it's one of those, those things that if you're a space geek or a Lego geek or just like models, um, it's a lot of fun, but it's a commitment. It's a commitment of, of a fair amount of time and, uh, and space. I mean, this thing's gigantic. I've got it on my side sort of cupboard here in my office and it's, uh, it's, it's a good three feet long. I mean, this thing's, and you have to kind of lay it down cause if you stand it up, I would imagine if a heavy truck goes by or something, it'll tip over and then you're, you're pretty well doomed, you know, because there's, there's just no way you could rebuild it once it's, uh, once it would get shattered. But, uh, yeah, super fun. Um, very lifelike, very, You know, just perfect for, as I mentioned in one of my posts, it's the ultimate kind of Speedmaster prop, you know? Oh, yeah. But yeah, so that helped pass a week of winter. What about you? |
|James Stacey|You came home to some snow too, right? I did. Yeah. So I did. I was in people, you know, people who listened to the last show or followed on Instagram. I was in L.A. for a week for a trip with my family and did a little bit of car work and went to the Peterson and all that kind of thing.  and came home and then it was, you know, 10 hours later or something, I was back at the airport to go to New York city. And then I returned home from New York city very late, early morning, technically. And it was like a ton of snow, like for Vancouver, it was something like six or seven inches in very short order, which is bonkers. It took three days. Like now we're talking, uh, few days later, that's how long it took to melt out. And it's been, you know, it was like 10 degrees Celsius yesterday. So it was plenty of snow and there's still some in the more shadowed areas. And I had a great time in LA, even though it was a very cold season in LA, you know, it wasn't actually that much warmer than Vancouver, but it was sunny and blue skied and had a really good time just kind of booting around town. I took delivery of my new Doxa sub 300 50th anniversary SeaRambler and That's essentially all I've worn since then. I'm absolutely in love with the watch. It's a real thing. It's my first Doxa and they're a brand I've loved for a long time but never really saw the one that I really wanted and then I got an opportunity through a pal for this one and it was just impossible to say no. So I've been wearing it Yeah, pretty much solid. You know, I've been home for the better part of a week and just this morning I started to kind of unpack the watches, the other watches and put them back. You know, when I go on trips, the watches get stored away in a safer location so they get brought back out when I come home and I'm going to be home for a bit. So yeah, the SeaRambler is great and currently I'm wearing it on the Rubbernado, the Watch Gecko, the Zulu Diver 328. Oh, yeah. Yeah. Good choice. And then just, yeah, yeah. And just yesterday, you know, friend of the show and all around good internet guy, Farlius, sent me a note that he had modified his Zulu Diver for his Pelagos, which of course is a fairly thick watch. And what he's done is because all of the hardware is pin set. Oh, yeah. So you can pop it off really easily. Right. He removed the underkeeper.  And then in his case, his strap was long enough to do a fold over. |
|Unknown|Huh. |
