
# The Grey NATO - Ep 55 - New York & The Bremont Townhouse
Published on Tue, 20 Mar 2018 07:18:42 -0400



## Synopsis
This podcast episode discusses the Bremont Townhouse event in New York City, where the hosts got a first look at Bremont's new watch releases for 2023. They provide details on several new models, including the Endurance diving watch, updated Supermarine dive watches, new Airco aviation watches, the U2/51 Jet watch, and new dial colors for the Alt1-C chronograph. The hosts also discuss their experiences attending the event, the unique venue it was held at, and some other watches they saw like a 10th anniversary limited edition. The episode closes with final notes segments discussing an epic mountaineering story, a Netflix show about restoring a Spitfire plane, and recommendations for premium NATO watch straps.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-55-new-york-and-the)
- [episode MP3](https://www.buzzsprout.com/2049759/11311066-the-grey-nato-ep-55-new-york-the-bremont-townhouse.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. This is episode 55 and we thank you for listening. JustJames here at the top of the episode as most of this show was recorded in NYC during Bremont's townhouse event.  Before we dive into that and a full set of final notes, just a quick word that while this episode comes out on roughly the first day of Baselworld, Jason and I will be working to put together a big Baselworld show for the next episode, with a full recap of the show, tons of watch chat, and maybe even some Q&A. Because the timing worked out so well, if you have a question about Baselworld, please feel free to email TheGreyNado at gmail.com. We've already received a few emails, and we'll do our best to get those included on the Baselmegasode that comes out on April 3rd.  Until then, follow along with Jason and I on Instagram. That's at Jason Heaton and at J E Stacey. And we'll be out doing our very best to find all the good stuff at Baselworld this year. But now let's rewind just a few days and jump over to the Bremont townhouse. Welcome to the Bremont townhouse 2018 TGN live show. I'm in a small room with Jason up in the corner of the Bremont townhouse, which is in, I guess we're in Midtown or Soho. |
|Unknown|Yeah. Yeah. |
|James| And you may hear some loud noises, triumphant sort of Master and Commander tunes in the background. That's because this is like a live environment for showing the watches today. But they found us a space, which is great. And so we're able to record live, which I'm pretty excited about. Jason, how's it going? How's New York treating you? |
|Jason Heaton|Good. Yeah, short trip, a little challenging to get in. It was a 12 hour journey, which was about eight or nine hours longer than it should have been. But, uh, yeah, it was, uh, it's good to be here. And it's, you know, so it's good to hang out. We just saw each other a couple of weeks ago, just up the road here. Yeah. |
|James|We're getting spoiled these days of Basel again. And yeah, right. |
|Unknown|Yeah. |
|James|Yesterday was fun though. I figured that's probably the easiest place to, uh, to start. Uh, so I, I come in, you'd come in a day early for some meetings. I came in, you know, roughly a day earlier than I absolutely had to, because I wanted to kick around the city a bit. And after I think I'd mentioned on the, Breitling show that it's tough to come in and do 16 hours in a city that's so awesome and has so many other opportunities. Yeah. So yesterday we, uh, kind of kicked off the day in a bit of a tourist mode, but we went and saw away luggage. Yeah. |
|Jason Heaton|That was really fun. Which is super fun. Mark. |
|James|Yeah. And, uh, so we, we met up with, uh, one of the guys that, that helps, uh, away kind of digitally brand and market and such online. |
|Jason Heaton|If you aren't familiar with away away, uh, is kind of a cool younger company now that's, uh,|
|James| making some some really slick uh sort of travel bags luggage um and the store was really cool and they have a really interesting use of color in the various pieces of luggage so it's cool to see that in person and a very locked in aesthetic to the whole store travel vibes you know uh kind of not like luxurious fancy travel but well traveled|
|Jason Heaton| Sort of clean, minimalist travel. Yeah, relaxing vibes. |
|James|Like it's good. And the luggage looks really good. And I've been kind of on the hunt for a new suitcase for a while. So that's on my list of ones to see. Yeah. And I was really impressed. And I like the navy blue and the gray looks really good. And so that's very high on my list as what might become kind of the carry on for these sorts of trips that I'm doing more often now. Yeah. And after that, Enrique Michon had recommended Prince Street Pizza. |
|Unknown|Yep. |
|James| We went to, I don't know, just before noon and they weren't open. So we went back and hung out at the Hodinkee offices for a bit. |
|Unknown|Yeah. |
|James|And we ended up going back and the pizza was fantastic. |
|Unknown|Yeah. |
|Jason Heaton|Good call. I could have eaten like two or three times. I could have eaten two or three times what we ordered. We each got like two slices and I was, it was packed. Yeah, it was packed. It was delicious. |
|James|Yeah. It was great.  You know, it's, it's entirely, uh, it's entirely cliche to talk about the best pizza in New York, but this would be the flat out best pizza I've ever walked in off the street and ate. Short of the stuff that my mom makes, which none of you will ever get a chance to try cause my siblings and I eat it all. Uh, this is, this is the, the, probably the best pizza I've ever eaten. It was fantastic slice of pizza. Yeah. Yeah. Uh, so I'm not really surprised Enrique knows good stuff and, uh, Lo and behold, he knows good pizza too. So that's cool. And it was fun to check out the Hodinkee office. I've never, never been there before. You've been before. |
|Jason Heaton|Yeah. Big space. It was a bit of a skeleton crew. Cause, uh, if anyone's been watching an Instagram stories, you know, half the, half the crew or most of the crew from Hodinkee has been out on the West coast, uh, doing various things. And so, but it was, it was cool to go and hang out and, um, chatted with Jack and John views and, and, uh, met a few other folks there. |
|James|So yeah, for sure. And then, uh, after that we went to, Uh, well you went off to have a meeting. Yeah. And I went to Brooklyn to interview Abe Burmeister from Outlier. |
|Unknown|Yeah. |
|James|And I, it's something that had kind of been on my list of things to do. If I had a few spare hours in, in New York, I didn't really know what to expect and it ended up just being fantastic. So I'm not going to put it in this show or the Basel show, but in a couple of episodes, I'm going to drop in this 30, 35 minute chat with Abe all about starting a clothing brand that's like so obsessed with material and functionality and, and aesthetic, like really finding a sweet spot where you could really wear the clothes, but also they still look okay and handle stains and things like, it's a fascinating conversation. One that I really loved and I hope everybody who's listening likes as well. But so that'll be a good interview for, you know, once we're on the other side of Basel. |
|Jason Heaton|I think that's what, you know, you can get sort of jaded about New York or cynical about it, but, um, I think that's what's kind of neat about this city is it's just become such a hub for these small, really creative businesses to kind of sprout up like we experienced yesterday. That's what's fun about coming here. And I think every time you can't see the whole city in a go in a day or a weekend or even a week. Um, but if you can seek out these like little pockets, these little interesting people and companies and stores to visit, that's what makes it really fun. |
|James|So yeah, I think like a kind of a central tenant to TGN or these companies or even one name brands that are just, they've decided they can do something better and they're approaching it at a very aggressive pace and ideology and they're not making something casual. I don't think anyone who listens to the show cares about casual goods that much.  We like the specifics. We like the things that are cool. And I think Outlier fits right in there. So even if you're not that down on listening to someone talk about clothes for a bit, I'd say give it a chance. Abe's a very interesting guy. And it was a, it was a cool interview. And I mean, they're just kind of off the beaten path in Brooklyn, unmarked building, super workspace. It wasn't like, it's not like a holding key office. It's not like this building we're in now, which we'll talk about in a moment for the Bramont townhouse. They're working and they're just getting stuff done there. And it was, you know, They have a relatively small staff and I had had a blast doing that. And then by the time I got back from Brooklyn, it was kind of time to come here for the townhouse. |
|Unknown|Yeah. |
|James|And there's a big party here. And I think one of the more interesting things for you and I is this space. |
|Jason Heaton|It's incredible. So, um, it was sort of widely, uh, bandied about last night that this, uh, this beautiful, I don't know what four story townhouse on Lafayette Avenue here in Soho. Yeah. It goes down and there's lower floors too with the pool. It's incredible. And, and it's, Apparently it once belonged to Heidi Klum and Seal when they were married and they lived here. It's truly spectacular. In its current form, it serves as kind of a showroom for Macintosh, which is the high-end audio company. I think it's the most spectacular sort of townhouse I've ever been in or ever seen. Just dwelling, I guess. |
|James| Absolute dream space. Yeah huge books I mean floor-to-ceiling bookshelves like discount the fact that every room has six figures worth of Macintosh and Sonos Faber Yeah equipment, but it's like exposed brick. Yeah, actually for those of you who are listening who like Mr. Robot in the second season they go to this house that has like a fancy security system And it kind of goes down into lockdown mode. That's this house. |
|Jason Heaton|Oh, okay, so that might help a few people listening who like Mr. Robot there was a you know you come in the entryway and then straight ahead there's a kind of a window at the back of the of the first floor that looks into the bottom of a swimming pool. Yeah. And you go up a level, you're actually on kind of a little overlook of that swimming pool. It's a decent length lap pool and, and Braymont had populated it with some remote control battleships and things that you could kind of have fun with. An ejection seat was back in the corner and a couch and, and then you go up another level and that was kind of the main floor. Yeah. And just a huge space, you know, bookshelves, big kind of, they opened it up for, you know, the hundreds of people that were here last night.  and a beautiful open, kind of open kitchen. And, uh, they were, you know, there were servers, uh, circulating with canapes and different, different things and drinks and whatever that were prepared by the Royal stepson, Tom Parker Bowles, who's Camilla's, uh, uh, the Duchess's, uh, son, who's a bit of a celebrity chef over in England. Yeah. Delicious food. Yeah. It was good. Little bites, but great. Yeah. Yeah. But then it just keeps going up. I mean, it was like another level up is something else. And then, and then it ends at a rooftop.  Terrace garden with, uh, um, just these nice offices. We're sitting in this office here and, uh, yeah, just a beautiful, this space really adds to the event. |
|James|Yeah. I hope that, uh, you know, a lot of you listening got a chance to see the Instagram stories, which, you know, kind of showed more of the spaces. Obviously the watches will persist. You'll be able to see them in our normal posts, but the space is incredible and super Braymont. It's like casual, but very finely appointed. And then the Macintosh stuff oddly fits. Um, and there's like an unbelievable amount of it. |
|Unknown| Yeah. It's in every room. Like stacks and stacks. |
|James|Oh, stacks and stacks. Just everywhere. Macintosh stuff and huge Sonos Faber speakers. |
|Jason Heaton|Like we're in this kind of back office that is kind of not really used or it's kind of piled up with junk, but like there's like two or three turntables just sitting on the floor here and you know, amplifiers and stuff just kind of randomly sitting with piles of cables and things. So it's, it's amazing. |
|James|I'm sure like this, this Macintosh turntable next to me costs more than the first few cars I owned. Yeah. |
|Unknown|Oh yeah. |
|James| Beautiful stuff. And we got an interesting demonstration, uh, last night where a gentleman was explaining all of the various componentry and then how they build some of these turntables to really isolate mass. So you have no vibration and talk about nerd enthusiasm space, like high-end audio is just bonkers. Like, you know, like we spoke about with that when I went on that Porsche bore moisture trip. Yeah. Just a, a really, a whole, a whole new world really. Yeah. Yeah.  And, uh, and then, yeah, so there was a party and it went on quite late, you and I, not huge partiers. So we went out and found some dinner, uh, tried to get to bed at a reasonable time. And then the morning basically started off coming right back here to take a look at, to actually have some time to look at the watches. So you get to sit with the, uh, English brothers and, uh, and see the new pieces. And I think that's probably what most people are listening to hear about. Uh, do you want to kick it off with, uh, say the endurance, which is kind of the, the Ellie, the,|
|Jason Heaton| Yeah. So it seems like kind of every year there's some sort of a limited edition piece that, uh, you know, related to some sort of an ambassador or some theme that they're running with for that year. And this year was the, the, the supermarine endurance, which, um, was the, uh, is the, the watch that was developed in concert with, uh, Ben Saunders, who, you know, we've, we've spoken about before, um, the polar explorer future guest, maybe future guests. |
|James|Right. Yeah. |
|Jason Heaton|Yeah.  It's a cool piece. It's, you know, it's based on their Supermarine so the visual cues are very familiar to anybody that's familiar with the Bremont dive watches, but like the Terra Nova of a couple of years ago, it has a third hand, or actually I guess it's a fourth hand, GMT hand with a kind of a cool squiggly little North symbol on it. Yeah, I like it. The color's great too. Yeah, yeah. Orange and then the dial is sort of embossed with sort of a stylized... It's pretty subtle. |
|James| It doesn't even show up in photos depending on how the lights are. Yeah, it's cool. |
|Jason Heaton|And it's titanium, so like the Terra Nova. So it's very light. This one they put an exhibition case back on, which they didn't do on the previous one. And it comes with a couple of straps. I don't know what the second strap was. We saw it on... I think it's a bracelet. Oh, a bracelet. |
|James|I think it's a bracelet in this orange Gas Gas Bones NATO. Yeah.  Yeah. And those of you that, I mean, I assume a lot of people who listen to the show know Gas Gas Bones, but it's a, he's a, Carl's a British manufacturer of these kinds of customized, uh, military style, uh, nylon straps. And that goes from, he, he also retails Phoenix Nados, which is fantastic Nados, legit G10 Nados. And, uh, and then he makes all these various, uh, customized versions and you can pick the colors. And I've got a couple, I'm sure you do too. They're great. |
|Unknown|Yeah. |
