
# The Grey NATO - Ep 56 - Basel And Back Again
Published on Tue, 03 Apr 2018 09:00:00 -0400



## Synopsis
The hosts Jason and Blake discuss their experience at the 2018 Baselworld watch fair. They provide in-depth commentary on the new watch releases from brands like Tudor, Rolex, Seiko, Oris, Breitling, Nomos, and others. They share their opinions on the designs, pricing, wearability, and general impressions of the notable new timepieces unveiled at the show. They also touch on the logistical challenges of attending Baselworld, such as meeting schedules, dealing with review embargoes, and packing/travel tips.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-56-basel-and-back-again)
- [episode MP3](https://www.buzzsprout.com/2049759/11311065-the-grey-nato-ep-56-basel-and-back-again.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Blake Stacey| Hello and welcome to another episode of the Grey Nado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. This is episode 56 and we thank you for listening. Boy, that's just about as much as I can muster in that peppy tone. Take a sip of coffee. Yeah, I've, no, I've, I've, oh man, I'm several espressos deep this morning. So it's, uh, For everyone listening, it's a couple days after Jason and I have returned back from Basel, and I'm fried. Jason, it sounds like you're catching up. |
|Jason Heaton|Yeah, well, you've got a couple hours further west than me, and your flight's longer, and you stayed in Basel a day longer, so I'm sure you'll be right in a day or two. |
|Blake Stacey|Yeah, so I apologize if I seem, let's be generous and say fuzzy.  throughout this episode, but we're excited to be doing this episode. This is one of my favorite episodes of the year, and it's certainly one of the biggest ones for the show. So this is our Basel megasode. We're not going to do a lot of like what's new. The truth is what's new is hustling for Basel and now it's over and just kind of recovering. And, uh, I do, I do want to say before we jump into watches, a quick kind of public apology to the litany of people that asked if we could hang out.  Uh, Jason, I'm speaking in some, in some manner for you as well, but this is certainly for me. You get to the show and people see you there and they start to DM you on Instagram and you literally can't get to all of them, even, even to the extent of. Of just turning down the invites, which is kind of a bummer. I would have liked to have met with all of you and had a chance to hang out. You know, I was there with holding key this year and I was part of their schedule. So it wasn't a scenario where I necessarily had limitless flexibility to, uh, to zip around. I had, uh, you know, had.  a list of meetings every day to make and then all sorts of work to go in between and around those. So if you didn't hear back from me or if it was a flat out no, please, please don't take it personally. It's just, uh, it's the busiest week of the year and, uh, and not always the best time to, uh, to find extra time to hang out. |
|Jason Heaton|Yeah. I know both of us, we just, we just ran out of time, just plain and simple. Uh, on the other hand, I did, I did enjoy, um, I did get a chance to catch up with a couple of folks, um, sort of outside the show.  Etienne from Baltic and Giovanni from Unimatic. We did manage to meet up briefly, kind of on the fly, as well as Fabian Cousteau, who I met for coffee one morning. So that was fun. But yeah, all apologies to the many people that wanted to meet up, not only for coffee before or drink or something, but even during the show, I was getting DMs and I'm sure you were too, like, hey, I'm here.  Let's try to meet Erica from Erica's Originals, the strap maker extraordinaire from over in Europe. She wanted to meet up and we just couldn't find the time. So, you know, one of these years we'll have to do like a separate day where we just meet up and maybe do a group thing. Maybe that's the way to do it. |
|Blake Stacey|Yeah, I think we definitely have to find a better solution because it sucks to say no. It sucks to like come back and see that you missed 10 DMs from people who you've never talked to before, so they don't show up in your normal listing.  Yeah. And you're like, well, uh, this is all over and it looks like I just blew them off. And you know, it's, it's just a bit of a bummer. It's a, it's a casualty to the way that you certainly the way that we cover the show. Um, because you book these appointments a long time before you get there. Uh, very few are kind of last minute sort of things. And in my case, I didn't book any of my own appointments and, uh, and just trying to balance that, uh, might just require, yeah, a day or two extra at the show. |
|Jason Heaton|Yeah, cool. Um, I think we should just jump right in. We both were there four or five days and there's a lot of watches to talk about. So what do you say? |
|Blake Stacey|How do you want to go through this? Yeah, so I think probably the natural place to start for TGN is probably Tudor. Kind of the upper range of the types of watches in terms of price that we typically talk about, but also they did really well. They blew it right out of the park.  one of the shining examples of the show. Everybody's covered it. What did you think of, you know, the GMT, the 58? |
|Jason Heaton|The GMT caught everybody by surprise. Strangely enough, you know, it was the same year that that Rolex released its GMT-Master II, which there were some rumblings about. There were some, strangely enough, some rumors that were almost accurate regarding what Rolex was coming out with this year. But Tudor caught everybody by surprise. And as they have for the past few years, you know, they do tend to be one of the brands that people end up talking about after the show. And the two, of course, that caught my eye and most people's eyes were the Pepsi GMT, which is an entirely new watch for them. And then that Black Bay 1958, which is the kind of scaled down, more vintage sized Black Bay. You know, I guess I'm going to, you know, the GMT, I'm sure we can talk about, quite a bit here but but just in terms of the Black Bay 58 my impression was great size great watch but I couldn't help but think to myself that basically Tudor released a watch that they and Rolex stopped making like 10 or 15 years ago so it just felt like it felt like you're basically bringing back everybody's kind of crowing about a watch that they already had and sort of stopped making and and now it's back and and that's great because I think it's a great size and you know I have a an old, uh, you know, uh, Z series Submariner from Rolex that, that feels pretty much the same in terms of size. And so, yeah, great, great move for them. But, but on the other hand, I just kind of had to chuckle that it's sort of, um, uh, you know, meet the new boss, same as the old boss sort of thing. Uh, um, but the GMT was, was the clear winner. I think everybody loved it. Uh, I guess I'm curious, you know, we can, we can kind of talk about this in between our discussion of both of these brands, Tudor and Rolex. But I'm curious to hear what you thought of one versus the other and if there's one that you prefer. |
|Blake Stacey|So yeah, for the Black Bay GMT, I thought it was really surprising that that's the format. Because the format, the execution in terms of just general aesthetic is very close to the GMT Master. Yeah, I actually wrote, you know, I wrote a piece as part of a roundup with Hodinkee for surprises of the show.  And that was my pick, was just that Rolex is generally so protective of their aesthetic. And I think that the whole reason the Black Bay looks the way it does is that they needed to develop something that had a Tudor flavor that was distinctive from Rolex's flavor. And with the BBGMT, it really seems like a lot of Rolex got into that design. I mean, the Pepsi bezel, that's a calling card of the GMT-Master.  And obviously it's in a much more desaturated sort of effect on the Black Bay, but it's still there. And then I was also surprised that it matches the same functionality as a GMT Master. The bezel rotates, so you have a third time zone, and it's a local jumping movement. All great things, things I love. It's a great example of a GMT, but it really is Tudor coming into a position as the kind of baby Rolex, or the little brother Rolex, or what, I don't mean any of that pejoratively. |
