
# The Grey NATO - EP 59 - Collecting Watches?
Published on Tue, 15 May 2018 09:00:02 -0400



## Synopsis
The hosts discuss some recent travel - Jason to Italy for a Lamborghini event and Jason to Bonaire for diving and watch reviews. They talk about collecting watches - how their tastes have evolved over time, gravitating towards watches with interesting designs and history rather than just accumulating watches. Jason enjoys rotating between his different watches that have distinct styles like his Doxa, Bremont, and Rolex Explorer. They discuss not really having a "grail" watch they are pursuing, but being open to watches that appeal to their personal tastes when they come across them. The topic of collecting with a very focused theme like military watches or a particular brand is raised as a different kind of approach.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-59-collecting-watches)
- [episode MP3](https://www.buzzsprout.com/2049759/11311062-the-grey-nato-ep-59-collecting-watches.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Grey Nato, a loose discussion of travel, adventure, diving, gear, and most certainly watches. This is episode 59 and we thank you for listening. We have a little bit of show housekeeping right up at the top that I'm going to get out of the way. So the first step is, is we're making a few changes just so that the show's a lighter lift for me personally. I'm kind of entering what will likely be a busier phase.  in my work life for the foreseeable future. And I really don't want a scenario where I can't get a show out every two weeks. So with that in mind, sometime in the near future, if you go to thegraynado.com, you'll no longer get to our normal website. Uh, you know, when we're not doing something like the, like the, uh, supporter bundles, there really isn't a lot of value in having that website. It's just there. It's a second place that I have to put and publish the show notes. The site has a cost associated with it.  So we're just going to go back to using just the simplicity of the SoundCloud page. So you can always get to the exact same show notes and show description by just going to the description area in SoundCloud or in pretty much any podcast app I've ever used. So there shouldn't be any real change there. But for those of you who do go to the website to see the show notes, you'll have to click a little bit more to get to the nested notes in each episode. And on top of that, We're having some trouble just kind of keeping up with the general level of communication between listeners and Jason and myself. So for simplicity, if you would like us to reply, please send an email. So that's thegraynadoatgmail.com. Obviously we do our best with comments, but the DMs on Instagram are just a very difficult sort of bit of technology. They don't work that well for keeping track of various levels of communication. Email is a lot easier. So please, if you're expecting us to reply, thegraynadoatgmail.com. I reply to every single email unless it's spam. And lastly, Jason, I have one request moving forward. We're at episode 59 now. Obviously we've been doing this for a while. If you've been enjoying the show for a while and you haven't left a review, preferably on iTunes, but wherever you can leave a review, if you've been enjoying the show for a while and you haven't, we would just ask, just take two minutes and leave a review for the show. It really helps the show grow in terms of how it's populated on iTunes and on other podcasting channels. So you'd give an okay Uber driver five stars, why not your TGN buddies? And a big thanks to everyone who has already reviewed. So I think that's all the show housekeeping. Jason, how's it going? |
|Jason Stacey|Good. Yeah. Busy days indeed. For sure. Hopefully some of these sort of tweaks to the protocol for TGN will lighten your lift a bit, but we're both We're both between trips, you know, it seems like a distant memory when we'd kind of be able to leisurely take a few hours every couple of weeks and record. And now we're sort of fitting it in between, between world travel, which is, you know, I'm not complaining. It isn't a bad thing. It's all good stuff. |
|Jason Heaton|Zero complaints. Yeah. Yeah. I mean, it's just a question of there's, I don't really like any redundancy. Yeah. And while the website was helpful when we were doing things like the, uh, the supporter bundles at this point, I don't see any use for it. I think it doubles up.  the amount of work that's going into it. And, uh, and I, I just, I don't want to do it anymore. So it's about that easy. And, uh, and yeah, I think, uh, I think especially with all the travel and, you know, just trying to focus on things that pay rent and that's that kind of thing. I don't want the show to become a second or a third level priority. I want to be able to maintain, uh, where it is currently. So I think this is a, a way to kind of invest in that. Yeah. Right.  So how have things been? You're back from Bonaire. I'm back from Italy. It's actually been a little bit since we got back. And then by the time this comes out, I think we'll both be back from another trip. So it's one of these things with the lag on the podcasting is a little bit strange for talking about trips. But how was Bonaire? |
|Jason Stacey|Yeah, we're always talking about a trip that hasn't happened yet. Yeah, Bonaire was great. You know, one great thing about that place is it's extremely predictable in terms of kind of weather and the experience just based on the fact we've been there a few times and the weather's reliably good. But it was good. It was busy. We had six dive days and brought along five dive watches to kind of photograph and dive with. Three kind of officially for Hodinkee Reviews that'll be coming out in the next few months. And then Gishani wore the docks of Poseidon for most of the week.  And I had the Sertina that I saw at Baselworld just to kind of try out. So that was fun. We hooked up with a guy from VIP Diving. He's actually the owner. His name is Bas Neu. And I had met him over the ether last year because he's kind of a watch nut. And he had seen an article that I did on Hodinkee about diving in Bonaire. And we met up and chatted watches last November. And so this time we arranged to go out on a boat dive with with him and one of his dive guides and charted a boat and went over to the small island that's unoccupied. It's just across from Bonaire itself. It's called Klein Bonaire, which means small Bonaire. And we did a couple of boat dives, which was a nice experience. It was different. The reef is a little more untouched and a little bit wilder, little steeper walls and the coral is a little more lush. So it was, it was fun, you know, after six trips to Bonaire, always doing the same kind of shore diving sites, it was fun to, to kind of get out on a boat and try something new. So that was fun. I'll certainly point to those articles, those watch reviews as they come out in the coming months. We'll mention it on the show. But, uh, you know, if you were following me on Instagram at all last week, you probably saw a lot of photos of iguanas and old Jeeps and dive watches and that sort of thing. Perfect. Yeah, it was good. |
|Jason Heaton|Yeah.  I'm glad it was a good trip. I, uh, I was in, uh, roughly, I mean, I think we left around the same time I was in Italy for a few days. I spoke about it briefly on the last episode to, uh, to cover the kind of press launch for the Lamborghini Urus SUV. Yeah. And, uh, that was great, really fast trip. I guess it was two, we were there for two nights, but I think I, like I left at about 3am the second night. So we just kind of stayed up and saw a little bit of Rome. I guess I did maybe six laps.  of the Urus on Vallelunga's track. Yeah. And then, you know, like in a lead follow scenario, it wasn't just open lapping. Right. I mean, the thing's real fast. I'm sure. If you've ever been in something like a Cayenne Turbo, I would, you know, it's faster than that. It's louder than that. It's a little bit more wild than that. Yeah. And that's a very high bar for an SUV. Yeah. And I can fit in the back with somebody sitting in front of me. Oh, like the back seats are designed for someone up to six three. Oh, wow. So I thought that was like probably not going to be the case. And then I asked another writer to sit in the front and actually adjust the seat to where he would be. And I sat in the back and there was enough room. So that's pretty surprising because it has quite a sloping roofline. Yeah, that's on those. So lots of space, a good trunk, all that kind of thing. I drove maybe for about an hour.  the roads kind of around Vallelunga on even the 23 inch wheels, and it was still quite comfortable. And it has like a ton of settings, right? So you can go from comfort to sport, to race, to snow, gravel, sand, all these other settings. But as you go from like, if you're in comfort, it's pretty quiet and like docile and it doesn't like leap forward if you get on the gas, that kind of thing. But if you're in sport or race, that exhaust is kind of always going.  And it just takes off. I mean, it's very like, it's 650 horsepower, it's 628 foot pounds of torque. Wow. And, uh, it's a, you know, it's a twin turbo V8 that they share the block from the Cayenne and then the turbos, the heads, intakes, all those things are bespoke to the Urus's use. And it's just an incredible, the torque delivery down low is really good. So it, you don't really notice how heavy the vehicle is.  And then I don't know, for those of you listening who care about things like brakes, the front brakes are 440 millimeters, which has to be the biggest brake I've ever seen. And on the track, you'd have no idea you were driving something that weighed nearly 4,900 pounds because it would break so hard. Wow. So I had a really interesting time with it. And Lamborghini, it's literally a new market that they're pushing for.  So I didn't realize the percentage was this high, but they're saying that they're expecting like nearly 70% of Urus buyers to be brand new to Lamborghini. And at a $200,000 premium for a car like this, before you start checking boxes, it will theoretically double the brand's output. They made something like 38 or 3,900 cars last year, and they're expecting to make that many Urus. Now, I mean, they're currently backordered for two years.  Oh, wow. So they're not really in a lot of struggle. Uh, I think that the, while the market who wants the fast SUV might not be the same person who wants the fast supercar, there's, it seems to be both markets. So I had a blast driving it. It's definitely the kind of thing that I think would be really interesting. They make a version that's on more tire. So like, I think 20s or 21s. Yeah. And it's, it's a, it's like your, you know, cause Pirelli has made like nine or seven different bespoke tires for the Urus. |
|Unknown| Yeah. |
|Jason Heaton|So you have various options, depending on where you live and the snow and that kind of thing. I think it would be an interesting car to, to kind of experience at like a base level that like whatever you get for 200 grand on a softer tire as like an actual everyday vehicle. Right. But I mean, all of them have that engine and, uh, and the, and the, the, you know, the trick suspension and, and all the fancy differential and, uh, you know, all the ride balancing and all that kind of thing. So.  So we had the track time. We had some time to kind of drive these small Italian B roads around the track. And then we had two laps. So like maybe three minutes on this dirt course they had set up. How was that? Uh, it was good. I mean, it would have taken me 20 laps to even know where I was going. Oh yeah. But they gave you two laps and then they had one of their like chief instructors drive a lap to show you how fast you could have gone if you knew what you were doing. Yeah. So it was fine. I mean, I think if you, if you'd had, if I'd like, again, if I, if you had way more laps, it either would have resulted in Yeah, you drive a lot faster or you'd have an off. I mean, you just leave the track at some point. Yeah. Uh, but yeah, so it's kind of like a rally course and you're throwing up dirt and sliding and, and, you know, getting some sideways stuff in and all that's great. And Rome was lovely. And, uh, and yeah, it seems like a while ago, it was like a, maybe a week and a half ago, not quite, not quite a week and a half ago. And then, uh, just after this weekend. So again, by the time anyone's listening to this, I will have been home for a few days, but I go to, uh, Austria.  to drive the new Bentley Continental GT. So another show from now, I'll have some information on that. I mean, I don't know. It's not going to be bad information, like that's going to be a dream. Yeah. A dream kind of experience. I love that car, but that's the next one on the list for me. What's next for you? You're back more diving, right? |
|Jason Stacey|Yeah. I've got, what am I, nine or 10 days at home and then I leave next Tuesday. So yeah, a week before this episode even airs.  Now I'm off to, uh, Revia Higedo, which is, uh, an archipelago of islands in the Eastern Pacific, um, that you actually visited last year on as part of your Clipperton expedition. And, um, this is with, uh, with Blancpain. It's a, a nine day trip that originates in Cabo San Lucas, Mexico, and it's on a, uh, liveaboard boat. So a large boat called the Nautilus Undersea, which happens to be the same boat you were on. Uh, I was invited by, um, by Blancpain's CEO Mark Hayek, who if people don't know, he's a fairly avid diver. He's actually the guy who was kind of behind the design of that wacky X Fathoms dive watch that they have. And you know, over his tenure at the company, he's done a lot of kind of crazy diving with free divers and with kind of world renowned divers and kind of really pushed the 50 Fathoms side of the business, which which I've enjoyed observing. Um, it's nice to see, you know, someone at the top level of, of these brands that are making dive watches actually get in the water. So it'll be, it'll be fun to meet him and dive with him. But I'm really excited because, uh, another guy who's going to be on the trip is Laurent Ballesta, who is a French underwater photographer who, um, if you happen to pick up the latest, uh, issue of national geographic, there is an article by him with some just spectacular photos of this, uh, shark feeding frenzy that he was a part of in Fakarava in the French South Pacific last year. And it's been featured a few times. We talked about it I think last year when we were doing a final notes about the Gumbessa expedition that these guys were on. Right. And they had done a series of video logs and I think we linked to those. But I think he's up there with some of the best underwater photographers that I've seen their work.  So he's going to be on the trip with a couple of his team members. And it's just going to be a thrill to kind of observe him working and see the gear that he brings. And I have a book that Blancpain gave me at Baselworld that has all of his photography in it. And I'll talk about that a little later in the final notes. But it should be really exciting. So it's a nine-day trip. We'll be doing four dives a day on the various sort of islands and rocks of the archipelago there.  Um, where it's kind of prime season for, for mantas and schooling sharks and, um, all manner of marine life. So, uh, I'll be shooting a lot of photos and video and, and, you know, just, uh, just soaking it all in. So I'm, I'm pretty excited that the trip actually finishes back in Mexico, of course. And, and Blancpain is hosting an event in Punta Mita, which is on the Pacific coast. They're doing one of their ocean commitment events, um, that you're going to, um, I'll be at that one, but, uh, I'll be, um, disembarking at Cabo San Lucas again and then flying home. So I'm actually skipping the event to fly back home after the dive trip. But yeah, should be plenty to report in our next episode. I'll be back on the 17th. So I'm leaving on the 9th. So it's a long trip. It's off the grid. And yeah, so very, very exciting. |
|Jason Heaton| I think you're going to love it. I had, I had a great time on the boat and obviously everyone who's listening and listened through the, the Clipperton episodes, you know, knows that, but, you know, we had a few days diving in Socorro, which is one of the four islands in the Riviera Gallegos and, you know, just incredible diving. The mantas are, that's an experience that like you can't, I can't really capture in words. Like every time I think about it, I smile. Like it's, it was a really fun thing. Lots of sharks, lots of interesting fish. You get these Mexican hawkfish that have like exposed teeth and they're kind of, they kind of come at you a bit. Yeah. That one's not, not always as much fun, but there always seemed to be a couple following you. They didn't, they seemed kind of territorial. Yeah. And, uh, and then hopefully you get to dive the boiler, which is a pretty amazing dive site. And then I think you're also going to get to Roca Pardita, which is, you know, on the far side of the chain from the mainland. Yeah. If you think of it in it's further West. Yeah. Uh, so we didn't go that far, you know, we had, Uh, Socorro is where you check in with the Navy. So we went to Socorro and dove around Socorro and then we dove on, uh, one of the other islands, which, uh, which I'm blanking on the name of currently. Uh, just all of it was really, really fun. Uh, really accessible, great visibility, all that kind of thing. And, you know, you get some random stuff. We saw some big, uh, uh, yellowtail and we saw some huge dolphins, these big, like steroidy looking dolphins came through very quickly. And then just lots of mantas, lots of white tips.  Uh, you know, tons, tons of the, like the silkies and the, um, silver tips and, you know, lots of great sharks. And then obviously there's, there's a few scenarios there where you can see hammerheads. |
