
# The Grey NATO- Ep 60 - Blue Planet, Green Car
Published on Tue, 29 May 2018 09:00:12 -0400



## Synopsis
The episode begins with Jason and James discussing some new clothing and accessory items they've received, including a ventile cotton jacket from Fisher & Baker, adventure pants from Dewar Denim, and a line of watch-focused accessories from Analog Shift. They then dive into detailed trip reports from their recent adventures - Jason describing his experience driving the new Bentley Continental GT through the Austrian Alps and parts of Italy, and James recounting his diving trip with Blancpain to the Revillagigedo Islands off the coast of Mexico, where he encountered various marine life including mantas, whale sharks, and silky sharks, and had the opportunity to dive with rare vintage and modern Blancpain watches. The episode concludes with their usual final notes segment, recommending an audiobook, a movie, an article, and a fascinating online story.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-60-blue-planet-green)
- [episode MP3](https://www.buzzsprout.com/2049759/11311061-the-grey-nato-ep-60-blue-planet-green-car.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. This is episode 60 and we thank you for listening. Man, episode 60, not bad. |
|James Stacey|Yeah, seriously, where's the time gone? |
|Jason Heaton|No earthly way of knowing in which direction we are going. I think it's going to be a fun show. You're back from a really awesome trip diving with Blancpain and I'm back from a really awesome trip driving with, uh, with Bentley. Uh, so we have, uh, kind of a main bulk of the show is going to be kind of a trip report, chatting about those two experiences. I think there's a lot to kind of dig into there, but first up, uh, we're continuing in our format of, uh, geeking out a bit on various clothes and accessories. You've got some, uh, some new stuff from Fisher and Baker. |
|James Stacey|Yeah. Um, yeah, it's been, it's been sort of interesting, um, As we've sort of evolved the show, we've started to incorporate a little bit more sort of clothing, sort of urban technical clothing, and it's been kind of a fun area to explore. Very. Fisher & Baker hasn't been on my radar. I hadn't even heard of them, frankly, and I got an email a couple of weeks ago from a PR rep for this company, Fisher & Baker, and they're having an event here in Minneapolis that they invited me to on June 1st.  I said, sorry, you know, I'd love to come, but I don't know anything about your, your company. And, um, he said, I'd love to send you a jacket to check out. And so they sent me what they call their Kensington shell. And, um, it's, it's sort of, you know, it, it, it hits that sweet spot that, that we both like that sort of technical, but not technical looking kind of, uh, product. Um, it's a, it's a shell as the name suggests. So it's, it's made for kind of light.  rain or wind wear. What's interesting about it is it's made from ventile or ventile cotton, which some people might be familiar with that because it's kind of an old material. It was developed I think in the 1930s over in England and originally it was used for RAF pilots clothes due to its sort of breathability and water resistance. And I had been kind of looking at getting a ventile jacket from a different brand a while back from a brand called Jago, J-A-G-O. Okay. But they were just really expensive, but I really loved the look of it, and I really wanted to try a ventile cotton jacket, but I sort of passed on it. So when Fisher & Baker offered to send this, I said, great, and they sent it over, and I've been wearing it for about the past week or so. Fortunately, we've had a little bit of cooler weather, so it's worked out really well. But what's nice about it is it feels like a cotton shell. It almost feels like You know, if you can picture one of those Barracuda G9 jackets, the clean style thing, but it's, it has an integrated hood that, you know, fits really nicely on the head. I could see it, you know, probably would even work over a helmet, even though I doubt you'd wear it that way. Um, it has cinchable sleeves with snaps rather than Velcro, um, a decent zipper, some sort of slash hand warmer pockets, and then an internal pocket. And it's, it's, it's very muted. The one I got is sort of a Navy blue color.  And I don't know, it's, it's a very urban friendly jacket. I like, um, I'm not sure, I'm not sure I would, you know, pack it along on a, you know, as, as my only sort of rain shell, but, uh, and I haven't had a chance to try it in a downpour, but they, they do say it's, you know, nicely water resistant. So, um, you know, I'm going to, I'm going to keep kind of testing it, keep wearing it. And I'm going to go to their event on June 1st and kind of find out about them. I'm not sure. I think that might even be.  based locally here in Minneapolis, which is why they're having their event here. But, uh, yeah, it's called the Kensington Shell. Um, yeah, we'll, we'll throw a link in the show notes and folks can check that out, but, uh, I'm, I'm really pleased with it. |
|Jason Heaton|Yeah, that's great. You can find them on, uh, Instagram. It's just Fisher and Baker, A N D Baker. |
|James Stacey|What's neat is that I think, you know, a shell jacket is one of those, it's one of those categories that's kind of tough to, it's tough to fit. So like if you're traveling for instance, and you want to take something that's water resistant, You know, my default is always to pop my, I've got like an outdoor research helium, you know, packable shell. I think you've got like a marmot or something. The marmot precip, yeah. You know, which are great choices and they pack tiny and they're great. But they're definitely not stylish. They're not stylish. Like at all. If you're going to say Geneva in January or London or something and you want to look halfway decent, I think this would be kind of a nice option. |
|Jason Heaton|Yeah. And it looks like you could throw it right over the Patagonia. |
|Unknown|Yeah. |
|Jason Heaton| And it would still, it would still work. And I honestly think you could, it looks at least from the photos, like you could throw it over a, you know, a shirt and a tie. Yeah, definitely. And it's like, it's nicely muted, like you said, and yeah, they've got nice looking stuff. And then they've got some Instagram photos with Anuri Acosta, who's the COO at Hodinkee Inc. And Anuri's great and very handsome, is a very stylish guy. And he's in a handful. Like the very first image, when I went on, I was like, I'll check out, see what their stuff looks like, go on their Instagram.  And I see Anuri, it was, uh, it made me laugh. That is hilarious. |
