
# The Grey NATO - Ep 62 - Goldenboy And The Megafaunas
Published on Tue, 26 Jun 2018 09:00:04 -0400



## Synopsis
The episode features a discussion about Jason's recent work reviewing watches like the Mido Commander Shade and the gold Seiko Turtle for articles. Jason also shares his experiences driving a Rolls-Royce Wraith and going on a helicopter tour in Vancouver. The main segment is Jason's guest, James, recounting his recent trip to Sri Lanka and the Maldives, where he went diving and saw incredible marine life like whale sharks, manta rays, and colorful reefs. James also talks about going on safaris and seeing elephants, leopards, and monkeys in Sri Lanka.

The final notes include recommendations for vintage manual focus camera lenses, the return of the "Descending" diving adventure TV series, a documentary called "Everest Unmasked" about the first oxygen-free Everest climb, and a video called "Sea Trekking" featuring coastal swimming and camping.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-62-goldenboy-and-the)
- [episode MP3](https://www.buzzsprout.com/2049759/11311059-the-grey-nato-ep-62-goldenboy-and-the-megafaunas.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of the Grey Nado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. This is episode 62 and we thank you for listening. Jason, you are fresh back from a huge time zone change coming home from Sri Lanka. How are you feeling? |
|James Stacey| Well, at the moment, I'm doing fine. I've been up since 2 in the morning. It's about 11 a.m. now, so I'll probably be getting tired here shortly, but I think we hit the sweet spot for recording, so I'm reasonably alert. |
|Jason Heaton|Well, I'm glad to hear it. I've been working some longer days recently, and I'm just enjoying a nicely iced double espresso, so it should either be a yawn-heavy show or maybe some jittery rants.  We'll find out as we go. I think it's going to be a pretty loose show. Obviously, I want to hear mostly about your trip. Anything else new? Anything else kind of in the flux between the trip? Or you've been gone for most of the time that we've had between the episodes? |
|James Stacey|Yeah, I think we recorded episode 61 the day before I left, and then I'm back just as of about 36 hours ago or thereabouts. So not much other than the trip to talk about. Nothing terribly watch related today, but, uh, you know, there's plenty to kind of recap for my trip. So, uh, happy to do that. |
|Jason Heaton|Okay. Yeah. I can, uh, I can give a brief rundown of what's been going on in the last couple of weeks for me. I've got some fun watches in. |
|James Stacey|So the, uh, yeah, your Instagram feed has been, been really interesting to see sort of a mix of, of helicopters and, and, and swanky cars and, and, and gold watches. |
|Jason Heaton|Yeah. Yeah. So I, I pitched this, uh, loose idea for, I think I've already mentioned it on the show, but maybe not, but I pitched a loose idea to Houghton Key for some went up just recently, and that was with the Mido Commander Shade in rose gold. That watch I liked a lot, and I know I've talked about it on the show, so we probably don't have to do that again. I think it turned out well, and then the second one I'm working on is with the Seiko SRPC44, which is the gold turtle. Yeah. So it's a PVD gold. The price is very similar to the standard turtle. Like, I think list is 550 bucks. So you're not paying anything for the gold. It's literally just there for an aesthetic, which I think for a Seiko is perfect. |
|Unknown|Mm-hmm. |
|Jason Heaton| And it's kind of a thing. I struggle to say that I like it or I would wear it. It's a yellow gold treatment. I definitely don't not like it. It's a weird thing. And I think it's mostly like you have to find the right strap for it. |
|Unknown|Yeah. |
|Jason Heaton|But I was wearing it out yesterday, you know, taking some photos of it and that sort of thing. And I'd really enjoy having it on. You know, for some reason, the gold makes it feel bigger, but it might just be that it makes it feel a little bit more conspicuous.  Yeah. Because it is a huge gold diver. Yeah. And I also think that while the Mido is kind of like effortless and light and kind of like, just kind of fun, there's something kind of badass about a Seiko diver. |
|James Stacey|I'm not sure there's a precedent for it. Is there? I can't think of a previous, other than like the golden tuna, you know, the, I think it was like a PVD gold treatment on the titanium.  big tuna that they made back in the 70s, the first quartz one. I can't think of another precedent in terms of a gold Seiko diver, and I'm sure a listener who's kind of an avid Seiko guy will probably prove me wrong there, but I can't think of any. |
|Jason Heaton|Yeah, I'm sure it's not the first one, certainly, but I don't think that there were any gold 6139s or 6105s or any of those. And what it reminds me of is Do you know that like the SNA, the 411, they're kind of like a Breitling-esque quartz chronograph with an alarm for a couple hundred bucks? Yeah. And they come like in a black dial with yellow accents and steel and then a white and red and blue one in steel and then a black dial in gold. Yeah. That's what connects for me because I remember seeing those when I was younger and first getting into watches. Yeah. And I had the black and steel and really rather liked it. The effect of this one is really Really fun. I don't know. It would be definitely in the running if I was buying a Turtle to go for the gold one. I think it would come down to kind of if you could find the perfect strap match for it. Right. But I think it definitely looks really cool. I'm just not sure how much I would wear it. |
|James Stacey|I'm not sure. You know, you talk about straps and I agree that that sort of vented rubber dive strap that comes on all the Turtles, you know, it's a great strap. It is. But somehow on that watch, it seems too to all business for the watch itself, even though that watch is perfectly capable and there's nothing that really separates it from the standard turtle. But I don't know that... I haven't tried a turtle on a leather strap. It would certainly work on NATO if you had some matching hardware. |
|Jason Heaton|Yeah, either black or gold, yeah. Yeah. I've wore it around on one of the analog shift leather straps in 22mm and it looks great. It works really well.  I think there's a picture on my Instagram of that combo. It works really well on the included strap. It's just a bulky strap physically. So I think like summer shorts, t-shirt, beach, whatever, fine. But I think given the sort of mid-70s styling, or arguably you could say late 60s styling, you know, given that look, I think you go a long way with one of those Uncle Seiko tropics.  Yeah, I agree. Which would get a little bit flatter, a little bit closer to your wrist. Obviously a little bit less helpful if you're diving and it compresses or whatever against a wetsuit. But still, I think for normal wear, I think that might be the ticket as far as a look. Or I also think it would work pretty well on one of those rubber Nados that we've had before, the Bonetto Centurini ones from Watch Gecko. |
|Unknown|Oh, sure. Yeah. |
|Jason Heaton|I think that could be a fun fit because that's kind of a brighter gray, which works pretty well with the very bright sort of yellow gold finish. |
|James Stacey| The difficulty for me would be finding the correct hardware match with an aftermarket strap simply because, I don't know, personally, some people don't really get a real hang up about that, but I just can't stand sort of, you know, a steel buckle with a gold watch, especially if you go NATO where you've got all the extra hardware. |
|Jason Heaton|Yeah, no, I fully agree that what was the first thing I did was threw it on a gray NATO. And then I realized like, oh, This looks terrible. Yeah. Uh, so then I, yeah, I put it back on to a leather strap where you couldn't see the buckle at least. Yeah. And then, I mean, the, the, the rubber strap that it comes with comes with a plated gold buckle. So conceivably you could move the buckle to that strap. |
|James Stacey|Yeah. |
|Jason Heaton|It's pretty wide though, isn't it? It is. |
|James Stacey|20 millimeters at the buckle maybe? Or something around that. I don't think it's a straight strap, so I don't think it's 22. |
|Jason Heaton|Yeah, it's 20 at the buckle. And, uh, so, I mean, that would be an option if you had a strap that that tapered by two millimeter. Yeah. You could conceivably move the buckle over or you buy a strap that has a plated yellow gold finish of some sort. Yeah. Really cool piece. And that should be on Haudenkey, you know, soon enough, probably not before this episode goes live, but sometime in the near future. And, you know, with these gold pieces, they're less about the watch because a lot of them we've already done the hands-on for, and it's more about contextualizing the kind of way the gold feels differently from the steel version.  And then trying to find kind of an interesting hook just to, you know, do some good photography or explain kind of a funny concept behind the way that my brain connects with gold, which I think might be similar to other people, you know, in the same age range. |
|James Stacey|I think that's a good approach. And I think kind of what you did with the Mido piece resonated with people. And I think it's what a lot of readers nowadays are looking for with you know, quote unquote, watch reviews is, is a bit more, um, of a different angle. I mean, you know, the, that turtle, the base sort of turtle has been reviewed so many times by so many different people that I think it's, it's just kind of a neat approach to kind of frame it around, you know, whether you can warm up to gold. And I think, you know, having not seen that watch in person, when, when I look at it, it, I could see myself wearing it. I mean, it has, It has a lot of black, you know, the black really stands out against that gold. And I think it, it kind of mitigates the, the goldness of it, uh, as opposed to the Mido, which I can't, you know, I, I sort of get where you were coming from with that article, but I still don't see myself, uh, wearing that one. It's just a little too, little too outside my wheelhouse on that one. |
|Jason Heaton|But, uh, it went, uh, it went back, uh, earlier this week and I miss it.  I like that watch and it is it's definitely the bracelet is what does it. I don't think I would have the same fondness for it if it was just the head of that watch on a strap or something like that. It's just a lot of gold and it just has like it's super summery, which I think is pretty fun. Yeah, definitely has me looking at old ones on eBay. Oh, yeah, it's always fun. Outside of that, yeah, like you'd mentioned, I did a this sort of varied tour of Vancouver with Lexus, the pieces on Nouveau magazine.  You drove around Vancouver in the new RX, which is their kind of crossover midsize SUV, which has been hugely successful for them for many, many years. And they've just recently announced a version that has a third row. So it's a little longer and you can fit a little bit more, a few more people in there, depending on how tall they all are. And we basically toured a handful of like Vancouver's artisan craft scene.  And so after all of that, the other side of the story that I haven't quite covered yet as I'm breaking it into two pieces, but we drove east of Vancouver to a place called Pit Meadow, where there's some small airport activity. And in Pit Meadow, we connected with Sky Helicopters and they took us for a flight up into the mountains. And we went to a place called Wigeon Lake. You can see it on my Instagram. And we were actually able to land on a flat piece of rock and get out and walk around a little bit. And it's this huge, high alpine lake.  And then from there we flew kind of back in along the Indian arm, which is a water, a water system that feeds into the Burrard inlet and then out into the ocean. And then we were able to land right downtown and then go to a dinner stop. |
|James Stacey|Wow. That's quite a, that's quite a day. That was one day. |
|Jason Heaton|That was one day. Yeah. So it was, it was a, it was a very full day and it was my first time in a helicopter. Certainly my first time. And then it was, it was not, no, not a big helicopter. It was a four person helicopter, a Ranger.  And what a thing. I would love to learn how to fly a helicopter. That's super fun. And the pilot who we had, he was saying that the smaller ones, they fly also a smaller one, which is what I was quite excited about was to be in a little one because apparently they're quite sketchy. They wiggle around and they move and they're pretty fast. And he said they're a little bit more like a sports car. So hopefully I can get a chance to try out a small one at some point, some point along the way. But yeah, helicopters are...  Helicopters are good. I like a helicopter. |
|James Stacey|Yeah. I think the first time I flew in a helicopter was in Canada also. In fact, in British Columbia, it was that I did this heli hiking trip to the Bugaboos. The Bugaboos. Yeah. Yeah. And that set the hook for me. I mean, there's just nothing like landing on a ridgetop or something and jumping out of the helicopter. You just feel so adventurous just merely stepping in or out of one. It's so cool. |
