
# The Grey NATO - Ep 63 - Are Smartwatches Dumb?
Published on Tue, 10 Jul 2018 09:00:05 -0400



## Synopsis
The hosts discuss their recent travel and diving experiences. Jason went diving in Lake Huron and got to try out the Aquadive Bathysphere 100 GMT dive watch. They talk about using fitness trackers and smartwatches versus mechanical watches. The listener question asks whether mechanical watches will still appeal to younger generations in 10 years, and if there is a place for mechanical watches with smart features.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-63-are-smartwatches)
- [episode MP3](https://www.buzzsprout.com/2049759/11311058-the-grey-nato-ep-63-are-smartwatches-dumb.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. This is episode 63 and we thank you for listening. Jason, we're recording this the day before it goes live. I think this might be the latest recording we've ever done for a TGN, just some|
|Jason Heaton| really busy travel schedules the last little while and uh i'm actually thrilled that we're we're definitely going to be able to do an episode and not have to put up some apology yeah it seems like we're always uh lately we've been sort of recording between our various uh trips places it's good it's good you're getting really good at editing because uh you'll have to turn this one turn this one around pretty fast at some point we're gonna have to do these live|
|James| We might get to a point where I just put the files next to each other and sync them up and that's what I publish and I don't spend a bunch of time editing it. Yeah. |
|Unknown|Yeah. |
|James|We'll see. Yeah. So how have you been? You're back from some diving, what looked like some fantastic diving. |
|Jason Heaton|Great. Yeah. I mean, it's already mid-July. My jet lag is finally over. That's good. That felt nice to kind of clear that out of my head. And it was just in time too. I did a road trip this time, which I've been kind of hankering for after a lot of flying around. And, uh, you know, once or twice a summer, I try to load up the car with the dive gear and go meet my, my buddy, Chris, who lives down in Milwaukee. And we try to do some, some great lakes diving. And this time really didn't disappoint. We went over to the east side of, of the state of Michigan, the lower peninsula, the mitten, uh, actually in the thumb region, if you look at a map, uh, the way Michigan is shaped, it's kind of this area called the thumb.  And, uh, we did some diving out in Lake Huron, which is the third largest of the great lakes. Okay. It was, it was great. We took, so I drove down to Milwaukee and picked up Chris, uh, where he lives and we, we then loaded up with, with his stuff. Boy, the, we have this Volvo SUV and we had so many tanks and heavy gear in the back. I thought one of the springs was going to break or something. It was, uh, really heavily laden, but, uh, didn't obviously. And we drove up to.  to Manitowoc which is on the west shore of Lake Michigan and caught the SS Badger which is a historic coal-fired car ferry and took that across the lake. We caught the 1.30 a.m. ferry and got a stateroom and slept for the four-hour journey and then got off on the other side which is in Ludington, Michigan and then drove across the state to the eastern shore which is an area called Harbor Beach which is about a couple hours north of Detroit. Fairly kind of Rural and sparsely populated area, beautiful shoreline. And then we connected with a friend who runs dive charters in the Great Lakes. And she happened to be going out last week with a really well-known underwater photographer named Becky Kagan Schott. And we might have talked about Becky a little bit on the show in the past. Yeah, for sure. If you're not following Becky on Instagram and you like really dramatic underwater photography, you should give her a follow.  Really does amazing work. She's really doing a lot of innovation with, uh, underwater lighting and, and kind of deep water wreck photography. And I'm working on a bit of a profile about her for, for a magazine. So that it was kind of an opportunity to connect with her and spend some time diving, uh, in her kind of favorite part of the world. Very cool. Yeah. So, um, the, the one wreck that, that we dove Becky and, and some others were doing some stuff that's a little beyond my, my abilities and my kind of, uh, air breathing, they were diving helium and rebreathers. And we dove the wreck of the Daniel J. Morrell, which is one I talked about in the past. It sank in 1966 and it was a 600 foot long freighter that broke in half and sank in two parts. And we dove the bow. It was spectacular. We had Caribbean style visibility, just well over a hundred feet of vis, which is unheard of in the Great Lakes, just blue water.  Just beautiful, beautiful diving. It was awesome. Very un-Caribbean like temperatures. We, I saw a bottom temp of 36 Fahrenheit, which is probably three or so centigrade. So it was, it was chilly, but um, you know, new dry suit hold up. Well, I, I didn't have the new dry suit for this trip. I've got a trip coming next month that it's going to be all ready. I got the new one. Uh, and I thought it was going to be taking it on this trip. This was the Aquila dry suit that I talked about. |
|Unknown|Um,|
|Jason Heaton| But it was cut a little bit too small for me to fit my thermal underlayer underneath it. So I sent it back and Aquila was kind enough to recut it for me. So I should have that in a couple of weeks and give that another try. But it was great. And Becky's very gracious and was a lot of fun to be around. And we were diving with Shipwreck Explorers out of Milwaukee, a woman named Jitka Hanakova, who's the owner of the boat and the skipper and a really accomplished diver herself.  you know, to have these two really capable women divers, woman divers, um, and kind of watch them working. It was really, really inspiring and interesting to see how they kind of work together and do these dives. And, uh, just a really good time. We had great weather and, uh, we, we actually spent our time. We, we didn't stay in hotels. We stayed with a friend of, of my friend, Chris's, um, a guy named Robert McGreevey, who, is an interesting guy in his own right. He's older, he's retired, he's in his 70s, but he's a fairly well-known marine or maritime artist, does sort of classical style oil painting on large scale of ships. And he lives just north of Harbor Beach there with his wife in an old converted farmhouse that he's made kind of a studio out of. And Bob McGreevey's grandfather, he actually was born in Belfast, Ireland, and his grandfather And his father worked for Harland and Wolfe, the shipyard that built the Titanic. And his grandfather worked on the Titanic. |
|James|Oh, wow. |
