
# The Grey NATO - Ep 66 - We're Back!
Published on Thu, 18 Oct 2018 06:00:09 -0400



## Synopsis
The podcast is a casual conversation between two friends, Jason Heaton and James, catching up after a summer break. Jason talks about his recent travels, including diving trips to the Great Lakes region and a trip to Monaco where he attended a yacht show and visited the Museum of Oceanography. James shares updates on the cars he's been able to drive, including a Lamborghini Huracan Performante, a McLaren 720S, and a Bugatti Chiron. They also discuss their recent vintage and budget watch acquisitions, as well as their renewed interest in film photography. The episode closes with some final notes related to adventuring, travel gear, and an upcoming film release.

The podcast has partnered with Hodinkee, a renowned watch publication, which will be advertising on the show going forward. However, the hosts assure listeners that the show's content and independence will remain unchanged.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-66-were-back)
- [episode MP3](https://www.buzzsprout.com/2049759/11311055-the-grey-nato-ep-66-we-re-back.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello. |
|James|Hi, is this, uh, can I speak with, uh, Jason? Am I pronouncing that correctly? |
|Jason Heaton|Yeah. Yeah. Who's this? |
|James|This is James. How's it going? |
|Jason Heaton|Oh, geez. Wow. It's been a while. I think it's been since August. |
|James|Yeah, for sure. So we're back. Jason, I'm thrilled. This is great. We took a nice little summer break. You got crazy busy. I got crazy busy. We've been doing a ton of stuff for the last kind of six to eight weeks.  But now fall is back. It's kind of time to maybe spend a little bit more time in the office. And with that, TGN's back and we have kind of a big announcement in kind of considering the future of the show and how we'd keep it running and kind of blending mixed schedules and making sure that everybody's happy with the setup. We've partnered with Hodinkee and we're now officially brought to you by the site. It's a new partnership and something that we're super excited about. So the great team at Hodinkee, which, of course, Jason and I work very closely with, We're interested in bringing TGN on as kind of an advertising partner. And moving forward, we couldn't be happier about it. And the only real change that you're going to see or hear for the show is we're going to move to Thursdays, which is a better fit for the overall schedule. So we used to be every other Tuesday, we're now going to be every other Thursday. And we'll stick to that like we have up until our summer break. And then we're also going to have the occasional ad on the show. Currently, we don't have any ads, but When it comes up, we'll make sure that it's super obvious. If you've listened to the fantastic Hodinkee Radio episodes, the ads are going to be very similar in kind of style and set up to that. |
|Jason Heaton|So, yeah, I'm excited. I think this really dovetails nicely with kind of the work you and I have been doing, you know, piecemeal for the past several years. You know, I've been with Hodinkee for quite a while and you joined last year. And I think we, you know, so much of what we do and write about ends up on Hodinkee and we end up talking about it, and I think that said, what I'm happy about is that they gave us full independence to, despite the fact that we're part of the network, just business as usual. We'll just keep talking about, you know, adventure, travel, diving, and gear, and watches. And I think that's, it's kind of a a really nice relationship going forward. I think I think listeners will be thrilled and we will have more listeners, hopefully, which I'm really excited about. |
|James|Yeah, same here. And I hope this means that we can maybe actualize on some plans to do, you know, more events, maybe show up to some stuff. |
|Jason Heaton|Yeah. And we can both apologize to our our existing listeners for our sort of extended hiatus for the past, I don't know, six weeks or so. You know, it's funny. I was getting sort of some some feedback from people occasionally you know, in places like comments on Hodinkee articles and on Instagram comments where people would say, Hey guys, you know, summer's over time to start recording again. And I, I know we, uh, we delayed our, our restart a little bit, but hopefully, uh, we'll be back and, and hit the ground running here. And I w I just want to add to that, you know, going forward, we would love to, um, get feedback from, from listeners, uh, as to what we can do to improve the show, what you like, what you don't like, what you'd like us to do more of, you know, we're open. And I think this is kind of a logical time to not do a reboot. I think we're just going to keep on, keep on keeping on, but, uh, it's kind of a logical place for, for, to ask for, for feedback as we kind of kick off a new chapter here. So please, by all means, write to the gray NATO at gmail.com, or you can certainly comment on, on Instagram or, or wherever you like. And I guess now you can even comment in the show notes on, on Hodinkee. Yeah. |
|James| To all of you who responded to the last call for feedback when we took the summer break, I really appreciate all the emails, both of support and of constructive criticism and all that, all fantastic. If you ever want to get in touch with either of us, both of us, whatever, like Jason said, thegreatnadoatgmail.com, we reply to every single email that we get and we will continue to do so. So Jason, let's see if I can, let's see if I can do this right off the dome.  Hello, and welcome to another episode of the Graynado brought to you by Hodinkee. It's a loose discussion of travel, adventure, diving, gear, and most certainly watches. This is episode 66, and we thank you for listening. That's official. Yeah, that's great. All right. So while I think we're going to in the future, you know, stick to kind of broader, like actual topics for shows, that was part of the feedback that we got over the break was that people really enjoyed kind of locked in topics that we would chat about. Yeah. This is not going to be that we've been, you know, essentially not doing the show and really so busy. We've only been half kind of communicating on Slack for the last six weeks. So this is just going to be like a simple catch up. And so people can kind of understand where we were and what was still going on and the fact that we didn't just abandon the show and and that sort of thing. |
|Jason Heaton|Yeah. So what have you been up to? I mean, it's funny, you know, you said we really haven't been communicating much on Slack. And I feel like I sort of have been observing what you've been up to just through, you know, through Instagram and through the occasional Nouveau or Hodinkee article that you've done. But it looks like more cars, more cameras. It's a lot of cars, a lot of travel. |
|James|I had a really good run. If I remember, it was a lot of travel. It was a really busy time for travel. I adored it. It was great. And if I remember correctly, the last kind of car thing I talked about would have been the Bentley Bentayga in Portland.  So since then, pretty impressive run. I'll do just a few minutes on each because there's quite a few, but I went to the global launch for the Aston Martin DBS, which is a 715 horsepower V12, kind of more wild version of a DB11. And that car was just absolutely incredible.  And we were in southern Germany, right on the edge of Austria, right near the Eagle's Nest. |
|Unknown|Oh, yeah. |
|James|And so the roads were incredible and the driving was wild. The car is very wild. I mean, it's a lot of power for the rear wheels. It makes a great noise. Like, it communicates really well in Germany. So you'd be driving like something of a low-level maniac between, say, two small German towns. You'd get to the town, slow way down, you know, back down to the speed limit.  get to like a crosswalk and it's a, it's a, like a fire spitting V12. So of course, like you see some kids, you put it in neutral and you rev it. Yeah. And like, or like in Vancouver, that's not going to make you any friends. Yeah. In Germany, people are clapping. You're getting thumbs up. Like I'm going to like, it's a bright red, like a glowing red, uh, DBS. So that was a really fantastic trip and an amazing car. And then I had, uh, I had a handful of cars on loan here in Vancouver. It was really, really nice way to fill you know, some of the time at home with a little bit of added excitement. So I had the Ferrari GTC4 Lusso, which is the V12 four-seater. Yeah. Kind of a hatchback, mini wagon, shooting brake sort of idea. Yeah. I mean, there's not much, like, I mean, you look at it, it's incredible, like just an amazing car, super comfortable, really fast. V12s that rev to 8,500 are always good. And, you know, you go through a tunnel, it sounds kind of like an old F1 car.  Wow, really fun. And you could put you could put I put four adults like I put three adults in it. Plus me had a glass roof that people really loved. And that car was an absolute treat. It actually like fit into my garage so I could actually get it down the ramp. Oh, and and into into my underground parking. So that's great. I had the new M5, the 2018 M5. I bet you like for cars and TGN listeners like a lot of a lot of them know the M5. I think that kind of fits better than a Ferrari or even an Aston into the kind of general milieu. But I think that this is the this for me, I think, is very much a return to like the E39 generation. So it's a very stoic looking car. It's very like, honestly, I'd like it was in this kind of bright, brightish blue. Yeah. And, and I'm kind of blacked out wheels. And even then, I mean, if you didn't know M5s, if you didn't know the current generation M5 or the last gen, I feel like you wouldn't necessarily know it wasn't just a 5 series, like a 540 that has like nice wheels. And then of course you start it up and it's a 4.4 liter twin turbo V8. It rumbles like a muscle car. And actually driving it, that car is, the way it drives is the exact opposite of looking like a casual sedan.  It's just insane. It's 600 horsepower. It's insanely fast. I put both of my kids, I have two little girls, I put both of them in the back seat, in their car seats and everything, because it's a big car, has plenty of room. And then I put a GoPro in the back as well and just kind of launched it around. And it was great. We had a blast with that car, super fun. And my parents were in town when I had that car and kind of neither of my parents had ever been in like a fairly quick car. So I got to give them a ride as well.  We put a fair amount of kilometers on it. That's a really, really good car. |
|Jason Heaton|That's a good car to have with the family visiting. I mean, you know, it's better than having a McLaren or something when you've got family in town. |
