
# The Grey NATO - Ep 68 - What Watch Should I Get?
Published on Thu, 15 Nov 2018 09:00:08 -0500



## Synopsis
The hosts Jason and James discuss how it's difficult for them to recommend specific watches for listeners to buy, as choosing a watch is a highly personal decision. They emphasize the importance of trying on watches and developing your own taste through experience, rather than relying solely on others' opinions. They suggest buying and selling watches as a way to explore different styles and learn what you truly like. Jason and James also touch on the topic of watches as investments, cautioning against expecting significant returns and advising focusing on enjoying the watches themselves.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-68-what-watch-shoud)
- [episode MP3](https://www.buzzsprout.com/2049759/11311053-the-grey-nato-ep-68-what-watch-should-i-get.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James| Hello and welcome to another episode of The Gray Nado, brought to you by Hodinkee. A loose discussion of travel, diving, driving, gear, and most certainly watches, this is episode 68, and we thank you for listening. How's it going, Jason? |
|Jason|Pretty good. I have to admit, I'm a little jet-lagged, so if I kind of stumble and bumble a little bit, I had to take a bit of an impromptu trip to Sri Lanka since we recorded last, actually. Had a bit of a family situation over there, which has turned out to be okay, but it necessitated some long hours on an airplane and a 10 and a half hour time difference. So I've been back about a week and I'm still kind of waiting for my, the fog to clear a little bit. But yeah, other than that, it's yeah. |
|James|Stupid DST got in there as well. |
|Jason|Yes, exactly. Yeah. Lost an hour and I guess we gained an hour is how you look at it, but yeah. So, but other than that, yeah, doing okay. How about you? |
|James| Yeah, things are fine here, you know, just kind of settling into the fall, really. Yeah. And it feels like more of a transition this year. It might be the travel thing or I'm not sure, you know, busy days, of course, and just thrilled to have a chance to sit down and chat over the last couple of weeks with you. Yeah. You know, before we dig in, I did want to say like a huge thank you to everybody with all of the support of the now this will be the third episode that we've put out working with Hodinkee and The comments have been like super positive, super constructive, really helpful. And the listenership has grown. So to all the new listeners, thank you so much. Jason, I really, really appreciate it. And if you ever need to get in touch with us, obviously thegraynadoatgmail.com. Leave a comment on the post and Hodinkee. We read all of those. Or you can find us on Instagram, of course. So whatever works that way. But yeah, do you want to dig into how it went in Sri Lanka?  Yeah, sure. |
|Jason|What you got up to? Yeah. Well, like I said, it was kind of more of a sort of a family visit trip. I had an ill relative over there who's thankfully on the mend, but I did have a little bit of free time to do a little exploring just around Colombo, the city. And one of the kind of cool things I always enjoy when I go there, and I've been there several times over the years, is, as listeners might know, I'm a bit of a Land Rover nut. I've got an old Series 3 from the 70s.  whenever I go over there, um, they're, they're kind of everywhere. And I always enjoy sort of the different, uh, uh, different defenders and series trucks, uh, that you see around in the streets. And it just so happened that while I was there, there was a, um, an annual British car show that was being held at the Jaguar Land Rover dealer in, in Colombo, the capital of Sri Lanka. Um, and I had, uh, you know, a free couple of hours and, and got myself dropped off there and, It was, it was really fun to see, you know, just the, the lineup of vehicles, um, not just Land Rovers and Jags, but, uh, just, you know, everything. I mean, Sri Lanka was a former British colony and Commonwealth nation. So you do get a fair number of, of British vehicles there anyway, but it was just old Jags and Morris and MGs and triumphs. And of course Land Rover. Um, so it was really cool and it was fun. I put a post up on.  on Instagram as well because I also met an older gentleman who's the father of a friend of mine who lives over there and he's a former British Airways mechanic who lived in England for a while and then moved back to Sri Lanka and brought an old Land Rover, not dissimilar to the one I have, back to Sri Lanka and I went and visited him at home and got to kind of pick his brain and look at it. But it's neat when you travel and whether it's watches or a certain vehicle or cameras or whatever it may be that you have that bond, that sort of built in bond where it's sort of a global community of people that you can sort of instantly pick up and talk about something with. And I kind of found that when I was chatting with him and then also at that, uh, at that car show just to kind of, you know, share war stories and, and, you know, um, pick people's brains about, about these vehicles. And, and, you know, I've also gotten a few comments on Instagram, uh, on some of the photos I posted from, from Sri Lanka and people saying, Oh, Hey, you know, next time you come, we should do a, like a watch get together or we should do some sort of a, um, I'd love to meet up with you. And, and I think that'd be fun. I don't often have a lot of free time when I go, but it got me thinking that, um, it would be really fun to do sort of a watch get together. So if there are any great NATO listeners out there that live in Sri Lanka and, and would like to, to get together or organize a little event, um, just an informal kind of pub get together to chat about watches. Um, I'd be game. So, uh, you know, drop me a line. You can do it through, uh, the gray NATO at gmail.com or just ping me on, on Instagram through a direct message. |
|James|But, uh, I love that idea. |
|Jason|It's just fun, right? I mean, you probably experienced the same when you, when you travel a lot and, uh, you just bump into people that, that are into certain things. And, and I love that. Um, I think that's the beauty of these kind of quirky hobbies that we have that, uh, that you get these people, random people all over the world that are into the same stuff. |
|James|Oh, I totally agree. I think that's a super cool idea, especially because it's like, maybe there's only two or three listeners out there, but maybe they know, they know each two or three people and you get 10 people together and have a really nice evening in, you know, a part of the world that is uncommon and you might get some new perspectives. And I mean, I guess Sri Lanka is fairly common to you now.  Um, but I think, you know what I mean? And, uh, yeah, I love that idea. Yeah. |
|Jason|Super cool. Yeah. So it was, um, it was a fun trip. It was, like I said, it was tiring, but, uh, you know, and it's a bit of, bit of not just culture shock, but sort of environment shock. It came back to, you know, we're in the, just above freezing, there's snow on the ground this morning and over there it was pretty sweltering as usual, but, uh, um, you know, contrasts are the spice of life. So it was, uh, it was a good trip. Absolutely. Yeah. And you were, you were in, um, I think you were in New York.  for about a week while I was in Sri Lanka. I was catching a bit of that on social media. |
|James|Yeah, so I was in, I actually didn't, I was shooting so much for Hodinkee, I put almost nothing on Instagram. I find that I, does this happen to you where you kind of go in waves? Yes. With your level of interest with Instagram, like posting? |
|Unknown|Yeah, yeah, definitely. |
|James|Like I find, I find that like if I have, if I'm holding a camera and running it all day and likely taking a lot of pictures that like could go on Instagram, I don't want to sit there, transfer a photo, edit it on my phone. I want to sit and just mellow for a moment. And sometimes I lose that hustle. If it's not a press trip. So when I go to New York for Hodinkee, I'll basically work out of the office for a week and be in some meetings and maybe do a recording, that sort of thing. Maybe shoot some video. There's different sorts of needs that if you're on site, And as soon as I'm there, it feels different. It's not a press trip. I don't feel like necessarily beholden to produce a bunch of Instagram work. And I'm not going to bother everyone in the office by taking pictures of them and then putting them on Instagram or something like that. You just kind of relax into that. And my mother wrote me and she said, Oh, you must be very busy. You haven't put anything on Instagram. I was like, Yeah, I guess you're right. I haven't. Yeah. But yeah, it was... I mean, New York, that was my first time in New York in the fall.  Oh, nice. And I absolutely love it. I got an awesome Airbnb in Chelsea I was really happy with, and I had a really great time in the city. I got a chance to see Free Solo, which when I left, or roughly around the time that I left for that trip, wasn't playing in Vancouver and now is. Oh, okay. But Free Solo, and you have it on your list for today's pre-show chat. Yeah. Free Solo, you absolutely have to see. If you're listening to the Greynado, Yeah. You already like Free Solo. Yes. We don't have to, like, we've definitely talked about it a ton. And, you know, there's, there's, there's a lot there to like, but it is like, it's super, it's super grenado. |
|Jason|It totally is. I mean, it's, you're right. It's, it's, it's very much up our alley and I think we both were kind of chomping at the bit to even talk about it. And I'm glad you got to be able to see it. You were able to see it because when it opened in Minneapolis, it hadn't opened in Vancouver and I remember I sent you a photo of the movie poster and you said, Oh, you know, you're lucky and whatever. So I'm glad, I'm glad you got to catch it as well. |
|James|And, uh, so yeah, they've only done one showing or they had only done one showing in Vancouver and it was like mid October. It was loosely, I think, connected with a film festival. So it played at the Rio and sold out immediately.  And now it's my understanding because I ran into some guys on a street corner, like two guys I didn't know that were talking about Free Solo and I kind of like interjected and said like, guys, that's awesome. You have to see it. Yeah. And they're like, oh, it's playing at Scotia. Like it's playing at one of our normal like Cineplex. Oh yeah. So I'd like to see it again if I get the free time. I definitely don't have the free time in the next few days, but if I get a chance, I definitely would like to see it again. And if I'm lucky, it'll be playing at the Scotia that's like, um, in the marine area of Vancouver, which has one of the best projectors I've ever seen. I saw Blade Runner a couple times there. |
|Jason|Really good. I think we probably would be remiss if we don't back up slightly and explain what Free Solo is, because I think we're both so sort of rabidly excited about this. |
|James|That's fair, yeah. |
|Jason|There might be a few listeners out there that aren't familiar with it. |
|James|So it's the latest documentary from the team that brought us Maru, which is Jimmy Chin and Elizabeth Chiavarzarelli. I guarantee I'm saying that name slightly wrong. My apologies.  We've definitely talked a lot about Maroo and since I started talking about Free Solo, people are telling me to watch Maroo. So like everybody knows that there's like a circle. Yeah. Maroo is an amazing climbing documentary about like a huge wall in Pakistan and Jimmy Chin and Conrad Anker and Renan Ozturk. It's about two attempts on this wall. Free Solo is about something so much more pointed. Yeah. And it's basically this kind of prodigy climber, Alex Honnold, who we've definitely talked about before. We definitely have linked, you know, the last episode I linked to his TED Talk about this climb. Oh, right. Yeah. And so we've definitely covered the topic loosely, but this is essentially a sports documentary, but I would say it's more about... It's a documentary about someone's mindset. Yes. Very much a character study. Absolutely. And I would say that his brain, is like perfectly designed for what he's managed to do. That's true. Yeah. And, uh, it's, it's about, uh, Alex Honnold, this, uh, climber that practices a type of climbing called free soloing, which is no ropes, no protection. So you have chalk essentially and shoes, climbing shoes. And, um, and it's about him climbing a route on, uh, on El Capitan in Yosemite Valley.  Uh, that would be difficult to climb with ropes, like very difficult to climb with ropes. And he climbs it without ropes and very fast. And you know, a lot of people, myself and Jason have said like, this is probably the athletic achievement of a generation. It's an absolutely unprecedented thing mentally to be that dialed in. And the film is like beautifully shot. It has some fantastic, like two camera interviews. They kind of crisscross the actual climbing endeavor with Honnold's endeavor into a relationship with his girlfriend. And it gives you a really stark contrast about the way that his mentality is maybe a plus for climbing and maybe a negative for interpersonal relationships. |
|Jason|Yeah. It was a very, it was a very stark, um, dichotomy between, or, or, you know, in looking at his character, you're right. I think, um, I was trying to think of other things that he would be well-adapted for with his mindset, and relationships I wouldn't say is on that list. Maybe watchmaking? I don't know. He just has a very single-minded... Yeah, he'd probably make a great diver. Yeah, probably make a great diver. |
|James|Like a cave diver. |
|Jason|Very in focus, very mindful in the moment. I'm hesitant to say selfish, but there's just a certain sort of...  I don't even want to say obliviousness to the rest of the world, but he's very much kind of lives in his head, you know, in a good way. |
|James|Yeah. I think that, I think that he's like, and I think there's, there's many times in the movie that they kind of established this, that like the relationship thing is something that he's kind of learning. Yeah. But he spent his entire life learning how to do the rock climbing thing and to do it at a level where fear doesn't enter the math the same way that it does for other people. And, uh, and I think it's got, you kind of, it's kind of like seeing somebody that's like, hyper specialized at one thing attempt to do other things yeah there's there's a scene that like i was in a small movie theater and there's a scene in the movie where him and his girlfriend walk into like a home depot yes yes and yeah that's my exact reaction is you laugh you this is not his environment yes yeah it's like when you it's like i instantly felt like every time i've ever been in a costco|
|Jason| It reminds me, there was a movie I saw years ago, it was, I can't remember what it was, but it was about a war veteran who comes home from Afghanistan or something. Yeah, Hurt Locker. Maybe that's what it was, and he goes to the cereal aisle at the grocery store. He can't pick a cereal box, yeah, yeah. |
|James|Yeah, it kind of had that same feel to it. It's a fantastic, it's an amazing scene, an amazing movie for sure. Yeah. But yeah, just to see the stark contrast, and that's just excellent filmmaking, in my opinion, is to follow them. Yeah. They're buying a fridge or something. Yeah, yeah. But you see He takes three steps in a Home Depot and you go like, nah, that feels wrong. |
|Jason|Same with the house, the house that they were buying. I felt the same way. Yeah. Very strange. Very, yeah. I felt like the title Free Solo is just perfect because it describes the type of climbing, but it's also, it's, it perfectly describes him too. You know, he's free while he's solo. I mean, that's, that's his, that's his nature. He's just so raw and just, it's just him. And, um, yeah, fantastic film. I've got, I've got a little something in the final notes that I'll bring up that's related to this as well. But, uh, it was great. I would say, um, if you haven't seen this movie, I mean, you have to see it. It's just a prerequisite for, for being a great, great NATO listener. |
