
# The Grey Nato - Episode 07 - "Partners In Time"
Published on Tue, 26 Apr 2016 08:55:37 -0400



## Synopsis
This episode of The Grey Nato podcast covers watch brand partnerships, from celebrities and sports to adventures and charities. The hosts discuss how certain partnerships have influenced their interest in particular watch models. They interview representatives from the Australian Marine Conservation Society about their partnership with Oris to protect the Great Barrier Reef. The episode also includes recommendations for books, articles, and music related to watches and exploration.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-07-partners-in-time)
- [episode MP3](https://www.buzzsprout.com/2049759/11311117-the-grey-nato-episode-07-partners-in-time.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Welcome to Episode 7 of The Grey Nado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. I'm Jason Heaton. |
|James Stacy|And I'm James Stacy. Today we're talking about watch brand partnerships from celebrities to sports to adventures and charities. We've even got an interesting interview on that topic.  Before we dig in, a special thanks from Jason and I to Michael Stockton and Fertella Watches for their coverage of the Grenado. It was all too kind and oh so much appreciated. You can follow Michael, at Mike in Frankfurt and at Fertella Watches on Instagram. Long live Speedy Tuesday and on with today's topic. So again, we're talking about watch partnerships and this is something that I think everybody has an opinion on as far as the way brands want to interface with other entities within pop culture.  Etc. And the way you know, I made some brief notes on this to try and collect my thoughts. And I think that the types of partnerships fall basically into five rough categories. So you have like a celebrity partnership. So that's a personality and or a product which so it could be anything from an actor to a role they play in a movie. Then you have products. So that's everything from you know, Aston Martin and Richard Mille have a brand new partnership. Breitling and Bentley, Jag and Bremont.  Then you have sports institutions. So that could be like a team or a series. So Tiso has a very like new and big connection with the NBA. Rolex, of course, has their endurance racing series. Chopard works with Porsche Motorsport. Then you have exploring and endeavors. That could be like Rolex and their connection with the Mountaineer, Alpinist, Ed Veesters, or even James Cameron and the Deep Sea Challenge. Also Bremont and the Terra Nova expedition.  And then finally, you have charity slash philanthropy. So that could be like Blancpain, The Ocean Commitment, Cobalt, and their factory in Nepal and their connection with Randolph Fines. And then you have ORIS and, you know, a number of various partnerships, including things like their Great Barrier Reef initiatives. So Jason, let's start from the enthusiast perspective. Has a partnership ever pulled you in to buy a watch? Has it ever kind of piqued your interest and brought you to a model that maybe you wouldn't have leaned on beforehand? What's your experience with watch partnerships as an enthusiast? |
|Jason Heaton|Well, I'm a big, for me, watches are, it's so tied up in storytelling. And for me, the history of a watch, the history of a brand, that whole tie-in has always resonated with me. So I think, you know, certain partnerships work better than others. But for the most part, if it's an ambassador or an expedition or even a charity or some sort of conservation cause, it really has to resonate with me. And as listeners will know, and as you know, James, I mean, for me, I'm a real outdoorsy guy, I like diving and climbing and sort of the history of exploration. And so a lot of the brands that you mentioned earlier are ones that maybe they didn't draw me in based on a partnership, They have sort of endeared me to the brand and I think, you know, Bremont is an example. I followed with great enthusiasm the Terra Nova expedition a couple of years ago when the polar explorer Ben Saunders did that man haul from the edge of the Antarctic Peninsula to the South Poland back and he was actually wearing one of their watches while he did it. And they sort of had this dramatic debut of the watch on the last day of the expedition. He took a picture of it in his tent and said, you know, introducing this new watch from Bremont that I've been wearing for the past couple of months while I was doing this expedition. I thought that was, uh, it was great. |
|James Stacy|I thought it was really cool that the watch wasn't simply an existing model that they slapped, you know, an icon, like a, a new logo on the dial to connect with a new partnership. Like they designed a watch around the rough parameters of that trip. So of course you had a GMT movement, which gave them the ability to actually measure compass heading.  Yeah. In situations where the compass wasn't usable, obviously, when you're that close to the South Pole. Right. And also it's a titanium version of the Supermarine and that previously didn't exist. They were steel. So they had gone lighter. I mean, this was an expedition where they were cutting off the ends of their toothbrushes to save weight. Yeah. So it wasn't a joke when they decided to go with titanium and decided to go with a compass bezel.  That was designed for the rough, and that's why they only made so many. I mean, it was limited. I want to say there's 300 Terra Novas. Yeah. And certainly cool watches, but an interesting actual tie-in with that event. |
|Jason Heaton|I think that gets to a key point. I think I've always been drawn to sort of purpose-built watches. So maybe in the 50s, 60s, 70s, watches were, because they were legitimate tools, a lot of times they were built for specific purposes and you've got I think the brands at that time, you didn't have the full on partnerships that you have nowadays, but they still recognize the appeal of having a Reinhold Messner in a National Geographic ad wearing an oyster quartz while he's on the summit of Everest. And I think that legitimacy is important to me when I look at watch partnerships, especially from that celebrity or ambassador or expedition type genre that you were talking about, because there are some certainly some lazy examples uh of watch tie-ins where you know you're slapping a logo on a dial or um you know just creating a certain color way to commemorate a special edition and to me that that doesn't draw me in like like some of the more legitimate ones with with ambassadors or or causes things like that yeah i think generally i would say that like|
|James Stacy| these sorts of partnerships especially ones with actors and such i'm not that interested in like they probably wouldn't lead me to even change my opinion of a watch uh like i find it kind of fun when you can spot a watch on a late night talk show or in a movie and you know what it is like that can be kind of fun but i generally don't necessarily care who's wearing it at that point yeah it's more just like the watch nerd crowd of being like you know oh i paused the pvr and oh i know what that is yeah so what's your what's your take on|
|Jason Heaton| on the James Bond tie-in with Omega. |
|James Stacy|How do you... I think it's hugely powerful for the brand, but I don't think it's for enthusiasts. Yeah. So when I say that I'm not that interested in most of these partnerships, I think most watch enthusiasts consider these ancillary to the watches. But I think for the most part, the idea is that You know, it's about attaching watches to a non-watch enthusiast audience. |
|Unknown|Yeah. |
