
# The Grey NATO - Ep 70 - Gift Guide 2018
Published on Thu, 13 Dec 2018 06:00:05 -0500



## Synopsis
The episode discusses a gift guide for the holidays, including recommendations for affordable items like a watch demagnetizer, Field Notes subscription, and the newly released book "The Watch Thoroughly Revised" by Gene Stone and Stephen Pulverit. They suggest items under $100 like the Bose QuietComfort 35 headphones, an Away suitcase, and a packable Patagonia puffy jacket.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-70-gift-guide-2018)
- [episode MP3](https://www.buzzsprout.com/2049759/11311051-the-grey-nato-ep-70-gift-guide-2018.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to another episode of The Grey Nado, brought to you by Hodinkee. A loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 70 and we thank you so much for listening. We are recording from a small apartment here in the West Village in New York City. James and I are both in town here for the Hodinkee 10th anniversary weekend. |
|Jason| Yeah, it's been a thing. It has been. There's been multiple panels every day and you know, these events at night, we've met a ton of really great people, lots of fans of the show, which is so nice for people to come out and kind of support Hodinkee at large. And certainly Jason and I, at some scope with this sort of thing, we had an amazing meetup at the Half Pint. So to everyone who came to that, I don't know what to say other than like, thank you. It was such a great time. |
|James Stacey|I didn't do a headcount, but we had a really good turnout. We packed that little back room there. Yeah. It was, It was really special to meet that many TGN listeners in one time. I mean, I don't think we've really, you know, had sort of anecdotal feedback about the show and then you bump into people here and there, but to have that kind of gathering in one place was pretty incredible. |
|Jason|Yeah, I would agree. I had a blast. I thought the bar was perfect. It was, you know, really close to where we were already here for, you know, the HoneyKey 10 stuff. And yeah, it was just really nice to meet people and get a chance to do that. And I think it's kind of case study in the fact that we could do something like that in other cities too. We gave some heads up for this. It was mentioned on the last show and obviously for anyone who wasn't able to make it, we'll try and make one the next time we're in the same place at the same time. But yeah, it's kind of fun to get to do a face-to-face episode. It's been almost a year. When would it have been? The ORS thing last year. Last January. No, last December. Like almost a year. Oh, December. Yeah, right. Almost a year dead on. Like today. Yeah, you're right. Today or yesterday.  So yeah, this is fun, and episode 70. |
|James Stacey|Yeah, and if our voices sound a little more baritone, it's, you know, we've been shouting over large rooms of people. |
|Jason|My throat is shot, I just drank, I just ate some honey. I don't know, I don't know if that works or not, but that's where we're at. |
|James Stacey|Yeah, it's been great. You know, H10, we're, let's see, we're two days into the three-day event here, and there've been some really cool panels. What surprised me is there've been some panel discussions that I watched that I didn't think would interest me, but they, you know, I'm not kind of into the collecting or auction scene, but like Oral Box was really fascinating. I could listen to the guy, read the phone book and be interested. |
|Jason|And we'll put a link in the show notes, which of course are both in the app on your phone or at Hodinkee. There'll be a post for episode 70 with the show notes, but we'll put a link to those live streams as soon as they're available because you can watch them anywhere. We recorded all of them. And, uh, his is definitely worth watching. The guy's fascinating. He speaks really well. He's funny. Yeah.  I thought he did... I mean, the panels have been incredible, and I'm just happy that we're making them available online. We'll be able to watch them later. But I thought it was really... I thought it was really interesting, the kind of insight that he had, and also just the level to which he clearly loves watches and the whole game. He's into the whole mix of it, for sure. |
|James Stacey|Yeah, and he's such an affable European gentleman. He has good stories, and he tells them well.  And then, of course, you and I were part of the panel on the first day, very early on in H10. And that was really fun to sit in with Rolf Studer from AORUS and Reza Rashidian, who's a big shot collector. |
|Jason|Just the sweetest guy. Yeah, we had a really good time. It was a killer. You know, I got to run the panel, so I only had to kind of keep everybody talking. Yeah. But between yourself and Rolf and Reza, I thought it was great.  you know, it was about dive watches. We had different perspectives. Uh, yeah, again, it'll be streamable if, uh, you know, if we can pull the audio maybe and put it as another episode of TGN as like a surprise episode or something, maybe we'll do that too. Um, but yeah, I thought those, those went really well. I was also pretty happy to have my panel done day one on day one. So now we going to record this and then head back to the space. Uh, and then this afternoon you and I will, you know, hide in the background of the, uh, editor's panel. Yeah.  So yeah, it should be good. And that's the one that closes the event. And you head back literally this afternoon. |
|James Stacey|Yeah, I've got a car coming right to the event, so I'll be flying home this evening. You know, it was so fun to kind of just wander the hall there, the venue. It's such a great space. A great space. You know, the old Lamborghini there and just some great watches around. And the funny thing is, I mean, you know, you think at an event like this, you're always looking at people's wrists. But I just found I was just talking to people.  Just chatting about people, or with people rather, and the questions that come up and just kind of the usual thing, very indicative of the time in which we live, where everybody sort of, they introduce themselves and you get this blank look and then they're like, oh, I'm so-and-so from Instagram. And it's like, oh, OK. Jonathan Hughes, who goes by JJHughes69, I think, or 1969 on Instagram. A big British collector of CWCs and Omegas. I met with him and, of course, Jason Lim from Halios, and Jason Gallop from Rolldorf. Enrique from Mouchant was there. |
|Jason|Yeah, we got a bunch of buddies. She rocked up. It's great. |
|James Stacey|Yeah, yeah. And thanks to Enrique for bringing over the cronuts and the pizza. |
|Jason|The cronuts and pizza. I mean, Enrique's keeping you fed, for sure. Yeah, yeah. As a maniac. |
|James Stacey|Yeah, it was good. And speaking of Halios, I guess I'm looking across here at you, and you've got the new C4 Rolldorf edition. So we're going to kind of kick off the show here as we have been doing lately with kind of what we're wearing these days and that's probably the one you're going to talk about, right? |
