
# The Grey NATO - Ep 71 - Fav Watches (and Other Stuff) Of 2018
Published on Thu, 27 Dec 2018 06:00:25 -0500



## Synopsis
In this episode, Jason and James reflect on their favorite watches, travel experiences, photography gear, and other highlights from 2018. They discuss standout timepieces they wore or reviewed, like the Tudor Black Bay GMT, Omega Seamaster, and vintage watches from brands like Doxa and Tornek-Rayville. Jason talks about his first full year working freelance, with opportunities to review cars like the Aston Martin DBS Superleggera and photograph people like Moki. James shares diving adventures in locations like the Revillagigedo Islands, Maldives, and the Great Lakes. They also touch on new camera gear like the Nikon Z7 mirrorless system. Throughout the episode, they express gratitude for their listeners and partnerships that enable their work.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-71-fav-watches-and)
- [episode MP3](https://www.buzzsprout.com/2049759/11311050-the-grey-nato-ep-71-fav-watches-and-other-stuff-of-2018.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of the Graynado, brought to you by Hodinkee. A loose discussion of travel, diving, driving, gear, and most certainly watches, this is episode 71 and we thank you for listening. Hey Jason, how's it going? |
|James Stacey|Pretty good, pretty good. We're coming down to the end of the year here. This is actually our last episode, so... It sure is. It's been quite a year and, you know, I just got back from a short trip out to Colorado. I was in Aspen where Ghoshani and I did a little skiing and some backcountry adventuring and came home and now, you know, Scrambling to do a little bit of last minute holiday shopping. But, uh, yeah, we're, we're coming down to it. |
|Jason Heaton|How about you? Uh, yeah, I mean, it was in New York for quite a while for the over the age 10 thing, which we spoke about on the last episode. And it's been, uh, it's been a pretty busy December, a lot of, you know, kind of moving around and trying to keep up with, uh, yeah, gift buying and work and all those sorts of things. And then, I mean, things kind of start up immediately in January, we get a couple of days into the year and, uh, and you and I'll be back in Colorado.  Uh, you know for for another press event, which uh, you know, I think we can probably talk about at a later date But it'll be pretty obvious as far as instagram goes. Yeah. Um, and yeah, I you know, I think for this episode There's not a lot necessarily like you you you were away on a trip for a little while But it's also one you can't really talk about just yet. Uh, I think for the most part we can probably What do you think just jump right into the main topic? |
|James Stacey|Yeah, I think so. I mean it's it's kind of a logical final episode of the year no big surprise if anyone looked at the Kind of the title of this episode, we're going to be talking about our favorite watches of the year. Um, mainly ones that you, that you and I have handled and maybe try it out. Sure. And then just kind of a, a brief sort of look at, at, at what was a pretty significant year, I think for, for both of us here at, uh, at TGN. |
|Jason Heaton|I agree. Yeah, entirely. I mean, like obviously I think some, some big kind of breaking ground scenario is, uh, you know, we got brought into Hodinkee as far as, As part of, you know, kind of an inside podcast, uh, set up and, and, and that's been amazing. And then we had a Hodinkee 10, which only comes around every decade. So that was also amazing. Uh, we had a really great response. Uh, Jason, I'm sure you got some nice messages. We've got a ton of emails about Hodinkee radio, our appearance on Hodinkee radio, which was awesome. And we had a blast, uh, you know, big thanks to Steven for making that possible. |
|James Stacey|Yeah, that was fun. Um, it was, it felt so different than, than just recording TGN to just have that third person in the room. And Steven's such a great.  sort of catalyst for discussion and, and, um, just a good host. So it was really, it was just very natural, felt very fun. |
|Jason Heaton|I was worried that it was going to sound a lot like just a lot of you and I talking about ourselves for a little while. And I didn't really know how that would be received, but it seems to have gone over fairly well. So I feel better about that. And, uh, and yeah, it was, it was fun to be able to do that well in New York and all those sorts of things. And then, yeah, I think this episode is just going to be mostly review of, you know, some wins, maybe a few misses and, uh, and then yeah, some favorite stuff from the year. |
|James Stacey| Yeah, I agree. I mean, I think, you know, just to kind of revisit, I don't want to always talk about, uh, uh, are being brought on by Hodinkee. I mean, we've talked about it on a few past episodes, but I think just to put a kind of put a button on it at the end of the year here, I think it was, it was something that, that, you know, I think we both had talked about for a while and, and people had some questions about, you know, what's going to change with the show. And just in the past, I don't know how long we've been doing it now under the Hodinkee banner, so to speak, but, um, you know, a handful of episodes and, Nothing has changed. I mean, I think it's been a really nothing but positive. I mean, we had a great response to our Meetup invitation in New York. Absolutely. We've gotten some great... It's nice to see people being able to comment within the Hodinkee posts on the on the website when our episodes go up and just, you know, just growing the audience, I think it's been fun to kind of bring in some new listeners. |
|Jason Heaton|So. Entirely agree. And, uh, and yeah, I mean, I think that's probably as far as the show is concerned, kind of the big, the big change for the show this year, we took that nice little break over summer holidays. I had been traveling almost nonstop for a while, so just kind of needed to not have to be producing the show for a little while. And we stretched it kind of as long as we could to, uh, know make the most of getting a little break but then we came back in full force and I think I mean the partnership's a lot like the stuff we write for Hodinkee where there's not a lot of involvement where you know we're asked to do something that we are capable of doing and they you know have faith that we'll turn in something that people want to read or listen to or whatever so. |
