
# The Grey NATO - Ep 72 - Watch Resolutions
Published on Thu, 10 Jan 2019 06:00:15 -0500



## Synopsis
The podcast opens with a New Year's greeting and discusses the hosts' holiday breaks. One host went on a getaway to Northern Minnesota and tried out new cross-country skis, while the other reflects on the stress of moving across the country. They discuss their anticipation for an upcoming trip to Colorado where they'll get to ski and record a face-to-face episode.

The conversation then shifts to the upcoming SIHH watch show, with one host attending for the first time with Hodinkee. They share their excitement for potential releases from brands like IWC, Jaeger-LeCoultre, and Lange. They also speculate about commemorative watches for the 50th anniversary of the moon landing and the Rolex Submariner Date.

Next, they dive into their goals, resolutions, and desired watch releases for 2019. Topics include exploring vintage gold watches, trying to be a "one watch guy" for periods, hiking and outdoor adventures, and the hope for reasonably sized sports watches from brands like Blancpain and Omega.

The episode closes with final notes recommending the Netflix show "Tales by Light," waterproof thermal pants from Ozark Gear Company, a Netflix show about extraordinary homes, and a new magazine from W.M. Brown Project.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-72-watch-resolutions)
- [episode MP3](https://www.buzzsprout.com/2049759/11311049-the-grey-nato-ep-72-watch-resolutions.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of the Graynado, a Hodinkee podcast. A loose discussion of travel, diving, driving, gear, and most certainly watches. This episode is proudly brought to you by Alps and Meters, upholding the tradition of classic alpine sport. It's episode 72, and we thank you for listening. Hey, how's it going? Great. Happy New Year. Yeah, same to you, dude. The year started off okay. We're a few days in at this point. |
|James Stacey| Yeah, about to meet each other again out in Colorado tomorrow. |
|Jason Heaton|Yeah, I'm kind of like weirdly, like really excited just to kind of be out there for a few days. I had kind of, you know, been moving across country. It was pretty stressful sort of December and into even the last couple days. And I'm excited to kind of get out there and just kind of focus on watches and hang out with you and decompress a little bit. |
|James Stacey|Yeah, yeah, should be fun. Should be a good crew and I don't know.  The mountains in winter are just something special. So it should be great. |
|Jason Heaton|Yeah. We get a day of skiing. That's going to be awesome. And we get to do a face-to-face episode so people can look forward to that from the next one. Yeah. Great fun. So what else is, what else is new? Tell me, tell me a little bit about your kind of holiday break. |
|James Stacey|Yeah. So, you know, since we recorded last, which I think was just right around Christmas, I guess, my wife and I went up to Northern Minnesota, just along the North shore of Lake Superior to kind of outside of a small town called Beaver Bay.  for uh kind of for a pre-new year's getaway and we we rented a cabin that we found on VRBO and um kind of happened to drive up there just in the just in the wake of a pretty major snowstorm that they had up there so that made the driving kind of interesting and but it also made it just just really beautiful to kind of get into the woods and um we had to go up like a half mile really steep snowy hill um just kind of turn off the traction control and just kind of floor it and kind of skid up to the top. And then once we were there, we didn't leave at least in the, in the car, um, did a little bit of snowshoeing and, um, I brought some new, uh, new cross country skis that I got this winter and got to try those out. But other than that, we just, just hung out, kept the wood stove full of wood and, and read books and listened to podcasts and, uh, um, just, just looked out, you know, Lake Superior was kind of off in the, off in the distance through the trees and, It was it was really really great to sort of unplug after What was you know, pretty busy year. So it was great. That sounds awesome. I'm happy for you Yeah, and you know the the skis that I got were really fun to try out I mean, we've had a really lousy ski winter here in in the Twin Cities for snow and for skiing because it's just been sort of icy and gray and We've even had a lot of rain this winter, which is really weird. But so I got a chance to take these skis up north with me. They're from Fisher. They're called the S-bound and they've been around for a few years but I hadn't tried them. They're kind of marketed as a backcountry ski, metal edged touring backcountry ski that you could use for some sort of light downhill skiing I guess if you were proficient in telemark style skiing or you can kind of like skitter your way down.  that half-mile driveway or road that we had to drive up I was kind of practicing my downhill technique in these skis and they work pretty well. They're pretty wide at the at the tail and the tip so they're kind of almost like carved or you know carving style cross-country skis which is sort of a weird it was a weird concept for me but but what's really neat about these skis is they have a little slot and up near the nose that you can you can string a skin through which I didn't do but you could put like a removable skin for for doing uphill travel if you're doing some serious kind of uphill mountain backcountry skiing, but Yeah, they were they were great. So, you know just a full disclosure Fisher sent me these to to try out so I didn't pay for them, but regardless they were really Really impressive and it's it's just fun to kind of get up You know that far north where the snow is still deep and just kind of break trail. So that was that was a lot of fun|
|Jason Heaton| Yeah, my my dad is very much a big fan of cross country skiing. But you know, we're I'm in southeastern Ontario currently, which is where my parents live. Yeah. And there's no snow here. Oh, yeah. So he he told me many times over the Christmas break, that he was looking at your Instagram and just like, like lovesick for the snow. Oh yeah. And he got a, he got a beautiful new pair of boots. He has new skis this year. Yeah. And, uh, and I keep telling him like, man, you get in the car and just drive somewhere. Like you said, like go find a cabin, go, go up somewhere near a ski area or whatever that has some snow and, uh, and kick around. So my guess is that'll be his next move. |
|James Stacey|Yeah. And it's funny, I, years ago I bought a, uh, I got a set of, um, roller skis, you know, so you can use your existing Nordic boots and poles, um, But then you, uh, you clip into these roller skis and I tried them a couple of times and boy, it's just death defying to be on pavement, like kind of getting up some speed, like especially going down a hill. And you know, I know that plenty of people do this for off season training, but they're, they're fairly terrifying. So not to, uh, and yeah, that's a pretty lousy sales pitch, but, uh, I will offer them if you want to, if we meet in Colorado and your dad wants them, I can bring them. You can hold them back for them because I've, I've given up trying to use them. |
|Jason Heaton|Yeah, for sure.  Anyway, I'll run that past him and see what he thinks. Yeah. |
