
# The Grey NATO - Ep 74 - All The SIHH Feels
Published on Thu, 07 Feb 2019 06:00:05 -0500



## Synopsis
Jason and James discuss some of their favorite watches and other highlights from the recent SIHH watch show in Geneva. They cover standout pieces from brands like IWC, Audemars Piguet, A. Lange & Söhne, Ressence, and Montblanc. They also touch on Jason's recent photography setup changes, as well as recommendations for a classic film, podcast, and travel accessory.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-74-all-the-sihh-feels)
- [episode MP3](https://www.buzzsprout.com/2049759/11311047-the-grey-nato-ep-74-all-the-sihh-feels.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Gray Nato, a Hodinkee podcast. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This episode is brought to you by Drive Coffee, a premium coffee inspired by automotive history and its icons. Hey Jason, how's it going? |
|James Stacey|Oh, it's cold. It's getting downright polar here. |
|Unknown|It's cold here too. |
|James Stacey|Yeah. I was thinking about you because, um, You know, you made the move from sort of that subtropical, coastal Pacific Northwest, and now you're kind of in the tundra. Is it cold there? |
|Jason Heaton|It's so cold. I think it's four Fahrenheit. I'm not great with Fahrenheit, especially when you start to get into the negatives, the math becomes a bit different. But I think it's about four. And we had a weekend here where it was, I'm going to have to switch to Celsius to keep it easy. It was like negative 25.  Oh, yeah, in Toronto, and that was before you like started to deal with a lot of the wind. Yeah. So I mean, it's nice, because like, I haven't seen any rain, which is different for January, but I'm really, I'm definitely missing the mountains, the ocean, and the fact that like a cold day in Vancouver is like negative two Celsius. Yeah, yeah, yeah. So it's a it's a whole different thing. Definitely. Definitely, you know, bought a pair of gloves, which I guess is a thing had to buy a new two Yeah. Yeah, so it's nice and definitely getting acclimatized to Toronto. The travel schedule is crazy, so I will dodge a good piece of winter, I think, just being on the road. Yeah, that's true. Looking forward to a lot of that. How have you been? |
|James Stacey|Good, yeah. I mean, it's getting cold. I mean, we're recording this on a Monday and in a couple of days they're predicting You know, like minus 40, which I think is where the centigrade and the Fahrenheit meters meet. Not cool. So, yeah, we're kind of hunkered down with loads of firewood and it snowed last night. So it's feeling like winter. I mean, we didn't really have a proper winter. And, you know, as I talked about on a few shows earlier, I like to kind of, this time of year, pull out the polar bookshelf and start reading through some good books. I'm halfway through a Will Steger book about his trip to the North Pole.  You know, you can certainly channel your Mike Horn a little bit up there in Toronto as well. Absolutely. But yeah, no, all's good. And next up, I guess we've got, oh, I guess we'll probably see each other in Basel in about six weeks. But yeah, you've got some travel before then, but I'm kind of hunkered down here. |
|Jason Heaton|Yeah, I mean, I guess we may cross paths in New York. Oh, true. Yeah, that's right. In early March for an event that I would say is yet to be announced. But if it happens, we'll probably do a show from there, which I'm excited about.  A quick trip, a quick little blast into New York, but between let's call it the next month, I think I'm in Arizona, New York, Florida twice, getting around. |
|Unknown|Yeah, warm places. |
|Jason Heaton|Nice. Yeah, definitely warmer than what we're dealing with in this little corner of the continent. But yeah, it's been a busy time. I think the year's off to a pretty good run already. And yeah, Although I've been back for a week and a half at this point, we're back from SIHH, we're living in a post-SIHH world, and that's going to be the main tone of the show, is you and I, even when we're not at the show together, in past years you've been there and I wasn't, and this year I was there and you weren't, it's still fun to pick through everything and see what lands in the TGN mind space. And then we were filling out a Google Doc separately, and I was like, half typing things in and then being like, nah, I don't think that'll suit. And then you type it in. I was like, all right, we're on the same page. So there's a couple of interesting watches. I mean, it's SIHH, so it's not all consumer, what I would call consumer product. Yeah. But certainly stay tuned for all of that. We'll dig into some watches in a bit. But what have you been doing? You know, otherwise, I know that there's a project that you can now talk about if I have that correctly. |
