
# The Grey NATO - Ep 75 - Watches And...
Published on Thu, 21 Feb 2019 06:00:15 -0500



## Synopsis
In this episode, Jason and James discuss how they manage competing hobbies and allocate their disposable income across various interests such as watches, travel, diving, driving, and gear. They share insights on prioritizing experiences over things, buying quality gear and maintaining it, resisting the temptation to constantly upgrade, and focusing on what's truly important. They also talk about their recent watch acquisitions, driving experiences with McLaren and Porsche, and the importance of starting with writing for free if one wants to pursue a career in the field.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-75-watches-and)
- [episode MP3](https://www.buzzsprout.com/2049759/11311046-the-grey-nato-ep-75-watches-and.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to another episode of the Graynado, a Hodinkee podcast, a loose discussion of travel, diving, driving, gear, and most certainly watches. This episode is brought to you by Drive Coffee, premium coffee inspired by automotive history and its icons. A quick thank you at the top of the show for all of the love online, the comments, the emails, everything we've gotten. We do read it all. James fields the emails and forwards them to me, and we respond to every single one of them, and it really means a lot to us to see how the show is growing, and we certainly appreciate all of our listeners, both those of you who've been there from the start and those who've joined more recently. For those who don't always make it to the end of the show, you can always write to us at thegraynadoatgmail.com with any questions or feedback or comments, and as I mentioned, we do reply to all of those, and we'll be sure to get to yours just as quickly as we can. So why don't we jump in. James, you're sitting in New York City right now, aren't you? |
|Jason Heaton|I am, yeah. You know, I've been moving around a fair bit lately and currently residing in New York City. I'm in sort of a makeshift studio at Hodinkee's headquarters in Soho. If there's a little bit of background, sort of New York noise, just consider it local color. Yeah, right. And how have you been? What's the weather scenario today?  in the Midwest? |
|James Stacey|Well, the snow is piling up. This is, I guess, I just read this morning that this goes down as one of the top 10 snowiest February's and we're only, well, we're not even halfway through it. So, it's piling up. It's snowing again today and I'll have to go out and shovel and my favorite winter activity is raking the roof. |
|Jason Heaton|Oh, wow. Yeah. I didn't even consider it. That'd be so much snow. |
|James Stacey|Yeah.  We live in an older house here and it's prone to what are called ice dams and for those of you that don't live in these northern latitudes, what happens is with older houses with not as great of insulation, the heat rises and melts the snow down from the top of the roof and then it freezes as it gets to the gutters or the eaves and then it kind of traps any further melting and then it can back up underneath the the shingles and leak into the house, which, which we've had over the years. And so the, the kind of the trick is to get the snow off the roof as quickly after it snows as possible. So, um, I have this very long, uh, looks like a kind of an inverted shovel on a, on a sort of a, not telescoping, but you sort of have to construct it, this really long aluminum pole that you keep adding sections to, and then you stand on the ground and you just go up and pull the snow down. So, Maybe that's more information than people wanted to hear, but it's going to be my activity here after we get off the call. |
|Jason Heaton|Okay, well, I mean, aside from the weather, how are things? Any new watches? What's the scene with the Land Rover these days? |
|James Stacey|Land Rover's doing well. I'm kind of moving it from one side of the street to the other, kind of banging around. When we get the deep snow, it's kind of my sole opportunity to do any really sort of off-roading, if you will, with it. You know, I live in the city, so there aren't exactly a lot of sort of two-track dirt trails around here. So to get any sort of four-wheeling, these deep snowfalls are quite fun. And it gets through anything. It's a 40-year-old truck, but I just pop it in four-wheel drive, high or low, depending on what's needed. And it just goes. And yeah, it's been starting in the really cold weather.  Yeah, it's a lot of fun. But, you know, other than that, I did have a watch here that was sent to me by a fan of the show that is Lorenzo and Lauren, the two owners of Laurier. Oh, of course. They came to our TGN meetup that we had in New York City back during the H10 event back in December. And we got to chatting with them and they asked if one of us would like to check out a watch to kind of chat about on the show.  They sent me their latest watch, which is called the Falcon. And I'm really impressed. In fact, I would go out on a limb here as to say that it might be the best choice for a truly affordable watch, maybe aside from a Seiko these days. This watch comes in at $399 US.  just it's kind of a perfect size. So it's 39 millimeters in diameter. It's about a 12 millimeter thick case. So it's kind of thick. And then you've had this domed acrylic crystal, which, you know, not everybody likes acrylic crystals. A lot of people prefer a sapphire, but I think they specifically went for acrylic to kind of keep that sort of vintage aesthetic to it. And I certainly like it. It's 48 millimeters lug to lug. So it's a pretty versatile size.  It has a great bracelet, kind of a flat, flat oyster style, tapering 20mm bracelet with just a kind of a simple fold over clasp with some push buttons. The dial has this sort of waffle patterning to it and the one that they sent me was the, it's the hunter green dial. Okay, cool. And it has sort of this gilt style gold markers and hands.  You know, a few shows back, I talked about that Tudor Prince Oyster Date that I picked up just before the holidays. And to me, this watch has that same sort of appeal to it. It's kind of a do-anything, dressier sort of sports watch that you could just kind of wear. It's just a really reliable, well, I don't know about reliability because I haven't had it very long, but, you know, just sort of a rugged watch. I mean, it's got 200 meters of water resistance. It doesn't have a dive bezel. It's got a bit of loom.  but but it's just it's just a watch you know it's it's kind of a classic styled rugged sort of sports watch with a big crown and an acrylic domed crystal um just just i found it really pleasing to wear kind of on a daily basis just really comfortable and and good looking um that's great i like the dial quite a bit and then i also just kind of like it has that sort of a 50s sort of look to it|
|Jason Heaton| Totally. Which is pretty sharp. And I didn't realize they were 38 millimeters. That's obviously a great size, especially for a watch that, you know, it has a lot of dial and a nice legibility to it. I think that's, uh, they're clever. They look good. They don't look like other things, which I like quite a bit. You know, they've got, they've gone their own way as far as style, which, uh, extra points certainly. |
|James Stacey|Yeah. And it has, it runs a Seiko automatic. So, um, you know, a lot of watches at this, uh, price point, kind of that sub thousand dollar, they, they go with the Miyota movement and I, you know, I'm not a watchmaker, so I can't speak to, one versus the other as being a better quality, but certainly with good experiences with Seiko watches and Seiko movements, I think it's a really solid choice. The bracelet, it comes with a, kind of came in like a little leather pouch with a screwdriver tool for sizing the bracelet, which was a very easy process. Some watches with screwed links can be a bit finicky. You have to use two screwdrivers or they're loctited together and can be a little bit tricky to kind of size. This was super easy. It fit really well. It wore really nicely. And I couldn't really find anything bad about the watch. I mean, I guess if you looked at the dial under a loop, you might see a little roughness around the hands and markers and things like that. But let's be honest, for $399, it's a lot of watch for that kind of money. So yeah, I mean, thanks to Laurier for sending that over. I mean, we, you and I have sort of admired their sort of vintage style dive watches for, for a long time. And, um, when they asked, uh, you know, if, if I wanted to check out one of their watches, I thought, you know, this Falcon being their kind of their latest release and then sort of, you know, veering a little bit away from a dive watch. Um, it was a fun one to, uh, to check out. |
|Jason Heaton|Absolutely. I think that's great. And, uh, you know, I also had a, uh, a sort of entry level dive watch in another sort of, you could consider it a, uh, alternative to something like your normal Seiko. And that's the the main Hudson. So this is a 38 millimeter, they make them in 38 and 42, it's a 38 millimeter sort of dress diver. It has more of a modern style, you know, they say on their website that it has kind of a vintage aesthetic and I'm not, aside from the 38 millimeter sizing, I'm not sure I would agree. It kind of has a, not a classically timeless look, but a generally timeless look.  So we've got a post on Houdinki of it, you know, just as pretty straightforward, hands on. But it's 400 euros, so it's about 450 US dollars. It has an ETA 2824. It's got a nice balanced dial design, a little bit of color, decent bezel, the same sort of bezel you'd find on a Seiko at a similar price point. Yeah. So it's nicely made. It wears really well at 38 millimeters. And I think it's, you know, it's yet another one of these options where everybody's had a Seiko or you still have a Seiko or you've got 10 or like whatever your scenario is. Yeah. And this is something from, you know, a new brand. They're based in Stockholm. I think it's a handsome kind of simple, straightforward proposition that's well-priced. |
|James Stacey|Yeah. I mean, again, you know, here we are with, you know, it seems like this sort of endless stream of choices nowadays at these price points. You know, a while back you had reviewed the Merode, the Bonaire. |
|Unknown|Yep. |
