
# The Grey NATO - Ep 76 - Perfect Product #1
Published on Thu, 07 Mar 2019 06:00:18 -0500



## Synopsis
In this episode, Jason and James discuss new audio gear they're using for the podcast. Jason talks about his recent impulse purchase of the Newmark HS Chronograph watch, with its unique asymmetrical case design inspired by vintage RAF watches. James recounts his experience test driving the new BMW X7 luxury SUV across the southern US states.

They kick off a new series highlighting their favorite reliable and unsung gear, with Jason praising his Blundstone boots and James recommending the Canon EF 50mm F2.5 compact macro lens for watch photography. For watch-adjacent items, Jason talks about a custom Rover Haven Bund strap for his Bremont Supermarine watch, while James praises the Toxic NATO straps for their simplicity and durability.

In the final notes, Jason recommends the "To the Ends of the Earth" documentary about the Transglobe Expedition, and the new Apollo 11 IMAX film. James mentions the Genie smart plug with nightlight function, and the album "Good Pain" by the band Yolk Lore.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-76-perfect-product)
- [episode MP3](https://www.buzzsprout.com/2049759/11311045-the-grey-nato-ep-76-perfect-product-1.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to another episode of the Graynado, a Hodinkee podcast. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 76, and we thank you for listening. Hey, Jason, how's it going, man? |
|Jason Heaton|Good, good. How do I sound? I'm on some new audio gear. |
|James Stacey|Yeah, yeah, no, you sound good. I'm glad we're doing minor upgrades. |
|Jason Heaton|Yeah, well, this was a long time coming. I mean, I had been on the original kit that that you sent me a couple years ago when we started doing this, which worked fine. But this Zoom H5 and then the Shure microphone, I've got a nice stand on the desk. I think it brings us into kind of parallel setups and it'll make it easier for us to record on the road and that sort of thing. |
|James Stacey|Yeah, so I get emails about it every now and then so I can fill in some of these blanks. I've been using for almost all the episodes. I mean, right now I'm on Hodinkee's setup.  I'm in New York and but when I'm at home or on the road, I typically use an H5N from Zoom, which is a field recorder, and then Shure SM58. It's a simple indestructible microphone. |
|Unknown|Yeah. |
|James Stacey|And if you treat the microphone correctly, it provides fantastic sound. And you now have the same gear after using for several I mean, for 75 episodes, basically, you've been using a Blue Yeti Pro. |
|Unknown|Right. |
|James Stacey| So aside from new audio gear, which is always a nice, warm, fuzzy feeling, how's things? |
|Jason Heaton|Good. I mean, you know, we just finished February and it was, uh, we got, uh, over a meter of snow. So, um, in old money, that's, uh, I think we got close to 39 inches. Um, so I'm, I'm, you know, I'm, I'm a winter lover. I love winter, but I'm, I'm kind of done with it now. And today's today's really cold. Um, we're into March and it's, you know, it feels like January, but, uh, you know, um, things are looking up. We've got, uh, uh, Wednesday I fly out to to New York and I'll meet you there for the the Braemont townhouse event and you know we're kind of kicking into that spring season. Basel comes in a couple of weeks and yeah so I'm kind of looking forward to the warm weather and a little bit of cabin fever here but that'll be resolved soon enough. How about you? You're back in New York. How's the weather? What am I going to be walking into? |
|James Stacey|I think it's about mid-50s. It's sunny.  some mixed clouds. It was nice. It was super slushy this morning, but it seems to have warmed up nicely. I've been a little bit all over. You know, I did a little tour of the south with BMW last week, and then I was in Toronto briefly, and then now I'm back in New York, and then I'll be back in Toronto, and then I'm back in Basel. So it is fun because by the time anyone listens to this, we'll actually still be in New York, or you'll be going home, roughly.  Yeah, right. That's true. So we're recording this episode a few days ahead of the Bremont townhouse, which is why Jason and I are loosely both in New York when you're listening to this. And then it'll come out that Thursday. I'm trying to keep the episodes recording as close to when they'll go live. It makes it a pain to edit, but it also makes it a little bit cleaner in terms of like audience understanding movement and things like that. So it's a plus that way. And then the next episode, so episode 77 will actually be from the Bremont townhouse where we actually get to record Uh, you know, face to face, which is nice. We take any, any opportunity we can. |
|Jason Heaton|Right. Yeah. So how was the, uh, how was the Florida trip? I saw some posts. It looked, um, it looked very Southern. It looked like kind of flat and hot. |
|James Stacey|Absolutely. Yeah. So I wouldn't, uh, I guess it was kind of hot because I'm so used to the really cold these days and flew to Tallahassee. This is for the new BMW X seven, which is their sort of full size three row SUV.  Uh, you know, it's a, it's not necessarily, it's not the same platform as the X five, but the idea is it's a bigger X five in the same way that a seven series is bigger than a five series. |
|Unknown|Sure. |
|James Stacey|So it's super luxurious. It's all the tech that BMW has. It will be a flagship product, like a seven series, you know, it's a hundred thousand dollars or more. I can't really talk. Well, I can say, I can't, I literally can't, uh, talk about driving impressions as they're embargoed until later in March. |
|Unknown|Huh? |
|James Stacey|Aside from that, if you've been in a really well equipped x5 or even a nicely equipped to very good equipped uh 7 series it's just like that okay yeah i'm surprised bmw hasn't had a car or a vehicle like this for i mean because audi's had that q7 i'm guessing that kind of lines up yep against that um for for a while for a few years now yeah i already said the q7 and mercedes has a couple kind of larger vehicles the gls and such you know i i think i i just think bmw kind of took their time to make sure it was a product that they actually wanted to make and wasn't just the reaction to people wanting an alternative somewhere between, say, a highly loaded Navigator and a Range Rover. |
|Unknown|Sure. |
