
# The Grey Nato - Ep 77 - Face To Face At The Bremont Townhouse 2019
Published on Thu, 28 Mar 2019 06:00:19 -0400



## Synopsis
This episode is a recording from the Bremont Townhouse event in New York City. Jason Heaton and James Stacey discuss the new watch releases from Bremont, including the Armed Forces range with a broadsword field watch, arrow chronograph, and argonaut diver. They also cover updates to the Supermarine 300 and 2000 dive watches, a new edition of the MB3 watch celebrating Bremont's 10th anniversary with Martin Baker, and tweaks to the women's Solo line. They share their overall impressions of Bremont as a brand and specific models they're interested in.

The hosts also discuss some of Bremont's ambassadors like adventurer Nirmal Purja who is attempting to summit all 14 peaks over 8,000 meters in less than 8 months. For final notes, James recommends the film "Arctic" with Mads Mikkelsen playing a pilot stranded in the Arctic, while Jason suggests following the "Strange Planet" comic on Instagram for its clever commentary on human behavior through an alien lens.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-77-face-to-face-at)
- [episode MP3](https://www.buzzsprout.com/2049759/11311043-the-grey-nato-ep-77-face-to-face-at-the-bremont-townhouse-2019.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Gray Nado, a Hodinkee podcast. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 77 and we thank you for listening. Hey there, we're face to face. Hey, what's going on? |
|James Stacey|Yeah, we are on a high floor of a townhouse here in New York City. |
|Jason Heaton|Yeah, we only get this a couple times a year to do it face to face and I know that recent listeners might remember the one we did with Oris. |
|Unknown|Yeah. |
|Jason Heaton| in Colorado and now we're both in New York City like we mentioned on episode 76 for the Bremont Townhouse. |
|James Stacey|Yeah, we just recorded a couple of days ago. I flew out this morning and I will be flying home tomorrow morning. So it's a very quick turnaround for me, but we packed some stuff in. We met for lunch today. I got to pop in at the Hodinkee offices and say hi to a few folks.  And now we had a beer in the hotel where I'm staying. And now we wandered over to this beautiful townhouse where actually we were last year as well. |
|Jason Heaton|Yeah, so there's probably enough new listeners from last year to this year that it's worth explaining. Obviously, I think a lot of TGN listeners would know Bremont, obviously a British brand led by two brothers, the English brothers.  And it's sport watches, kind of masculine sport watches, a line of really nice women's watches. And they've been around for quite a while. It's hard and steel. It's, you know, if you don't know Bremont at all, I highly encourage you to swing by their website and check it out. And they, they backed out of Baselworld a couple of years ago. It's not a great position for a British brand and they, you know, you're fighting against all your other possible competitors for anyone's time. And they run their own event, which they call the townhouse. It was originally just in London.  Then it was split into two phases, London and New York. So North American Press comes to the New York one. And this is the second year they've done it here at this really impressive townhouse on Lafayette Street in NoHo. And it's lovely. |
|James Stacey|It is. So this space is actually, I don't know who it's owned by per se, but it's actually serves as a demo space for Macintosh high-end, high-fidelity audio gear.  You know, I think it's probably, what, five stories high, faces the street here, beautiful, you know, wood floors, coved ceilings, big, giant, you know, meeting space downstairs and a kitchen, etc. And then every room has this exquisite, really expensive-looking audio gear. |
|Jason Heaton|Yeah, we're sitting in front of what's got to be $100,000 worth of Macintosh gear and then a set of lovely Sonos Faber speakers.  It's a treat. I do hope that after this, the little party is actually going to start in about 30 minutes. So it'll be a shorter episode than normal, but we'll pack in plenty. But after this, we'll go down. Hopefully, I can go down one floor, procure maybe a glass of whiskey, if such would exist in these places, and try out. There's a crazy stereo that we listened to last year that I'd love to hear again, especially if if they happen to have the ability. I brought some lossless audio this time. Oh, cool. Just in case I keep it in my bag when we do really good car reviews. Yeah. Uh, so if I could hear some Wolf Peck on a, on a, you know, $200,000 worth of a stereo downstairs, that'd be pretty fun. |
|James Stacey|Yeah. So, I mean, you know, James and I have a bit of history with Braymont. I mean, they're kind of a brand that aligns nicely with, with the whole TGN vibe, you know, very outdoorsy kind of a bit of a, you know, military vibe, climbing, diving, that sort of stuff. And their ambassadors are really cool people. They've got, you know, polar explorers and mountaineers and that sort of thing. And the brothers are really, you know, lovely folks, Giles and Nick English. And Giles is here. We chatted with him earlier tonight when we arrived. Nick is off doing kind of a similar event in Australia and then Hong Kong. And so it's always fun to catch up with those guys. And then, of course, there's a lot of the New York watch press is here. Zach from A Blog to Watch is here and Logan from Watch Time and a few other folks.  And and then they kind of just throw a big party. So they did a watch presentation, which we'll talk about briefly the new watches but then they kind of open it up and and they have you know music and cocktails and canapes and And in this space, it's just it's just a lot of fun to come up shoulders and chat with folks Yeah, and it's not just it's not just watch folks that come to this. |
|Jason Heaton|It's a lot of like New York There's no fashion elements. There's some influencers. It's that sort of thing but for these sorts of presentations that they do earlier in the day it is kind of our normal circle that you see in, certainly when you're doing the press circuit for watches. And it's nice because it's, you know, it's 20 people maybe and they did two waves today and you get a chance to, you know, grab a watch out of a case and get a picture if that's what you want. You do some social media or whatever. And certainly that's the context in which, you know, Jason and I are here is to actually get a chance to see the new pieces and maybe decide if there's something we'd like to review later on. |
|James Stacey|Right. And just to insert here, if you hear a lot of background noise, it's because the The party is kind of getting ramped up downstairs and more and more people are arriving. |
|Jason Heaton|So I'll do my best with the audio, but there's only so much you could do with these kinds of live scenarios. And we figured it more important to be able to do it face to face than you know, it'd be a normal kind of studio. |
|James Stacey|And I think this is the third year we've done a live recording out of Bramont townhouse. I think we, I believe so. It's kind of become a tradition of ours. And, um, also, um, you know, got to give a shout out to our good friend, Mike Pearson, who was back, he's back. He was with Bramont for years. I think from the beginning he kind of built Bramont to what it is in the U S today. Um, then he left for a year, two years maybe to kind of, uh, wander in the wilderness, so to speak with some other jobs.  And now he's back and we're really happy to see him and wish Mike all the best. It just feels right. Picking up with Braymont. It feels right now. The universe is aligned again. So, you know, why don't we, so we can, you know, get on with the partying later on here. Why don't we jump in and talk about some of the new watches? |
|Jason Heaton|Yeah, I think that makes sense. So the, I guess the new stuff is broadly broken into sort of four, maybe five categories. The most notable is a new armed forces range with the Her Majesty's Armed Forces.  Yeah. So it's essentially their MOD, a modern MOD sort of watch, and it comes in three models, a 40 millimeter kind of field watch with a sub seconds, which is called the broad sword, and then a two register chronograph with a date, which is called the arrow, and that's 42 millimeters. And then finally, a 42 millimeter kind of compressor style, so a re-hut, spinning re-hut diver, called the Argonaut, which is also, like I said, 42 millimeters. Interestingly, they're all the hardened steel, which has worked really well for the Bremont that I've owned, which is an older Solo now. It's a really impressive thing that they just don't scratch that much at all. But in this case, to achieve a lower price point, they've opted away from their Triptych three-piece case. So it's a traditional two-piece steel case, but it's fully hardened. I held it in my hand. It feels great. The 40 millimeter version, I really like the broadsword.  It's a handsome watch. And then of course they are actually, uh, you know, finding official military applications for these within the British military. And, uh, and it's the first time I mean, Braymont, if you know your Braymont history has supplied watches to the military for some time, usually customized for air forces and things like that. This'll be the first time that it's the same watch that would be sold to a civilian as is supplied via the, uh,|
|James Stacey| Yeah. According to Giles earlier tonight, he said that, um, you know, because of Bramont's history, making these sort of, uh, bespoke, uh, edition watches for, um, different regiments and squadrons, uh, you know, finally the, the, the ministry of defense in the UK just approached them and said, you know, we, we really kind of would like to do more of a formalized partnership with you guys and with watches that you can sell to civilians. And, and the styling of these is, um, It's a bit of a departure for Bremont. I think you would probably recognize certain elements of this if you're any sort of a military watch buff. They kind of took inspiration from the 12 watches known as the Dirty Dozen from the 12 different brands that supplied the UK military back in the 40s. So they've got kind of those big rounded Arabic numerals, fairly stark white on black dials, and just kind of pretty straight up steel cases, as James mentioned, no Triptych case, that they sort of kept that bit of the Bremont vibe on the sides of the case. |
