
# The Grey NATO - Ep 78 - The Baselworld 2019 Megasode
Published on Thu, 11 Apr 2019 06:00:04 -0400



## Synopsis
The hosts discuss their experiences and favorite watches from Baselworld 2019. Jason talks about his trip to see the iconic Schilthorn mountain featured in the James Bond film On Her Majesty's Secret Service. They analyze new releases from brands like Seiko, Citizen, Doxa, Zodiac, Nomos, Manta, and Tudor. Jason is impressed by new watches from DeBethune and MB&F that reimagine traditional dive watch designs. They share opinions on the controversial Rolex Sea-Dweller and Tudor Black Bay P01 releases. Overall, they highlight affordable and interesting sports watches in their preferred $500-$2500 price range from microbrands and enthusiast favorites.
The hosts also discuss new camera gear like the Leica Q, share recommendations from listeners for content about the Apollo 11 mission and rock climbing, and tease an upcoming Webby award for which listeners can vote for their podcast.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-78-the-baselworld-2019)
- [episode MP3](https://www.buzzsprout.com/2049759/11311042-the-grey-nato-ep-78-the-baselworld-2019-megasode.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Stacey| Hello, and welcome to another episode of the Graynado, a Hodinkee podcast, a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 78. And we thank you for listening. Good. Yeah. How are you doing? |
|Jason Heaton| Not too bad, not too bad. I think we've got a really, like a really awesome show ahead. This is our Basel World Megasode. It's one of our biggest shows of the year. This is going to be a long one. Yeah. And because of the timing of the shows and the recording for the Braymont episode, and then we delayed the show for a week, there's actually been quite a bit for us to catch up on. We were in Basel together, got to hang out a little bit, which is great, but we have so much to talk about. Yeah. I'm kind of excited to dig into everything and especially to hear about your little field trip out of Basel, which I'm exceedingly jealous of, just from the photos. |
|[unintelligible_label]|Yeah, yeah. |
|Jason Heaton|But before, right from the top, it has been brought to my attention that Hodinkee has been nominated for a 2019 Webby Award. Oh, very cool. And part of that is the podcast effort. And so if people aren't familiar with the Webbys, it's basically the Oscars of the internet. So every Webby nominee contends for a People's Voice Award as selected by the voting public, anyone who would like to vote.  So, uh, Jason and I, and actually the whole team at Hoding Key would love it. If you have a moment, go to vote.webbyawards.com. Go to the search bar, type Hoding Key and vote for us. If, if, if you think it's something that we should, uh, we should win or be in contention for. And, uh, voting is open until April 18th. So if you could do Jason and I a favor, it would be incredible if we, uh, if we had enough votes to, uh, you know, win a Webby, that would be something really, really special. And, uh, I just wanted to get that kind of.  out there right at the top of the show. It's a fairly exciting thing to be recognized for some fun work. |
|Jason Stacey|So yeah, that's very cool. |
|Jason Heaton|Wow. All right. So with that out of the way, how have you been? What's new? You know, we've got there's this list is huge. We've got tons of watches. We've got just kind of like life stuff that's going on. It's great. |
|Jason Stacey|Yeah. And it's a good thing we're recording today because just a couple of days ago, it was still flat on my back in bed. I caught some sort of weird Swiss influenza or something while I was in in Basel. I got home on a Sunday and I was laid up from Tuesday afternoon through just until about two days ago, so I haven't been that sick in a long time. I don't want to go into some of the gross details, but it was kind of classic head flu, cough, extreme fatigue and that sort of thing, but it makes me rethink the whole flu shot decision that comes up every year. But no, I'm better now. So if I'm a little more nasally or coughing a little bit, forgive me. But yeah, all good. |
|Jason Heaton|And then before you got ill, you did have this kind of special side trip in Switzerland. Tell me about that. I'm excited. I mentioned it in Slack today. I've literally avoided asking you questions about it.  Yeah. Um, I saw the pictures, they were on your Instagram stories and, uh, and that sort of thing. And we can, I'm sure pull a couple of those and throw them in the, in the post on hodinkee.com. But, uh, this is something you've definitely talked to me about several times. |
|Jason Stacey|Yeah. I, uh, I've wanted to do this for years. I mean, it, it, it, it seems also with SIHH in January, it's a little less, uh, uh, less appealing to do in January and in Geneva, but, um, You know, Basel time, it's spring in Switzerland and it just seems like, you know, you're over there. And, and certainly Switzerland's known for its chocolate and its cheese and its watches, but, but mountains are such a huge part of what I like about, about Switzerland. And so I've, I've often thought, you know, why not tag on a day or a couple of days and get out of, get out of Basel after, after looking at watches for a few days. So this year I decided to do that. And, uh, I was flying home on a Sunday and I had flown in on, on Tuesday. So I booked all of my.  watch appointments for Wednesday, Thursday, Friday, and just kind of packed the days so that I would leave Saturday completely free. And, uh, so I got up early and I thought, you know, I'm jet lagged anyway, I'll be up the wee hours and you know, I can take, take the train and kind of make a full day trip out of going somewhere really interesting to look at some, some beautiful mountains. And, and my, my first thought was to, to maybe try to sneak a little bit of skiing in or, or some hiking. Um, But but then I got it in my head that for years I've wanted to go and see a mountain called the Schilthorn, which people might recognize the name because it was used as the setting for On Her Majesty's Secret Service, the 1969 Bond film, where it was called Pete's Gloria. And once I got that in my head, I thought, you know, I have to do that because I've been to the Grindelwald area, which is kind of the valley in the Bernice Oberland where these iconic peaks are, and skipped at that time, and I thought, you know, if I'm going to be over there, let's just make that the priority and see if skiing can fit in after that. So I got up, you know, I was up at, you know, four in the morning or whatever, and I caught the 6 a.m. train from the main Basel train station, and it was about, let's see, 6 o'clock, I got there about 9.30, so it was, you know, three and a half hours on the train, but, you know, time flies, I kind of just listened to a podcast and looked out the window and dozed a little bit and transferred at Interlaken and then Lauterbrunnen. From Lauterbrunnen you take a cable car up to a small, basically just a train station called Grutschalp. And then there's a short sort of train line that just runs back and forth between Grutschalp, the top of the cable car, over to a small town called Murin, which is sort of a high placed pedestrian only little ski village.  Um, you know, right nestled below the, the Jungfrau, the Monk and the Eiger. And, um, so it, as luck had it, uh, the weather was great. It was sunny and, you know, Fahrenheit, it was probably in the fifties, you know, nice warm day. I packed a kind of my Topo Designs, uh, mountain briefcase with a cap and gloves and a layer or two and a bottle of water and, uh, I got off the train at about 9.30 right there in Murren and I went to the Hotel Iger, which is right there. It was a recommendation from our friend Chris Hollingrake, your PR guy there. |
