
# The Grey NATO - Ep 79 - Straps!
Published on Thu, 25 Apr 2019 06:00:14 -0400



## Synopsis
The podcast covers a wide range of topics related to travel, diving, gear, and watches. Jason shares his recent trip to Bonaire, where he went diving and tried out new camera equipment, including a Nikon Z7 with a Nauticam underwater housing. He also discusses some of the watches he wore, like the Boliva Oceanographer and a vintage Teagraph. They then dive into a discussion about different types of watch straps, covering materials like rubber, NATO, leather, and metal bracelets. They share their favorite brands and models for each category.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-79-straps)
- [episode MP3](https://www.buzzsprout.com/2049759/11311041-the-grey-nato-ep-79-straps.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Unknown| Hello, and welcome to another episode of the Graynado, a Hodinkee podcast. It's a loose discussion of travel, diving, driving gear, and most certainly watches. This is episode 79, and we thank you for listening. Jason, how you doing, man? |
|Jason Heaton|Good. Good. Yeah. Just, just back from a long vacation and, uh, It was kind of this is kind of our Basel hangover episode after our big two hour one last time. So we'll hopefully keep it a little lighter this time. |
|Unknown|Yeah, that was a long episode. It took a long time to edit this and due to the complexities of your travel scenario and my travel scenario and just the general like workload I'm experiencing quick at the moment, you know, we've got less than 48 hours to turn this episode around. So it's going to be not two hours and 10 minutes.  we're you know, appreciate that at no small level. Um, this episode I think will be, yeah, a little bit of a trip recap for you, uh, because you're back from your sort of annual, even sometimes more than annual, uh, pilgrimage to Bonaire. I'm excited to hear about some new camera gear, some new watches and that sort of thing. And, uh, and then we, we've got, uh, kind of a more in-depth topic about, uh, something that we get asked about constantly, but I feel we haven't addressed in like probably 40 or 50 episodes. Right. Yeah. True. Yeah. It's been a while.  Yeah. So dig into Bonaire. Tell me, tell me how it went. I'm excited. |
|Jason Heaton|Yeah. So, you know, Bonaire, I mean, as you mentioned, I mean, we, we go, my, my wife, Gashani and I, we, we go at least once a year and we kind of tallied it up and we've been going for the better part of a decade back to like 2009 or 10 now. And it sort of has become our sort of cabin getaway, albeit more expensive and a very different type of experience, but it kind of, we used to do a lot more kind of up North, cabin rental stuff years ago. And since we really got into diving in a big way, Bonaire has kind of taken that place and it's just, it's a really relaxing place. We rent the same apartment every time. It's not terribly expensive. It's right on the water and it's a great place to do watch reviews. Of course, underwater photography, the diving is pretty gentle. They're fairly shallow right off the shore. So predictably it was, it was another great trip. In fact, we, we both, uh, talked about it as we were flying home on Sunday and said that, uh, it might've been our best trip to Bonaire yet because we kind of took it a little more, uh, a little more relaxed pace than usual. We usually either hauling a bunch of loaned watches along to kind of review and do a lot of photography. And this trip we just sort of took it as it came and, and chilled out a bit more. But you know, in the end we, we did end up, uh, taking quite a few photos and, uh, mainly Ghoshani. I mean, she does most of the photography and at least all the good stuff. And, uh, We got to try out our new Nikon Z7, which we got last fall and we actually used for that Richard Mille trip we did out to Colorado. That was on Houdinki a while back, but this was our first time shooting it underwater. And we, to do that, we picked up a Nauticam underwater housing, which is no small expense, but it is kind of what we do. So it's definitely worth it. And Nauticam just makes such a superior product.  And so for the majority of the trip, we were shooting with a Nikon 17 to 35 millimeter wide angle lens, F 2.8, for which we needed a pretty wide, pretty giant acrylic dome actually, which had some interesting buoyancy characteristics. The camera we thought would be a lot heavier because it was a bigger housing, bigger camera, bigger lens. But because of that big dome, there's just a lot more airspace inside. So we had to actually zip tie a two pound weight to the bottom of the housing to keep it more neutral Um, but that big dome allowed for some really fun split shots, kind of those over under shots on the surface. And, uh, uh, you know, if anyone kind of checked out my Instagram or Gashani's, um, you know, you could see kind of the results of that, which we never really could get with the Sony a7 and in the smaller dome that we used to have. Um, so that was fun to try. Um, but other than that, it was just a great trip. I think we did, uh, I don't know, 16, 17 dives over the course of the week we were doing.  two or three a day, kind of whenever the mood hit, we'd, we'd pick up a tank and, uh, and drive down the beach and find a good spot to go in the water. Um, so it was great. I, I had a few watches along and a few of them will be subjects of some upcoming stories, but, but one that I just took that I had just wanted to take along for fun was the Boliva Oceanographer Limited Edition that, um, uh, I got last year and I hadn't worn it much. It's the one with the orange dial. It's the, the smaller case that Boliva made like a 40 millimeter case with a Swiss movement in it.  Um, and what a fun watch. It was, uh, really kind of, I think I even made a note of this on my Instagram in a post that kind of one of the perfect sort of summer vacation or tropical vacation watches around these days. I think it's up there with, you know, stuff from, from Zodiac or from Seiko or, or Doxa. It has that same kind of small domed charm to it. Um, that kind of makes you feel a bit nostalgic for an era that, you know, we probably didn't even live through, but, uh, Kind of that whole beach, you know, strap on a tank and jump in the water sort of vibe. |
|Unknown|Yeah. I mean, that's, that's great. And, uh, definitely, uh, an interesting watch and one that I saw quite a few times in your Instagram. Yeah. The, the question that I had comes back to that housing, the Nauticam housing you had for the, the Z7. Yeah. I know that those Nauticam housings have those systems that tell you if they're leaking. Yes. Yes.  So if it does that, if it does that, do you have an option to get the camera to the surface faster than you could go to the surface? Like, could you just cut that two pound weight off and let it go to the top and hope that it doesn't continue to experience enough pressure to have a leak at the surface? |
|Jason Heaton|That's a good question. You know, it'd be interesting if one of these camera companies or housing companies put some sort of a lift bag or some sort of a CO2 cartridge that would inflate like a lift bag on top that would take it to the surface.  I suppose if we cut the weight, I'm not sure, you know, as you know, buoyancy characteristics change the deeper you go. And if you're down at say 80 feet, things become far less buoyant. That's why free divers can kind of just coast after a certain point. They don't have to kick as much that the gravity or, or the lack of buoyancy just sort of sucks them down. And so while the camera was fairly buoyant at the surface and needed that two pound weight to get under, I'm not sure if we cut the weight at say 60 feet, if it would bob up to the top, that would be something interesting to to try, I guess. Um, but certainly, yeah, you don't want to make a dash for the, for the surface just to save a camera if you're going to risk getting the bends. |
|Unknown|I was just trying to do the mental, I don't know, it's not math, but like the mental consideration in my mind is like, could you damage the camera equipment with like a very drastic pressure change? |
|Unknown|Yeah. |
|Unknown|It would probably have to be an insane pressure change. I'm not sure that a few atmospheres would be enough. |
|Jason Heaton|Yeah. Yeah. I don't think so unless you were, I suppose, very deep, but, uh, it's basically expanding air that's already in there. So it shouldn't, It shouldn't be new air that's been introduced. So I think it would be okay. I mean, to get, to get really techie and kind of nerdy about it. I'm not, I'm not sure what, what is cool about that system is that there's, there's a valve on the, on the housing that before you. Dive, you know, but when you load the camera, you seal it up and then you, you take this thing, it looks like those, I can't remember what they're called, but you know, you pump the air out of a bottle of wine. Um, and it looks just like that. You actually put it over the valve and you actually pump, um, vacuum or pull a vacuum inside the housing. And what that does is it detects whether or not there's any sort of a seepage, um, or change in pressure inside the housing and will alert you before you even get in the water, um, that you don't have a good seal and that you need to take care of that. And then, so that's one sort of fail safe system. And then the other is there are two little electrodes inside the bottom of the housing that if they, if moisture sort of causes a contact between those two or creates a current, um, it'll start beeping and flashing and then tells you that it's time to kind of get that housing out of the water before it completely floods and ruins your camera. So, um, it does give a measure of, of, uh, security and sort of peace of mind to be diving with something that tells you that, um, you know, that, that the, the housing is watertight. Um, that's just one reason why I really liked Nauticam. I know some other housing companies do something similar, but, uh, you know, we've been with Nauticam through a Sony RX100 and then the Sony A7.  And now with now with the Nikon and just the ergonomics and kind of the build quality make you it gives you a little less buyer's remorse for the thousands of dollars that you're spending for these things. |
|Unknown|I mean, absolutely. I mean, that's the name of the game. When you get into, you know, there's been many episodes of this thing where we kind of say that, you know, photography is not about the gear. Yeah. But if you want to take your if you want to take your very expensive mirrorless full frame body underwater, it's a little bit about the gear at that point. Yeah, I agree. And I was thrilled to see your photos coming up on your Instagram that I got this impression, because the photos do look different than the ones that you'd taken on previous trips to Bonaire. Yeah. And I got this impression that that camera, that combo, maybe the housing as well, but whatever, that whole setup seems to have removed some barriers from Ghashani. I feel like there's more of her skill coming through the manipulation of the camera itself. She's, you know, the images are a little bit more impactful and maybe she had hit kind of a limit with the Sony where it was holding her back. I don't know. We'd have to maybe have her on the show sometime to talk about the difference between the two. |
|Jason Heaton|Yeah, she did remark on having those extra megapixels. So the A7 Mark II that we had was a 24 megapixel camera. This is a 45 megapixel camera.  you know, megapixels become almost an abstract topic when you start getting up in those kind of numbers, but, uh, um, it does allow you to crop more, um, just makes a photo a little richer. Um, and, and the other thing too, is I think the Nikon, and this is fairly important underwater, um, or especially with those over undershots where you're shooting very quickly, um, or shooting fish or whatever, um, is the speed of the autofocus. Um, and the Nikon seems to do a really good job of, of, Really finding exactly where you want to focus very quickly And a really fast shutter kind of response as well, which is something that has changed over the years I remember with even with the rx100 and before that we had like an Olympus You know when you're underwater and things are moving whether it's a diver kicking or a fish swimming by um, you know, you want the shutter to to snap as soon as you pull the trigger and The Nikon is just you know Exponentially better than stuff we've used before. So not to mention we can use our existing lenses that we've had with Nikon over the years with it. |
|Unknown|That's a huge plus for sure. |
