
# The Grey Nato - Episode 08 - "The Ones That Got Away"
Published on Tue, 10 May 2016 08:59:27 -0400



## Synopsis
Jason Heaton and James Stacey discuss watches they regret selling in the past, including the Omega Ploprof, Doxa divers, Tudor Pelagos, and vintage pieces like the Rolex GMT 1675. They also talk about thin dive watches under 12mm for a listener question, recommended budget options, and the merits of buying newer vs older watches like the Omega Speedmaster Professional. For their final notes, Jason recommends the book "The Pocket Atlas of Remote Islands" and the "What's On Her Wrist" blog, while James suggests the short films "Haywire" and "Car Maniacs: Life with Le Mans".

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-08-the-ones-that-got)
- [episode MP3](https://www.buzzsprout.com/2049759/11311116-the-grey-nato-episode-08-the-ones-that-got-away.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Welcome to episode 8 of The Grey Nado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. I'm James Stacy. |
|Jason Heaton|And I'm Jason Heaton. Today we're talking about watches that we regret selling, thin divers, some best moonwatch buys, and we've got enough final notes to see you through to the next week. So let's jump right in here.  We picked as our main topic this week watches that we regret selling, the ones that got away is what we've titled the episode. And we just thought that we'd kind of go through watches that we've owned and we've sold and maybe talk a little bit about what we liked about them, why we sold them, and then maybe why would we buy them again. So James, I'll jump right in. When I first got into watches, I had a different job. I had a day job that paid a little more than my current freelance gig does. And I just bought, sold, and traded like crazy. I was kind of a, what they call a flipper. I spent a lot of time on the forums. And, you know, I had some pretty epic watches, but I think I wasn't quite at the maturity of watch collecting or watch knowledge to kind of do what I really had. So, you know, one of the ones I think that's probably at the top of my list was the the Omega Ploprof, and I'm talking about the modern one, which I'm sure you're familiar with from Baselworld's past. It's such a great, such a really well-made watch. It's a watch that when you look at it close up or from a distance or in photos, it just seems like a watch that shouldn't work just because it's like a brick. It's just so square and slab-sided and kind of awkward. But, you know, it wore quite well. I had it on the black rubber strap right from the beginning.  It has a great movement. It was kind of the early days of the 8500 caliber that Omega came out with. They kind of just did everything right with that watch. I remember when they announced it and it came off, I remember seeing it on timezone.com and I saw the photo and I was like, I just had to have that watch and saved up for it, went and bought it. And it wasn't long after I bought it that I went on a three-week trip to Sri Lanka. This was back in 2009.  And I just, I wore that watch for, for three weeks while we were over there and, you know, diving with it and hiking and just wore it nonstop. It was, it was just a great watch. I, I ended up selling it, I think, because I had this notion for a while that, that I kind of wanted to pare down my collection to kind of one or two daily wear pieces. And I had a couple of other watches at the time and the Ploprof just given the bulk of it. I mean, it was really a heavy watch and it sat really high on the wrist. Um, just didn't fit the bill, you know,|
|James Stacey| Yeah, I think the whenever I see the plow prof and you know, they launched a new model at Boswell with last year, or a new version. I mean, it's always a plow prof, you know, new colors, and I think it had a new movement as well. And whenever I see it, I'm always confronted with the kind of like sense memory of a certain car, which is the Lamborghini LM002. This is this is their, their failed SUV. Yeah, so it's super rare. Nothing has ever looked like an LM002.  I can't actually speak to its capability. Obviously the Ploprof is a very capable dive watch and a very interesting design. Yeah. But I always look at it and I look at the Ploprof and I always think like, this thing is just, it was its own thing. Like it doesn't matter how long that design's been around, nothing really like sharked it, nothing came after it. Yeah. Yeah. It's just, it just kind of stands out and yeah, I've tried it on and they're kind of big and I tried on a new one at Baselworld this year, a new colorway with a gray dial and an orange bezel. It's on my Instagram. |
|Unknown|Yeah. |
|James Stacey| They're big and they're kind of, yeah, they're chunky, but they're so much fun. Yeah. And they, they really feel like a dive watch crossed with mechanical watch. And they're, they're just, they're kind of crazy and fun. And it's really strange that Omega is still a company that would continue to make that watch. Cause you correct me if I'm wrong, it wasn't successful. Right. |
|Jason Heaton|I mean, back in the day. Right. I mean, you know, when it was introduced in 1970, it was such a purpose-built watch that actually never quite caught on, I don't think. I mean, I think it was sort of in competition with the Sea-Dweller back in the day, and the Sea-Dweller obviously went on to great renown and a lot of use, but the Ploprof, you know, I don't know, I think even with the modern one, it has that push-button release for the bezel, which doesn't really work very well in practice. I mean, diving or topside, it's just kind of awkward. You have to hold three fingers in a certain position to get it to work. But you're right. I mean, the fact that Omega still builds that watch, I love it. I love them for it. I think, I think it's great. And it's, it's such a conversation starter. It's just one of those watches that, you know, people see it on your wrist and it's like, what is that? It has this sort of modernist, almost like an art piece or something. |
|James Stacey|Oh, no doubt. And the, the, uh, like a real original one has to be, you know, at least in the watch world to the same order of magnitude, as rare as an LMO to Lamborghini, just really rare. So when you see one, almost regardless of your feelings towards Omega or Lamborghini or whatever, You have to just kind of think like, this thing's awesome. Like, I don't know anybody who looks at that watch and doesn't go like, well, I think this is really crazy cool. Yeah. |
|Jason Heaton|I mean, whether you'd wear it or not is beside the point. It's just one of those things that you look at and say, it's just, it's just a cool piece of engineering, you know? And I'm not sure, I actually don't think I would buy another new one. But just wearing that one kind of endeared me to the whole idea of a ploprof. And I think, you know, I'm leaning a little more vintage these days and I think if the right vintage one came along, I'd probably do my best to pick it up. |
|James Stacey|Yeah, that'd be pretty expensive, I think. Yeah. But definitely cool. I mean, like I said, an original one, that's, I don't know, cool old dive watches that are also rare. Yeah. That's, you know, well in our wheelhouse. Yeah. Do you want me to pull one from my list here? Yeah, yeah. |
