
# The Grey NATO - Ep 80 - Vintage Cool Or Too Cool To Wear?
Published on Thu, 09 May 2019 06:00:39 -0400



## Synopsis
The podcast discusses a listener's question about when a vintage watch becomes too valuable to wear regularly and enjoy as an everyday object. The hosts discuss how they approach wearing valuable watches, factoring in potential risks of damage or loss, but ultimately conclude that they prefer to use their watches as intended rather than treat them too preciously. They assert that the joy of using well-made objects outweighs concerns about monetary value for them personally, though they acknowledge others may have different perspectives based on financial means or views on collecting.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-80-vintage-cool-or)
- [episode MP3](https://www.buzzsprout.com/2049759/11311040-the-grey-nato-ep-80-vintage-cool-or-too-cool-to-wear.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Unknown| Hello and welcome to another episode of the GrayNado, a Hodinkee podcast. It's a loose discussion of travel, diving, driving, gear, and most certainly watches, and you know what? This is episode 80, and we thank you for listening. Wow, 80. |
|Unknown|Yeah, right? I was noticing that earlier, and I was thinking when 100 comes we're gonna have to do something special. I don't know what, but... |
|Unknown| Yeah. I'm seeing, I'm starting to see that on the timeline for next year. Yeah. And, uh, and yeah, we'll have to, we'll have to figure that out. I don't know. Yeah. No. Yeah. Maybe a lot crazy live episode or something. Wouldn't that be a great, wouldn't require too much planning. Yeah. Yeah. Right. So, uh, what's new, man? How you been? |
|Unknown|Good. Good. Yeah. I mean, I think since we, since we last recorded, uh, let's see, I had just gotten back from Bonaire and we've traveled a bit in between. I, I was just in, uh, California, um, this past weekend, uh, and I went out there for a quick, uh, dive photo shoot out in Catalina Island, which was, uh, it was, it was tough work. I mean, it's, uh, a lot of gear hauling, um, it's, it's shore diving, but it's, uh, um, you're pushing carts around with a lot of heavy gear. And then we, we, we were dry suits. So it was, uh, you're wearing a lot more lead than you would with a wetsuit. And then, um, for sure, it's just, uh, But it was, it was great weather and the shoot went well. And, uh, I always enjoy going out there, the kelp and the, um, some interesting critters. We saw a huge, must've been three or 400 pound black, uh, sea bass, which is endemic to that part of the Pacific. And, uh, just huge. I mean, it's just lurking among the kelp and you come upon it and it's just jet black and it must've been, I don't know, the size of a conference table.  Groupers, like the size of a big grouper. Yeah. Just, just huge and ugly and just, just kind of hung there and kind of stared at us, which was really kind of, kind of eerie, but also thrilling. Cause, cause everything else you see there is a lot of kind of little orange Garibaldi fish and. |
|Unknown|Yeah. I like those guys. |
|Unknown|Some other stuff, but, uh, yeah, it was good. |
|Unknown|Catalina is, uh, Catalina is super fun. You, um, did you get to the mini golf or too busy? |
|Unknown|No, no, it was pretty much a hit the ground running and straight through to the end, but yeah. |
|Unknown|Pretty good mini golf for anyone who makes it to Catalina. Some good food too. |
|Unknown| Yeah, we had some good food. Yeah. |
|Unknown|Nice. All right. |
|Unknown|How about you? You were, uh, you were traveling as well. |
|Unknown|I was, yeah. I actually, um, not like, not unlike you, a little cagey about some of the details, but I, uh, I went to, um, I was in St. Louis for a day. Oh, wow. Uh, basically for, to shoot for a special project coming up with, uh, Hodinkee. So, uh, it's an inner, it's an interview project that I can't otherwise say more about. Yeah. Uh, but I, I think it went really well and I think people are going to be Pretty jacked about it. I think like I think it's gonna be a pretty worthwhile use of You know to two flights in 36 hours. |
|Unknown|So well, I've never been to st. |
|Unknown|Louis I mean, it's actually not that far from here and our friends at Manta are based down there and yep Then yeah, I hopped a very early flight out the next morning to to come back to Toronto. |
|Unknown|Huh? Nice I say I have to give I have to give a shout out to a commenter I think it was after our last episode on Hodinkee and And we'll, we'll both have to kind of watch each other on this because someone commented that you and I have a lot of verbal ticks where we say kind of a lot and, and, you know, we're, we're, we're human and we, you know, podcast is very, uh, it's a, it's an audio experience and we're just conversing here. So, you know, certainly we, um, we do have our sort of little verbal ticks as, as the guy called it. And, um, so we appreciate the feedback and James and I will certainly try to, um, not do that. |
|Unknown| all of the mitigated speech, I hear a lot of the repeated phrasing and that sort of thing. From my standpoint, it's something that will be removed very slowly. I mean, we're 80 episodes in. It's tough to do the show while also considering all these words that you shouldn't say. Yeah, true. Or shouldn't say too often, I suppose. Yeah, right. So anything else new on your plate? Anything else going on these days? No. Any adventures coming up? |
|Unknown| Well, we do have a trip. Ghoshani and I have a trip over to the UK. We've been kind of chasing this for quite a while, well over a year, but we have a good excuse to go in early June. And we have an event in London. It's actually at the National Maritime Museum in Greenwich, which I'm super excited about. It's a black tie event in early June. So we're flying in for that, but we're going to go about a week early and do a little road trip over to Wales, to Snowdonia, which is the kind of mountainous, uh, area in, in Wales where, uh, the 1953 Everest team trained or did some of their training. And so we're going to do a little hiking over there, probably stay for three or four days and, um, you know, stay in a little in somewhere and just kind of tramp around. So, you know, between now and then we're leaving on, I think June 2nd or something. So if anybody has any recommendations or advice, um, feel free to hit me up on, you know, direct message on, on Instagram. |
|Unknown| That sounds great. I recognize Snowdonia because it shows up in the occasional UK car review. |
|Unknown|Oh, sure. |
|Unknown|There must be some lovely roads up there. I know that I've caught a catch pool review once or twice up that way. Yeah, I'm excited. So. Well, that's great. It should be great for some photography as well. |
|Unknown|I would think so. Yeah. Assuming the weather's decent, but even even if not, it'll be that sort of moody, moody British weather. |
|Unknown|Absolutely. Yeah. And then the only other thing new for me and kind of kind of connects in with some moody British weather photography is, have you seen this? I can't remember if I put it in Slack or not, but this, you know, Alex, Alex Stroll, who we've covered before. He's an adventure travel photographer, sort of landscape guy. He actually has shot for like Land Rover and Fjallraven and other brands like that. And JLC, yeah, exactly. He recently started, or at least it's recent to me, he recently started Stroll Works.  Uh, so his last name is S T R O H L. And, uh, and it's basically like courses on how to work like him or, or learn from people within his space. Yeah. Uh, so I know that you had spoken about the course from Jimmy Chin on Masterclass. Right. Right. And I think this is kind of, it's a little bit more expensive. I don't know. I don't know how it necessarily like ties in as far as like how big it is compared to the Jimmy Chin one. Um, but this is 32 videos.  Yeah, that's longer. Totaling something like five hours of, uh, of content. And it's, uh, there was a introductory price, which I just caught on. And then the, the lasting price is $400. So, uh, that's, that's the kind of what's in my future on all these flights I have coming up is I'm going to sit down and actually try and get through.  some of this course load because it covers, I liked it because when I was reading about, you know, what do you get, it's six episodes about actually working in the field. So not probably not that different than what you were doing in Catalina. Yeah. A very specific sort of shooting flow. And then, um, six episodes about actually editing. Um, and then it includes everything from gear and packing and like, you know, kind of workflow. And it's all based on this guy. Uh, Benjamin Hardman is the, essentially the, the course leader it's about his style of photography and the way that he thinks about photography and working with clients and that sort of thing. So I'm pretty excited about it. I'm a huge fan of Alex's Instagram and also his YouTube channel. He does kind of a vlogging YouTube channel. |
|Unknown|Yeah. |
|Unknown|And I think it's really good stuff. And, uh, I'm, I'm, I'm excited to see this. And then not only do you get the lessons, but each, uh, each lesson comes with a supporting like document, like a PDF. Yeah. So you have some offline sort of checklist and that sort of thing. And then it also gives you access to a community forum where Both Alex and Benjamin are involved in providing feedback on work and photos and things like that. |
|Unknown|I'll be curious to hear, um, your, your thoughts on that. You know, uh, I've had sort of mixed results with these sorts of interactive sort of classes. Um, I think what I took from the Jimmy Chin one, and, and, uh, I also went through a Michael Muller kind of similar thing. He's a really well-known photographer out of LA who does some dive stuff, but also some kind of celebrity portraits and, um, Maybe, I think it's probably my own, um, it was probably more me than, than the course, but I tend to kind of blow through them. Like I'm binge watching something, um, rather than sort of do one and do the exercises that they recommend and that sort of thing. But, you know, if you pay for it, you can go back and rewatch things. And, and I think for me, it was more, um, just, just watching how somebody else works. I think I'm very much an emulator. I tend to learn things by watching other people that are very good at something. And then.  sort of copy it or, you know, whatever. And, uh, so that's kind of how it was. So, um, this one sounds good. It sounds much more in depth and a lot longer. |
|Unknown|Yeah. You know, I, I, I'm kind of making a late in the year resolution to invest a little bit each month in. Uh, like specific skill development. So when I see, when I produce a finished product of something, I'm trying to weigh it against what I think it's kind of spiritual peers are and then identify weaknesses and try and fill in those blanks. Sure. So whether it's, um, a lot of this, I think will be like, I think I could get a lot better at editing or an, like a good enough image to take, to take it that last 10%. Yeah. Uh, so I, I like the way that a lot of Benjamin and, and Alex's work is edited. Sure. Uh, so I'm excited that, and then obviously, I mean, it's great NATO. There's a section about like, what gear he takes on a shoot, that's going to be great. So this is relatively new for me. I bought it while the pre-order was still active. It came up early May as far as the availability of the course. And I've been traveling and working almost constantly. So I haven't had the time to sit and be quiet and just kind of work my way through a few of these videos to actually provide specific feedback. But if you're interested in kind of taking your photography for a different level, I think that it requires kind of two things.  part of that is a study of photography and the other part is actively shooting photos. And I feel like I shoot a lot of photos and I don't spend enough time studying it. |
|Unknown|Yeah. |
