
# The Grey NATO - Ep 81 - TGN Film Club 2
Published on Thu, 23 May 2019 06:00:37 -0400



## Synopsis
This is a transcript of an episode of The Gray Nado podcast, a loose discussion of travel, diving, gear, and watches. Jason and James discuss their upcoming trips to Wales and Monaco, recommend movies as part of their "Film Club" segment, and share some fashion and gear tips in the final notes. They also thank their new sponsor Garmin and highlight some of Garmin's product offerings.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-81-tgn-film-club-2)
- [episode MP3](https://www.buzzsprout.com/2049759/11311039-the-grey-nato-ep-81-tgn-film-club-2.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James| Hello and welcome to another episode of The Gray Nado, a Hodinkee podcast. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 81, and we're very proud to announce it's brought to you by Garmin. Thank you so much for listening. Hey, James, how's it going? Hey, dude, I'm pretty good. Yourself? |
|Jason Heaton|Good, good. Yeah, it's instant summer here. I mean, it seems like every time we talk, it's like ping pong in between seasons.  Yeah, I just got in off my bike and went kayaking last night, so it's like full-on summer mode here. |
|James|Getting into the groove, I like it. Well, I'm in New York yet again. We'll be flying home tomorrow, so I'll be... Well, I won't be home by the time this episode comes out. I'll probably be somewhere in France, but that's how it goes. Yeah, so it's nice to finally have some summer and with it all of the great activities that Yeah, we kind of kind of become little cornerstone events for the kind of the gray NATO vibe. And yeah, I'm glad I'm glad to see you got out on that that great looking bike and the photos from kayaking look like a blast as well. I'm glad to hear that winter has officially left your part of North America. |
|Jason Heaton|Finally, yeah, for a couple of months. That's great. So you mentioned you're going to France. That's that's exciting news. |
|James|Yeah. So when this goes live, I'll probably be on a plane or at the airport to go to France for the Monaco GP.  It's, uh, it's something that I found out about probably just before the last episode and we've shored up all the details. So it's, I mean, whether you're a GP fan or not, whether you're really into formula one or not, that's, that's one of the pinnacle motorsport events in the calendar. Certainly one of the main ones for Europe. And it's something that, you know, I've, I've kind of obsessed over old footage of yeah.  for many years, and I'm pretty excited to be able to go. It's with TAG Heuer. So, I mean, not only is it the GP, you know, in Monaco, it's awesome. I've been to Monaco before. I've seen the roadway, and now I'm going to get to see it all set up for the GP, which is incredible. And not only to do it like that, but also to do it with a brand like TAG Heuer. It's going to be great. |
|Jason Heaton| Yeah, that's the perfect brand to do it with. I mean, yeah, I think so. Such an iconic race. You know, I was there with Ulysse Nardin last year for a whole different reason, but just, you know, I had never been to Monaco and it's such an exciting, such a dramatic venue. And then I was trying to picture cars on those roads, you know, race cars on those roads. And after watching the movies that have been filmed there, I mean, it's, I'm jealous. I think that'll be just so cool to see the photos you're going to get. I hope the weather's good. I mean, it always seems like it's good there. |
|James|Yeah. Fingers crossed for the weather.  I've got a I've got a tentative plan for gear, which like I think I think I'm going to go a two camera route between, you know, the the Q obviously will be, you know, around my neck the whole time. But then also I think I think we'll also do the 5D with a big lens. Maybe I'm kind of I can't decide between a 7200 or just go to the 400.  Oh, wow. And but one or one or the other, it might come down to like size and weight, I never deal with large lenses, like the biggest lens I own for the 5d is 100 millimeter macro that never leaves my office. Oh, yeah. So to the 7200 is not that much bigger, but it is certainly bigger than the 400. My understanding is it's quite big, but that could be kind of fun to shoot.  to shoot automotive with something like a 400. So I'm going to look into my rental options, you know, Toronto side of the equation, and then figure that out. But I'm absolutely thrilled. I'm working out a few kind of wardrobe options. You know, it's maybe a little bit more fancy than the normal way in which I dress. So yeah, just pretty jacked about that. And anyone listening who cares, kind of likes the automotive side, we'll eventually have some content tied to it, like for Hoding Key.  and such and certainly watches. But if you just kind of want to follow along, I'll be posting kind of a never ending story from the week on Hodinkee's Instagram. And then, of course, there'll be plenty on mine, which is at J.E. Stacey for anyone who's not following along. Oh, it's going to be so good. Yeah. And even if like even if you're not crazy about Formula One, I promise to do my very best to make the photos at least interesting. And if they're not interesting, then, you know, read the read the caption. There'll be some sort of context for why I'm taking a picture of a random corner in Monaco.  And how about you? What's new on your end? You have a trip coming up as well, right? That you spoke about. |
|Jason Heaton|Yeah, I talked about it last episode and I've got to put out some thanks to all the folks that got in touch with me about my trip to the UK, to Wales. I got a lot of DMs on Instagram with advice from people that live there or have traveled there or used to live there. I got two really long and really helpful detailed emails from a couple of listeners, Nick and Andrew, who both kind of grew up there or lived there.  And, uh, had a lot of good information about hiking routes and even, you know, where to get the best coffee and all that kind of stuff. Andrew, um, Revit is actually one half of the team behind super Alpine. So I know we've talked about them before and they, um, he and his wife produced this gorgeous magazine about the Alps, kind of a photo journal. And, uh, they just released volume two, by the way, which is about the Alps Maritime, which is actually where you're going to be down near Monaco. So, um, I've got that on order and people should check that out. But, uh, I guess he and Julia used to live.  in Snowdonia, which is the part of Wales where we're going to be hiking and staying and, and, uh, he had all sorts of good information as did Nick. So I appreciate all the info. Um, I actually leave on the 1st of June. So, um, after this episode releases, so if anybody else has more kind of cool things to do in Wales, um, you know, shoot me a direct message or, you know, just get in touch on the great NATO at gmail.com and let me know. |
|James|Well, that's great. I think I love, I love that it's, it's, we have this little kind of, uh, advice community, people can write in and ask about, uh, diving or whatever, driving from us. And then if we're going somewhere, there's still, there's still a scenario and, and, and to be connected with, uh, with more stuff from, uh, from super Alpine. I mean, I, I can't wait to see that next step issue. Uh, I've so enjoyed the Gemini one. |
