
# The Grey NATO - Ep 82 - Watches, Adventures, And Ambassadors
Published on Thu, 06 Jun 2019 09:04:46 -0400



## Synopsis
The podcast discusses watches and their connection to adventure and exploration. Jason and James talk about their upcoming trips, with Jason going hiking in Wales and James attending the Monaco Grand Prix. They discuss various watches worn by explorers and adventurers, such as Reinhold Messner wearing an Oysterquartz on the first oxygen-less ascent of Everest, and the significance of these connections. They also discuss brand ambassadors like Nims for Bremont, and the value these partnerships offer brands. The episode covers topics like the motivations for wearing certain watches on adventures, the changing role of traditional watches with modern technology, and the ability of watches to inspire and connect people to legacies of exploration.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-82-watches-adventures)
- [episode MP3](https://www.buzzsprout.com/2049759/11311038-the-grey-nato-ep-82-watches-adventures-and-ambassadors.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of the Graynado, a Hodinkee podcast. A loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 82 and it's proudly brought to you by Garmin. We thank you so much for listening. |
|James|Hey Jason, how's it going? |
|Jason Heaton|Good, I'm doing well. |
|James|I'm glad to hear it. You're not long for this content. |
|Jason Heaton|Correct, yeah, we fly out tomorrow evening as we're recording this on a, on a Friday. Uh, Ghoshani and I take off on Saturday evening and we'll be in, in England on Sunday morning. And then our trip across to Wales to get things started. So I, you know, I feel like I've been talking about this trip for a couple of episodes now. And ever since I first announced it here, uh, I've gotten a lot of really great feedback and advice from listeners who either live there or have visited there or used to live there.  And, you know, it's just, it's almost too much. I'm not complaining. Um, because I've got just copious notes of recommendations and even, you know, where the best coffee is and what the best beaches and all this kind of stuff. So I think it'll be, I think it'll be a blast not to kind of rehash too much here, but, um, you know, if anyone has missed the past couple of episodes, I'm headed over to, to the UK for a family event. Um, next week, actually on D day is the event, although it has nothing to do with D day. Um, And my wife and I are going to take a car and drive over to Wales for four days to do some hiking in Snowdonia, which is where the highest peak in England and Wales is Mount Snowdon. And then, you know, we'll, we'll kind of take, take in that area. There's, there's a lot of, you know, beautiful coastline and little towns and castles and, and small mountains to climb and that sort of thing. And then, uh, after a few days, we're going to drive back to London.  And our plan at this point, this might change, but is to drive back through South Wales through the Brecon Beacons, which is the other national park over there that is kind of famous for the long trail that the SAS candidates have to complete a long march. I think it's like 40 miles, and they have to do it in 11 hours or something, carrying a 60-pound pack or something crazy like that.  But it's supposed to be another beautiful region. So we're hoping to at least drive through there on the way back to London. And then, you know, in between all of that, we've got this family event, brother-in-law's getting an honor at the Maritime Museum there in Greenwich. So that'll be kind of a fun place to be as well. So I'm, we're, we're both really looking forward to the trip and you know, it's been, it's been a lot of work to kind of piece together kind of an itinerary and get a suitable Airbnb and arrange a car and all that sort of thing. But you know, it's, it's no different than, any sort of international trip. The one piece of advice I've gotten from almost everybody is that it's extremely wet in Wales, especially Snowdonia. They just get a lot of rain. And so, you know, I've got a lot of, um, a lot of rain gear. Um, I'm actually going to be wearing my, uh, uh, Fjallraven Keb pants. And, uh, I'm actually packing along my, I've got this, uh, Musto foul weather jacket that I got, uh, from the Volvo Ocean Race a few years ago. That's probably the most waterproof thing I own. So I'm going to pack that. And then for a camera, I thought I would take along my Nikonas underwater camera, the film camera. It works just as well topside. I'm taking a 35mm lens on it with a couple of rolls of film, some Velvia color film, and then a 3200 ISO Ilford black and white. So I think it'll be kind of moody and picturesque there for, for some kind of fun, fun film shooting. |
|James|That's great. And a solid camera for when it's super rainy. So that's always a safe bet. And I'm glad, yeah, I'm glad the, uh, I'm glad everybody listening was able to chip in a few tips here, there. And I think that we can probably correlate all those into a little follow-up, uh, segment for a future episode so that if anyone else is going to Wales, they'd at least have a list of spots they could check out that had been kind of vetted. |
|Unknown| by yourself. |
|James|Yeah, that's a great idea. The other thing to remember with that, with the Ilford Delta at $3,200, it's pretty sweet at $1,600 as well. |
|Jason Heaton|Yeah, I'm excited. |
|James|I've never actually shot with that film or the Velvia, so it should be... Yeah, I've never shot Velvia, but I have shot the Ilford before and it's great. I like it a lot. |
|Jason Heaton|Well, speaking of cameras and trips, you just got back from a very different sort of place. You were in Monaco. |
|James|Yeah, it would be hard to get a lot more different than say rural Wales.  Uh, yeah, with, uh, with Monaco. Uh, yeah. So I, I went to, um, I went to the formula one Grand Prix with Tag Heuer, uh, you know, covering it for Hoding Key. That was the 50th anniversary of the Monaco, which of course is named after the city, uh, the city state in, um, you know, on the French coastline. And, you know, that's, it's one of those events where you, you kind of, it's, it's a bit like stepping into fast moving water.  and you just kind of hang on and keep a camera in each hand and try and get in as much as you can. So by the time this piece goes live, the photo kind of recap of the weekend will be live on Hodinkee. So that'll be in the show notes as well. And, you know, it was kind of cool to see Krennertag Heuer in it's kind of their city. You know, they're the official watch of the Monaco Grand Prix. They have a very famous watch called the Monaco and they, they are supporting a very competitive formula one team in the Aston Martin Red Bull racing, uh, team. And it, uh, it was, it was quite a weekend. I mean, you're, you're out there. It's, uh, it's maybe a little bit fast paced for me. It's a weird complaint. It's not even a complaint, really just a statement. It's like even just finding a few minutes to actually pull images from one of my cards to put it on my phone. So I could do some Instagram stories during the day. Like even that ended up just kind of filling the entire day. Right.  Uh, but otherwise, you know, super fancy it's, it's Monaco, it's, it's formula one. It's kind of their biggest weekend. There's a lot of like pomp and circumstance that kind of revolves around the GP as far as celebrity. And of course the Royal family and all these sorts of things. The downside to all of that, if there is one, is that it, let's say you are in Monaco and had a free morning. Uh, it's literally impossible to say, get to the oceanographic museum or something like that. So I saw the museum from the coast side.  Um, I, I didn't get a chance to go there. |
|Jason Heaton|Yeah. I mean, I, you know, I've only been to Monaco once and that was for the, uh, the Monaco yacht show last year. And I was struck by how. You know, densely packed that city is. I mean, there's just not a lot of real estate to begin with. And then you have a lot of people there and then you add a major event and I'm sure the, I'm sure the GP is much, um, a much bigger deal than the Monaco yacht show. And I can't imagine even being able to walk a block without you know, he's bumping into people and, um, but that said, I mean, I'm sure, you know, going to Monaco for the Monaco GP, which is arguably one of the premier, most legendary events in sports. Um, I, it's like Wimbledon, I suppose, or something like that, you know, it's just iconic and, and that you, that, that word is used too, too loosely. But, um, I think in this case it applies. |
