
# The Grey NATO - Ep 83 - Collection Inspection Vol 7
Published on Thu, 20 Jun 2019 05:59:59 -0400



## Synopsis
Jason and James discuss Jason's recent trip to the UK, including hiking and exploring in Wales, visiting historical sites, and attending watch events in London. They also do an in-depth "Collection Inspection" segment, where Jason talks about his Tudor Snowflake Submariner and James highlights his Doxa Sub 300T 50th Anniversary watch. In the final notes, James recommends a zippered watch travel case and a Tudor-style fabric NATO strap, while Jason shares about an interesting art photography project documenting lifeboat stations around the UK coast.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-83-collections-inspection)
- [episode MP3](https://www.buzzsprout.com/2049759/11311037-the-grey-nato-ep-83-collection-inspection-vol-7.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to another episode of The Gray Nato, a Hodinkee podcast. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 83 and we thank you so much for listening. I haven't been up to that much in the last couple of weeks. I've been home and just kind of underwater with several different work projects, but Jason, you've been traveling a ton. Let's start with a download from your recent adventure. |
|Jason Heaton|Yeah, I can certainly do that. So my wife and I just got back on Sunday from, I guess it was about nine days over in the UK. And it was really a proper sort of vacation kind of getaway. The excuse for going, and I think I had mentioned this on a couple of previous shows, was a family event that was happening last Thursday in London.  And we decided to tag on a few days early and do some exploring out in Wales. And, you know, I got great advice and, uh, from, from a few listeners and, and certainly made good use of that and took a lot of notes and, um, hit a few places that were recommended. Um, but you know, the way the trip kind of shook out as we, we got in on a Sunday morning, uh, on the overnight flight at about nine o'clock, picked up a rental car. And for this trip, I was able to use some.  banked credit card points and was able to rent a Jaguar E-Pace. So, I don't know if you've driven one of these, but the E-Pace is... I wasn't familiar with it. I thought the E stood for, you know, electric or something and it was some... No, that's the I-Pace. The I-Pace, okay. |
|James Stacey|It's confusing. So, I think the E is the one that's smaller than the F-Pace, right? |
|Jason Heaton|Yes, yes. So, when we saw it, I thought, oh, F-Pace, like it's an electric F-Pace, but then I noticed it's a diesel, And you're right, it's a smaller version of the F-Pace. And I think it's a nicely proportioned, really sharp car, good size. You know, initially we had hoped to get, you know, I naively thought that a Range Rover would be a really fun vehicle to kind of take to Wales, which is sort of the birthplace of Land Rovers dating back to the 40s. But, you know, having seen the roads now and driven on the roads in Wales, which are extremely narrow, I was happy to have kind of a smaller vehicle, and the E-Pace was really, really fun. You know, you've done a lot of these great car trips over the past couple of years, driving some really cool exotic cars, and I haven't had that many experiences doing that, and so taking the E-Pace across the UK for, you know, I think we had it for four days, was really, really fun. It kind of felt nice to be, you know, driving on the right side of the car, left side of the road, in a British car, It was a fairly high-end vehicle. It wasn't a high-end version of that car, but it was definitely a luxury vehicle. Was it an automatic? It was an automatic, yeah. It had the paddle shifters. Seats were super comfy. Controls were really easy to get around. Nowadays, that can be a bit of a challenge if you're used to an older vehicle. It's got a touchscreen and that sort of thing.  you know, I don't want to dwell too much on the car, but it really kind of added to the, to the trip to have a really nice, comfortable kind of luxe vehicle to, to do this trip in. |
|James Stacey|And there were some, and did you, did you do that with, um, like with a special rental company or just like a normal rental house? That's what they offer. |
|Jason Heaton|Yeah, it was through enterprise and I had used these, you know, it was one of the rental companies that, um, my credit card points worked at and, you know, they offered a luxury vehicle. I think it said, Range Rover or equivalent or similar. And so when I got there, they kind of gave me a few choices and that was what we chose. So, you know, some suitably windy roads through Wales, some a little bit kind of scary, you know, you get these really narrow roads that were probably built in the, you know, 1800s for, you know, horse-drawn carriages and they've been paved over and they've got, you know, rock wall that runs right up to the edge of the road on one side and then barely enough space for two vehicles to pass, um, on two way roads. And so, you know, I was constantly sort of almost closing my eyes and just hoping we were going to have a, either a front end collision or scraping a really expensive fender on a, on a rock wall as we were rounding these corners. But, uh, nothing bad happened and it turned out to be a really great vehicle for the trip. And, uh, you know, Wales, it's still, it's still with me, you know, almost a week later, it was, it's one of those sort of magical, really raw places.  Uh, very kind of windswept and rainy and kind of brooding, you know, dark kind of gray cloudy skies. And, um, uh, you know, we had kind of a nice mix of seaside towns, um, and, and mountains and small towns. And, uh, um, we, we stayed in a small town called bed Gellert. Um, and, you know, forgive me for all these probably very butchered Welsh name pronunciations, but, um, bed Gellert is, is smack dab in the middle of Snowdonia national park, which is kind of where all the peaks are. Um, and we stayed in a converted church vestry, uh, which was an Airbnb and beautiful place. Um, two doors down was this pub called the Prince Llewellyn pub where we had a dinner a couple of times and, and, you know, some good pints of ale and, uh, So we were able to kind of walk for dinner and there was just plenty of hiking just right outside the door. You know, you just walk across the road, across a little footbridge over this river and you're right in sort of rolling, hilly farmland with peaks all around. And so it just made for a really nice way to kind of acclimate on that first day. And so I think, you know, we, on the second day we were there, we decided that You know, kind of shake off the jet lag. And it was a pretty decent day weather-wise. We drove out to a couple of seaside towns, which are about an hour's drive away because we wanted to see some castles. Wales apparently has more castles per whatever, you know, for its size than any other European or, or UK country. So we wanted to take advantage of that. And we went to a castle at a town called Krikiath.  which is on the coast and it's just really dramatic. It sits on this sort of lump of a hill above the town right over the ocean and you buy a ticket for a reasonable amount and just kind of hike up to the top of the hill where the wind was blowing and the castle's kind of crumbling away but you can climb around on the ramparts and kind of peek in all the little doors and things. So that was really fun and that was kind of our coast day. We went to a town called Port Madoc I had breakfast there and took some photos on the beach. The tide was out, so you get that sort of scene with all the boats are kind of sitting up on their keels on the sand as the tide is out. And, you know, just sort of poked around and did, I think we did two castles that day and then kind of saw the coast and sort of did that scene. And then the next day we did a fair bit of hiking. We did a valley called the Coombe Lawn, I think is how it's pronounced. And it's the Coombe, if you're familiar with the Western Coombe from Everest lore is, is, is a Welsh word for, I think it's valley. And the Coombe Lawn is the valley that runs below Mount Snowdon, which is the highest peak in Wales and England. And the one that kind of everybody goes there to climb. And so we decided, you know, it was a little late in the day when we got started, we decided we're not going to try for the top of Snowdon, but we'd hike as far up the valley, kind of up the flanks of the mountain as we could. And, uh, You know, just, just beautiful, wonderful hiking, nothing technical, um, just sort of rocky switchbacky, um, up through, you know, sheep's grazing and cattle and, um, kind of old, uh, rock ruins. There was an old building up there that had been used for commando training during World War II. And there were still shell marks, you know, from, from target practice in the, uh, in the side of the walls and, um, an old quarry that had shut down and sort of remnants of the buildings there. And, um, you know, uh, it was, it was just as you'd imagine, kind of Welsh hiking to be the, the wind was blowing and it was quite rainy. So we were well prepared for that with, with rain gear. And I think, you know, a place like Wales or, you know, Scotland or Iceland or, or any of these places, uh, certainly probably even in British Columbia, um, the weather is sort of part of the, It's part of the place. It's sort of what gives it the, gives it the, uh, part of the allure. Um, so having expected that, you know, we, we didn't go there expecting bright sunny days and hiking in shorts. And so it really kind of added to the whole scene. And, uh, and then that same day we decided to check out a, um, this little, uh, in little hotel called the penny, penny weird. I think it's pronounced. Um, it's the, the little hotel where, um, as, as legend has it, the 1953 Everest team had stayed and kind of based themselves when they were training, doing some winter mountaineering training for Everest. Um, and in subsequent years, the surviving members of that team would then go back there to kind of meet up for a reunion. And when they were there, they would, whoever showed up would sign their name on the ceiling of this little kind of small room with a fireplace and at rustic tables and benches where presumably they'd sit and have pints and food and sort of tell war stories. So it was kind of neat to be there and look up and see Edmund Hillary's signature and Tenzing Norgay's signature and Sir John Hunt's signature just a few feet above my head. So it was kind of an odd little place.  The owners have a reputation of being a little, little prickly and a little bit sort of set in their ways, but you know, we weren't staying there. We just stopped in for a beer and, um, really sort of soaked up the, the history of the place. They have old mountaineering gear, including some boots and oxygen gear and, and things like that from, from the Everest to climb in sort of display cases there. So, so cool. Highly recommend, uh, anybody that's, uh, in the area, you know, going to Wales that make that sort of a pilgrimage if you're into kind of the history of mountaineering. And then kind of our last day, our last full day in Wales, we, and we thought, Oh, we really should, should go bag a peak, you know, do, do kind of a proper climb to the top. And one of the mountains that, that we had been considering as a place called Cotter Idris, which is, um, uh, one of the higher peaks in, in Snowdonia. And, um, so we set off, we, we drove very circuitous route, took about an hour and a half to get to the trailhead.  we parked and it was just, you know, just pouring down rain and sideways wind. And, you know, we set off in all of our waterproof gear and, um, kind of hiked up a fairly steep, rocky path up through some farmland. And then we got kind of above, um, tree line and, and, uh, kind of switch backed up and you could see the, the, this sort of ominous slab of the mountain kind of where we were headed and the cloud deck was, well below the top of the mountain. So it was clear that the, there'd be almost zero visibility up there. And, and so we got up to the, to the ridgeline where it then kind of becomes more of a straight shot for the summit. And by this time the wind was, you know, I don't, I didn't have any sense of what this wind speed was, but it was just blowing sideways and really, really wet. And we thought, you know, if we kind of keep going up, um, we're just going to be miserable and we're not going to see anything when we get to the top anyway. So we sort of had a, you know, flask of tea there and sort of got our bearings and then decided to kind of make our way down. And I think that was a good decision that day. And that was kind of our experience in Snowdonia. And then the next day was our day to drive back to London. And we decided to take kind of a Southern route down through another national park in Wales called the Brecon Beacons. And, um, we had sort of two goals. We wanted to visit Penny Van, which is the, mountain and the beacons that the SAS qualification training happens. They take kind of new recruits and send them on this really brutal, long march with 65 pounds of gear up and over this peak, you know, there and back in, I think they have four hours to do it. So it's, it's pretty brutal. Um, but it's a beautiful area. The mountains are very different. They're very, they call them glacial troughs. So they're very sort of sloped and grassy with flat tops on them and Um, so we, we were able to kind of get there early enough to, to park and, and kind of set off for the top. And, and that, that peak, we did make it to the top and kind of spend a little bit of time shooting some photos and, and then headed back down. And, um, and our second goal was to visit a distillery there that we'd read about before we went. It's a, a whiskey distillery called Pandaren. And as far as I know, it's the only whiskey distillery in Wales. Um, Wales used to have a whiskey industry way back when, until there were some sort of religious zealots that sort of campaigned against it and almost, you know, threatened them and shut them down back in, I think, the 1920s. So Pandaren revived the industry and they distill a number of whiskeys and some gins. And so we stopped in there and had a little tasting and grabbed a couple of bottles of whiskey and gin to take back with us.  Um, and then headed back to London. So, you know, we made it to London by evening that day. And, uh, you know, I think Wales was, was the real highlight of the trip, but, but we sort of were, um, had a little bit of free time in London the next day and I took full advantage. I had set up some time to go meet with, um, Mal and Richard who run Silverman's, which is a military surplus shop in Mile End in London. And back in the nineties, they had bought the Cabot watch company name from Ray Malore, who was the founder of CWC, which had always been a military supply watch company for the Royal Marines, the Royal Navy, the Royal Air Force, dating back to 1972. And so I went over there one morning and, you know, just chatted with, with Malcolm and Richard, and they showed me a lot of the vintage watches that they have, the old CWCs that were, you know, Bangladeshi Air Force and the stopwatch that was used in the most recent Mission Impossible film.  and you know the old dive watches that they have and you know it's really fun humble little company that's just very focused on making some just really cool military kit and turns out Silverman's has been in their family since my gosh since probably the 1920s or 30s and their main business is military surplus so they go out to auctions and they buy old military surplus clothing and gear sell it either through the store or through uh, eBay. And so just before I left, Malcolm said, you know, I do want to come and take a look at the back room. And he took me back there and it was just mind blowing. I mean, it was just this, this huge warehouse, Florida ceiling shelving of old, you know, army, Navy, whatever surplus stuff. I mean, he dating back to world war one, they have old bayonet pouches and knives and Royal Marines pith helmets from, you know, jungle campaigns and, RAF high altitude flight suits and boots and hot weather clothing and parkas. I could have spent an entire day just in that back room. Ever since I was a little kid I always loved to go to army surplus stores and just kind of poke through some of that stuff. So that was a real thrill. That was really fun. And then I went straight from there. I went to a restaurant in Mayfair called Scott's, which was apparently Ian Fleming's favorite place to eat.  And I met Nick English and Natalie from, from Bremont and had a really nice, nice kind of lunch and catch up with those guys popped into their boutique there. And, um, I got a steel bracelet put on my supermarine, which I've kind of been wanting for a while. So that was really fun. And, uh, and then, um, we had this event at the Maritime Museum, the kind of the reason I was, we were in the UK to begin with, um, which was, It was neat. It was a really neat space, although we didn't really have a chance to kind of poke around the museum because it was after hours. But that was a lot of fun. And then finally, we had a free day the day before we flew home to take the train up to Cambridge and kind of do more touristy stuff in Cambridge. We took a little punting tour, you know, those little flat bottom boats.  Oh, right. Okay. A lot of the, I think a lot of the college students volunteer, sorry, don't volunteer. They actually work there to kind of, you know, pull people up and down the river there and explain what the historic buildings are. Um, so that was a fun thing to do. And then we, we had lunch at the, um, the Eagle Eagle bar, which is famous for being the place where Crick and Watson announced their discovery of DNA. And they have a beer there called the Eagles DNA kind of named after those guys.  And then in the back of that, sort of adjacent to it, there's another bar called the RAF bar where a lot of the U.S. Air Force flyers would hang out during World War II with the RAF guys. There must be a thing in England or in the U.K. about putting your graffiti or your names on the ceiling because that ceiling of that bar was covered with kind of graffiti from the airmen in World War II. So that was a really neat place to have a steak and ale pie and some beer.  So that's awesome. And then just, you know, before I left, I had breakfast with Don Cochran from Vertex. So that's kind of, kind of doing the whole, uh, you know, British watch, uh, scene with the CWC and Bremont and Vertex and Don and I had a lovely breakfast and he showed me, uh, the, the DLC cased, uh, MP45 chronograph that, that he's about to release. And that was really fun to see and just got ahead of good catch up. So, um, really, really a full trip with a lot of kind of diverse activities, you know, from mountain climbing to punting in Cambridge and, and some good time in pubs and, um, you know, a little bit of watch stuff in there. So it was, uh, it was, it was a pretty epic trip. I mean, it, it really felt like one of those rejuvenating getaways to kind of do something completely different from, you know, a press trip or diving or, you know, whatever. |
|James Stacey|I'm happy for you. I think that's awesome. Uh, I think we can probably move pretty quickly into the main topic, but I had a couple of kind of more quick questions for you.  Yeah. Of all of that, what, what's the, like, if someone goes to Wales, what's the one place they should eat? |
|Jason Heaton|One place they should eat. |
|James Stacey|They're like, what was the best meal you had? |
