
# The Grey NATO - Ep 84 - Homage, Yes Or No?
Published on Thu, 04 Jul 2019 06:51:16 -0400



## Synopsis
This episode of The Grey NATO podcast covers a range of topics including a recent trip Jason took to London to launch the Omega Ultra Deep watches for the Five Deeps project, the new Bremont Her Majesty's Armed Forces collection, a discussion on homage watches, and recommendations for the film "The Last Breath" and camera carrying cases.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-84-homage-yes-or-no)
- [episode MP3](https://www.buzzsprout.com/2049759/11311036-the-grey-nato-ep-84-homage-yes-or-no.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to another episode of The Grey Nado, a Hodinkee podcast. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 84 and we are so pleased to be able to say that it's brought to you by Bremont Watches. A huge thanks to the fine folks at Bremont for supporting the show. |
|Jason Heaton|That's really exciting. We're really thrilled to have Bremont. Yeah, right? Yeah. Long time fans, both of us, and And they've always been supporters of us. |
|James Stacey|Yeah. I think it's great. I did an Instagram AME recently. And one of the questions was like, how did you get connected with Jason, uh, you know, to do the TGN and such. And, and we got connected through Mike at Bremont. I mean, one of the, I remember the first year I went to Basel, uh, that was one of the most exciting, like one of the meetings I was most looking forward to is seeing some of their stuff, the new stuff in person. I had, I had actually met Mike.  and Nick English, one of the two brothers that founded the company at like probably one of the first watch meetups I ever went to in Toronto, you know, pre-Vancouver, pre-this is before a blog to watch, you know, this is, or I guess it would have been just in the early days of a blog to watch. It was fun and a great time. And it's really exciting to see where the brand's gone since then.  And they've released some stuff this year that I think is equally like a really strong footing for them. So we'll get into that more when we hit the ad break. But I'm just thrilled. I mean, it's fun to have this, to be backed by a product that, you know, both of us have put money into. It's cool. |
|Jason Heaton|Right. And speaking of all things British, I am back again from a trip to London. I was there last week, I guess it was. |
|James Stacey|You were there for three days? |
|Jason Heaton|Yeah, it was a short trip. So, you know, I was there a couple of weeks ago on that trip that I recounted in our last episode, and then last week I was there just for three or four days with Omega this time. So it was an Omega trip to launch a really interesting project and product, if you can call it that. Omega had hooked up with Victor Vescovo, who's a Dallas-based tycoon, I guess you'd call him, sort of a modern day gentleman explorer who runs a private equity company or private investment company and is self-funding this pretty ambitious expedition to take a submersible to the deepest point in all five oceans called the Five Deeps Project. And Omega caught wind of this because he wanted a watch to wear on all of the dives and went out and bought a Planet Ocean chronograph. And I'm not exactly sure how the connection was made, who contacted whom. That was a little vague.  Omega hooked up with him and decided that they would be a sponsor, and he was pleased to have them. Omega's actually the only sponsor. He's doing the rest self-funded, which is pretty amazing, because it's like a $50 million project, yeah. And he partnered with Triton Submersibles, that's based in Florida. And Omega designed three experimental, they're not calling them prototype watches, called the Planet Ocean the Seamaster Planet Ocean Ultra Deep Professional that they specially designed and they're strapped to the robotic arm of the submersible. And then there was a third one that was put on this sort of remote operated vehicle, ROV lander device. And all three of them survived. It was really an interesting trip to London. You know, I arrived and didn't really know what this was about. I knew about Victor Vescovo and I knew that that was the basic subject of the trip but I was unaware that Omega had developed a watch until kind of the last minute and so when we got there and they unveiled this it was it was pretty exciting stuff the the watches are quite handsome even though they're you know massive built to be you know to survive the bottom of the ocean but you know from sort of anecdotal feedback from everybody from Instagram and the Hodinkee post that I wrote people you know are saying that you know, they'd buy a watch that looked like that if they made it in kind of a more wearable size. So, uh, really a neat trip. They held the event at the British museum, which we didn't really get a chance to walk around, but, um, it was, it was, it was pretty exciting. Reynold Eichelmann, the CEO of Omega was there and a couple of their heavyweights from the product development team were there. And of course they had the three watches and we had a couple of nice dinners and, um, it was, it was just really neat. And Victor was, he, He's a very enigmatic guy. He's, he's got a really interesting background. He was in, he was in the Navy, U.S. Navy in Naval Intelligence. Didn't really go into much detail about that. Um, and now he's, he's made quite a bit of money obviously in his own private ventures. And then he's also done that the Explorers Grand Slam, which is summiting the seven summits, the highest peak on every continent, as well as track the final, I think it's a hundred kilometers to each pole. Oh wow. So he's like, you know, what, what's next?  And discovered that no one had ever been to the five deepest, or sorry, the deepest points in all five oceans. So, so cool. I don't know. That's next. |
|James Stacey|And, uh, yeah, I mean, it's one of those things where like the, the watch, I think like the, like you were saying that the kind of, and you brought this up a couple of times in the piece on Hoding Key, which of course we will put in the show notes, the watch, the aesthetic, I really like, I mean, like the, the proportions and everything to make a watch to go that deep, make it kind of problematic as a, as something you would wear on your wrist. |
|Unknown|Yeah. |
|James Stacey| But like as a design study, the color use, the kind of matte dial, the kind of big hands, like it's obviously a Planet Ocean, but it's kind of like a, it has this sort of, just kind of toned down appeal. |
|Jason Heaton|Yeah. And I think once you delete that helium release valve and it gives the watch an entirely different look for some reason, it looks a little more like the old Omegas that we know and love. |
|James Stacey|I agree. I think it's killer. And I think, like you said in one of your captions on there, make it smaller and they will come. |
|Unknown|Yeah. |
|James Stacey| And, uh, I think it could be pretty cool. And it would be, it would be also fun. Like this is a pretty neat project. I think this is the sort of project that like dive watch nerds would get behind on kind of a big level. Right. And, and, and I think, I think that can kind of translate to sales, um, of an interesting sort of, you know, one-off or not one-off, but like a side version of a, of a planet ocean. |
|Jason Heaton|I think so too. |
