
# The Grey NATO - Ep 85 - A Chat With Cory Richards
Published on Thu, 18 Jul 2019 06:00:04 -0400



## Synopsis
In this podcast episode, Corey Richards, a photographer and adventurer, is interviewed about his career, his approach to exploring and climbing, and his recent endeavors on Mount Everest. He discusses his passion for adventure and discovery, his philosophy on risk and failure, and the design process behind a custom watch he collaborated on with Vacheron Constantin for his Everest expedition. The conversation touches on topics like finding fulfillment in challenging environments, balancing risk with safety, and the importance of authenticity in partnerships and creative pursuits.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-85-a-chat-with-cory)
- [episode MP3](https://www.buzzsprout.com/2049759/11311035-the-grey-nato-ep-85-a-chat-with-cory-richards.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Unknown| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 85 and it's a special presentation of a chat between myself and photographer-adventurer Corey Richards. Corey recently became an ambassador for Vacheron Constantin and they were kind enough to connect us for a chat while he was in NYC promoting his recent and daring bid on Everest, while highlighting a very cool prototype titanium overseas dual time, which you can see in the show notes along with a bunch of other stuff. One note before we jump into this chat, this episode does feature a bit of bad language. While Jason and I are always ready to avoid swearing in our one-on-one chats, for these sorts of interviews I hate the idea of bleeping anything and I always want the guests to speak in their own voice.  It's not frequent or offensive, but we know that many of you listen with your children, so I thought it worth a quick heads up. From the entire TGN family, a huge thank you to both Corey and Vacheron Constantin for making this happen. Without further delay, here's the tape. I hope you love it. All right, Corey, thanks so much for being on the show. This is awesome. |
|Corey Richards|Yeah, no, I really appreciate it. And it's fun to... These are kind of my favorites. Podcasts are... They're so different than TV or You know, they're just fun. I think so. You kind of just bullshit a little bit. |
|Unknown|I like that. I like that angle of it. The other thing that I find that I really dig into podcast is I like conversations, but if I'm honest, I really don't always like being involved in them. |
|Corey Richards|Right. Come on now. |
|Unknown|I'm good at it, though. I like I like chatting, but like I'm sure we'll discover over the course of this chat. But, you know, people are introverts or extroverts. And when I'm out of energy, I still like to have the intellectual right side of listening to a fun conversation. So I hope that's what we can kind of build here.  I think, um, we've, we've spoken about your work previously on the show, uh, as both Jason, my normal co-host and myself are big fans of your Instagram and your photography and such. Um, but for anyone who maybe have missed those episodes or don't remember the name specifically Corey Richards, I'm sure I've already precluded this interview with some sort of my introduction of you, but how do you introduce yourself to people? |
|Corey Richards|Well, it's funny. I, you know, it depends. Uh, it's a really good question. I'm always awkward introducing myself because it really, you know, we throw out these identifiers.  And, and it's hard. Um, you know, I, at one time I probably would have introduced myself. I'm a climber. Uh, at other times I'd still do introduce myself as a photographer. I rarely use the term explorer. Um, but the funny thing is that that's, those are the terms that get used, but quite honestly, usually I just say, my name's Corey and, uh, I work a lot for national geographic magazine. Um, I've spent a lot of time climbing around the world and in the Himalaya.  Uh, and I've done a certain amount of, um, uh, work that has spanned beyond certainly the, uh, the adventure and exploration genre. Um, I've tried to expand, so. |
|Unknown|Certainly, you know, we, we were, thank you to Vacheron Constantin. We, we, we had this lovely opportunity to listen to you speak for quite, quite some time this morning. Uh, you know, when you sit down at these things, at a press thing, sometimes you think like, oh, we'll get 10 minutes to hear you talk about one or two pictures that you really like, but that's not what it was. It was this very like introspective, thoughtful, kind of thought provoking for me look at not only your sort of origin story and the sort of framework that brought you to where you are now, but also like this consideration of things like failure and improvement and reduction and minimalism and at some level the concept of perfection. These are things that I'm obsessed with. Yeah. And I absolutely love the talk. |
|Corey Richards|Yeah. Thank you very much. |
|Unknown| For our purposes, I think it'd be most fun to talk about how you got started in this career. We get a lot of people who write in who maybe they're really great climbers, but they've never touched a camera. Maybe they love their camera and they like reading John Krakauer books, but they haven't made the connection to actually go into the mountains and do something. Right. How did you bring those disparate things together and move forward holding them all in one? |
