
# The Grey NATO - Ep 86 - Quartz Concerns
Published on Thu, 01 Aug 2019 06:00:15 -0400



## Synopsis
The podcast covers a wide range of topics related to watches, diving, and travel. The hosts discuss their recent watch acquisitions, including a Blancpain Fifty Fathoms Bathyscaph Hodinkee limited edition and an Oris limited edition. They also talk about quartz watches, highlighting their versatility, functionality, and the impressive craftsmanship of some high-end quartz timepieces. One of the hosts shares his upcoming plans to join an archaeological expedition in Mexico to search for the lost ships of Hernán Cortés. They also touch on topics like smartwatches and the role of quartz movements in modern watchmaking.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-86-quartz-concerns)
- [episode MP3](https://www.buzzsprout.com/2049759/11311034-the-grey-nato-ep-86-quartz-concerns.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Unknown| Hello and welcome to another episode of the Graynado, a Hodinkee podcast. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 86 and we're so pleased to be able to say that it's brought to you by Manta watches. |
|Jason Heaton|Welcome on board Manta. That's, that's great. Another, another fantastic sponsor, real on brand with TGN and thanks a lot guys. Yeah. |
|Unknown| Yeah, huge respect for those team, you know, Michael and the guys there are awesome. And we've had some experience with their product, which we can absolutely chat about in the ad break in a few minutes. But really, man, we've been so blessed with the kind of brands that were willing to step up and support the show and keep the doors open. And it's been a great year. A big thank you to both brands like Manta, who are kind of like deep in the watch enthusiasm core.  But then some of the like outlying brands, it's been, uh, it's been such a positive experience. I didn't, I didn't really know you and I aren't really businessmen so much, which is probably why we became freelancers. But to, to, to go this route and of course to have the support of the Hodinkee ad team is huge. It's been so much more positive and easy and, and, and, and such than I had kind of expected. |
|Jason Heaton|Yeah, I agree. And, uh, you know, speaking of the Hodinkee ad team and, and just, uh, headquarters there, I hear a siren in the background. I take it you're back in New York and,|
|Unknown| I am. Yeah, there's only so much I can do about background noise. I mean, I'm in my small hot box. Has it cooled off there? No, not really. Actually, sorry, that's not true. It was into the kind of mid 90s, which is pretty rough, especially at night. Oh, yeah. But right now, I think I think we're sitting like low 80s, which is a little bit easier. So, yeah. |
|Jason Heaton|Yeah. Well, counterintuitively, I'm it's been hot here in Minnesota as well, but I'm actually headed south tomorrow. We're recording this on a Thursday.  And in fact, by the time this episode runs, I will actually be back already. And I'll have a lot more to share when I get back. But I'm headed down to Mexico, to Veracruz, to join the Lost Ships of Cortes project, which is kind of a once-in-a-lifetime thing for me, joining an archaeology expedition from the University of Miami that thinks they've found evidence of the lost ships of Hernan Cortes, the conquistador who Kind of was the first European to, however you want to put it, invade, discover, conquer, whatever, Mexico. And he famously told his crew to burn the boats after they hit land so he could avoid a mutiny and kind of commit his team to the conquest of Mexico. And so this team from Miami has been working for the past couple of summers on finding evidence of where those ships lie offshore. And Ghoshani and I are headed down there this weekend to join them for about three days of diving, take some photos and just kind of check out see what's going on. So I'm pretty excited about that. |
|Unknown|That's great. I mean, I you know, I've had some good experiences, obviously diving in and around in and around Mexico and even snorkeling, but not a huge amount of experience kind of on that side of Mexico. Yeah. So I'm excited, obviously, that that will we could probably make the better part of a whole episode about such an expedition. Yeah. Um, so maybe, maybe some of that we'll hold onto for a future, a future episode, but that sounds like a great, a great way to spend some time. It's a, it's a quick trip. You were saying? |
|Jason Heaton|Yeah, it is. I'll be back next Tuesday. So three days of diving, two travel days. |
|Unknown|Oh, okay. So you're back before this goes up. |
|Jason Heaton|Yeah. So I guess when people listen to this, this will be some explanation as to what all of my Instagram posts have been about for, for the past few days. And, uh, and then certainly when we record next, I'll give a full full download on what we found or didn't find and how it all was. Yeah, for sure. Anyway, yeah. And then you and I are both kind of been inundated with some interesting watches lately, huh? |
|Unknown|Yeah, I've got a ton of watches in for reviews and various write-ups and some of which you can see on my Instagram. I'm going to attempt to not just list a ton of watches, so I'll only talk about ones that I've essentially written about. |
|Unknown|Yeah. |
|Unknown|So that there's some sort of link.  Uh, if you will, um, but yeah, there's, there's a handful that are in if basically if you've seen it lately on my Instagram, I have it in for some sort of content production. Uh, but the one that went up recently was, uh, have you seen this Serica www? |
|Jason Heaton|Yeah, I saw some hints of it on social media and then I read your post and it looks great. It looks like just sweet spot. |
|Unknown|I mean, like it there, there, there definitely some commenters that didn't seem to get the appeal.  but you know it's a it's kind of a collaborative design between Matt Hranek of the WM Brown project and Serica watches which is kind of an offshoot of a really good French watch blog called I'm definitely get the pronunciation wrong but Les Rabeliers and I'll put a link in there because again the pronunciation it's not my strong suit especially in French but I've met these guys I hung out with with these dudes at at Concorso last year. And they're like really sweet guys, really deep into watches. And they have a kind of a nice eye for design. I'd seen a kind of pre-production version of this watch a little while ago. And it's this really kind of nicely sized. It's 37.7 millimeters. It's steel. It's like, I think it's 540 US, give or take. It's somewhere around 500 or 600 bucks. And it comes with a nice strap and a NATO. And they're kind of Imagine an elegant take on a Dirty Dozen. Yes. So the idea is that you still get some waterproofness and you still get some general sportiness, but the overall design is a little bit more dressy, kind of classic mid-century design, all kind of wrapped up into a field watch. And then it's a black or white dial and you can have kind of a spear tip sort of hand or what they're calling a broad hour hand, which is closer to what like Omega uses on the current Planet Ocean, that sort of thing. |
