
# The Grey NATO - Ep 87 - Perfect Product #2
Published on Thu, 15 Aug 2019 06:00:35 -0400



## Synopsis
Jason and James discuss their favorite pieces of gear, which are the Randolph Engineering (or American Optical) Aviators for Jason and the Patagonia Nano Puff jacket/vest for James. Jason owns both the 57mm American Optical Aviators and 55mm Randolph Engineering glasses, which are identical with the same design but different branding. Randolph Engineering has better marketing and style reputation for these military-spec sunglasses. The Nano Puff jacket/vest from Patagonia is lightweight, water-resistant, and extremely packable, making it an essential travel item for both of them.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-87-perfect-product)
- [episode MP3](https://www.buzzsprout.com/2049759/11311033-the-grey-nato-ep-87-perfect-product-2.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Unknown| Hello and welcome to another episode of the Graynado, a Hodinkee podcast. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 87, and just like with episode 86, we're so happy to say that Manta Watches is sponsoring this episode. A big thank you to Manta, and be sure to swing by mantawatch.com to take a look at their full lineup. Hey Jason, how's it going? |
|Unknown|Hey, good. Yeah, happy August.  Last month of summer. |
|Unknown|Oh yeah, we're in it now for sure. It is definitely the last month of summer. How are things there? |
|Unknown|Good. Yeah. I mean, it's, you know, the bugs have all but let up here and, uh, you know, the weather's been, been pretty reliable. So yeah. Um, you, you, you're on, you're actually on vacation while we're recording this. So thanks for taking a little time off to, uh, to do the recording. |
|Unknown|Well, for sure. The show, uh, the show must go on to, uh, to whatever extent we can. And, uh, and yeah, I am, uh, I am on vacation until I think tomorrow.  And yeah, and then just back to the normal. But I have been kind of digging in a little bit on, you know, getting used to a slower pace, trying not to think too much about work and that sort of thing, and just enjoying a bit of the summer here in Ontario. I am, as what has been rare lately, I am recording from my actual home base in Canada, not the Hodinkee HQ in New York. |
|Unknown|Yeah. I mean, it's tough as a freelancer, a permalance person to uh, actually take vacation. I think, you know, when you're working from home or mobile, um, it's just, it's hard to kind of shut off. So I'm sure you've been keeping one eye on your email and maybe doing a little work or something. Yeah. |
|Unknown|It is really hard, especially the, the email doesn't like, can't stop. I don't really, um, I don't really believe in out of office responders. Like I've, I'll, I'll set one up, but I don't actually treat it as something where I wouldn't, where I then wouldn't check my email. Yeah.  And like on these, on these ones, especially like in August, I'd like, I didn't even set up an out of office. Like the emails still come in if they're crucial and need to be responded to, they have to be responded to. And then there's, there's, you know, there's other things like we, we have a number of projects on the go at any one moment. Yeah. And, um, and like, you know, even if it's something where like I'm not actively working, I still like, you know, the other day I spent almost, you know, probably four hours just booking travel for the end of the month. Oh wow. Yeah. Hotels and you know, six one-way flights and all this sort of thing. And all of it takes a lot of time to kind of approve with everybody that's you're going to be meeting up and working with and all these things. And you know how it goes, but yeah. Yeah. Yeah. It's, it is really hard in this world, in this job to take a vacation and actually not, not feel like what you're doing is just not working. Right. And letting all of that work push forward. And then the moment, you know, I actually just got a Slack message asking if I'm back today.  The the moment that you are, you know, quote unquote back, it's a deluge. It's a it's a it can be a lot. |
|Unknown|So yeah, looks like you've been enjoying some time. I saw some nice photos from the zoo and kind of some nice weather up there in Toronto. |
|Unknown|The weather's been lovely. And yeah, and just before I dipped out on vacation, I was in New York and I borrowed from Leica their M10P, which is largely, you know, their kind of premium enthusiast camera. Yeah.  and a 35mm F1.4 Summilux. So Steve and Pulverin, our managing editor at Hodinkee, and myself are teaching a class with Leica San Francisco about watch photography in a couple of weeks. And I had some experience with non-Q Leicas, but I wanted to dig in a little deeper on using the M10 platform, especially pointing it at watches or, you know, somewhat more static subjects. Right. And so I board that and I've been shooting it. I mean, what are you going to say? It's an absolutely incredible camera. It feels like shooting film. At times, the range finder format is so slow when you're used to something like the Q, where you just kind of point and shoot and it goes and it always kind of looks incredible. And with this one, you can get incredible results, but you really have to be patient, or at least I have to be patient with it. You know, I don't manually focus the Q.  And then to go not only from not manually focusing, like, you know, in a scenario where you might use focus peaking to something like a rangefinder. And this camera does have focus peaking, but of course it doesn't have an EVF. So if you want to use focus peaking, you have to use the screen on the back. Oh, right. So it's a little bit of a different way of handling it. And then if you want to use the viewfinder, which is a traditional rangefinder, format, then you don't have really any impression of exposure or anything like that. You're using a meter, which is telling you to go kind of more shutter or less shutter, and then it tells you you're in the middle and then you shoot and you kind of see if it exposed the way you expect it. Right. So it's kind of this interesting ground between a film camera where you shoot and then later on, you see what you got and what I would call like your super modern digital camera where you have your eye to a screen and as you make setting changes, you actually see the exposure change. So like I barely ever use the meter strictly on my cue, I meter with using my eye. |
|Unknown|Yeah. |
|Unknown|So whatever the EVF is seeing, that's what I assume the photo will be close to. And I go from there. And then if there's a lot of specular highlights or a very like a high degree of contrast, then you can use the little kind of gradient meter at the bottom, I'm sure there's a more technical term for what that meter is called, to underexpose just a little bit and save some of those highlights. It's a whole different world with the M10. And I absolutely love it. It's one of these things that I probably shouldn't have borrowed because I can't afford it at any level. The lens costs more than the entirety of the cue. So it really is a fantastic thing to play around with and have some fun with. And for vacation where I'm not working and I can take the time to say, take 30 or 40 images of a leopard or something like that at a zoo. It's great. It's a, it's an absolutely fantastic camera. And you start to understand the skill that goes into the people who this is the camera that they use for their professional existence. Right. Um, even, even back into the sixties and the seventies where people were using, you know, previous editions of the M's that were obviously recording to film, but otherwise are the same.  You know, they're really kind of a fascinating thing. And if you live in a city that has a Leica store or a Leica retailer, I think, yeah, swing by the store and check one out. I think they're a blast. I don't know how easy it would be to do the entirety of my professional sort of work just from the M. But I mean, if you were in a scenario where you could have an M and a Q. You know, if somebody was a longtime listener of the show, or even if we just went back and|
|Unknown| listen to some of the earlier episodes and you kind of follow the arc of progression that we've had with various pieces of gear and kind of our changing philosophies or experiments with different things and cameras is one of those things. I mean you and I have gone through multiple iterations of cameras and types of cameras and you know we're now using the Nikon Z7 for a lot of underwater and topside photography and I've used the DF and I've talked about the Nikonos largely in the in the Nikon family, but we did have a Sony A7 for a while, and you've gone from all Canon to a lot of Sony, and Sony with Canon, and then into film, and now you're into Leica, and it's just interesting to kind of see that sort of arc of progression in the camera side of things. And I think the same could be said about our watch choices over the past couple of years too. Absolutely. But it's all good fun. |
|Unknown| Yeah. And it's like a growth and evolution thing. And you kind of, I think that there's a, there's a process where in many ways you start to minimize some aspects. Yeah. So instead of having multiple cameras with multiple lenses, the idea of having to, the idea of having something like a cue where I don't even have to think about the lens, it's a 28, that's what you get. Right. Work with the 28. And, and admittedly, I kind of eased my step into that by going to the Sony and becoming very much dedicated to that 24 millimeters Zeiss. |
|Unknown|Yeah. |
