
# The Grey NATO - Ep 88 - A Chat With Nirmal “Nims” Purja
Published on Thu, 29 Aug 2019 06:00:26 -0400



## Synopsis
The episode features an interview with Nirmal "Nims" Purja, a former British Gurkha and special forces operator, who is currently attempting to climb all 14 highest mountains in the world in just 7 months - a feat called "Project Possible". Nims discusses his background, how he got into mountaineering, the physical and mental challenges of this ambitious project, raising funds and sponsorship, his team, and future plans after completing Project Possible. He shares his inspiring story of determination and perseverance in the face of doubters, offering advice to the younger generation to pursue their dreams with full effort.

Nims comes across as a sincere, positive personality who has overcome numerous obstacles through his training, skills, decision-making abilities from his special forces background. The discussion provides insights into his unique journey from a non-mountaineer to attempting one of the most audacious climbing expeditions in history.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-88-a-chat-with-nirmal)
- [episode MP3](https://www.buzzsprout.com/2049759/11311032-the-grey-nato-ep-88-a-chat-with-nirmal-nims-purja.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton (Host)| Hello and welcome to another episode of The Grey Nado, a Houdinki podcast, a loose discussion of travel, adventure, diving, gear, and most certainly watches. This is episode 88 and we thank you for listening. Today's episode is a special one because it consists entirely of a chat I had with the mountaineer Nirmal Nims Porja.  Nims is a former Gurkha regiment soldier and special forces operator in the British military, who was set out this year to climb the 14 highest mountains in the world in just 7 months. To put that in perspective, the current record for such a feat is over 8 years. He calls this ambitious goal, Bremont Project Possible, which obviously takes the first part of its name from his primary sponsor, Bremont Watch Company. In fact, when I spoke to Nims a couple of weeks ago, he was in London for a short break after completing 11 of the 14 climbs, and he recorded his side of our call from Bremont's London boutique.  Even if you haven't heard of Nims, you've probably seen a photo he took. After a particularly tragic climbing season on Everest, the news media turned its attention to the issue of overcrowding of guided climbing clients, and a photo Nims took of the queue of climbers on the South Ridge became famous, appearing everywhere from the New York Times to CNN. Nims and his small team were the first to put up ropes to the summit of K2 this year, and along the way to several other peaks, he's led rescue efforts to aid stricken climbers, even as he's been chasing his own record.  Nims is heading back to the Himalayas shortly after this episode airs, with three mountains left to climb, Cho Oyu, Shishapangma, and Manaslu. You can follow his progress by checking out his Instagram feed at nimsdai or find him on YouTube. Now, here's my interview with Nims Purja. Enjoy the episode. All right. Hey, Nims, welcome to The Gray Nado. Great to have you on the show. |
|Nirmal 'Nims' Purja (Guest)|Thank you, buddy. And, well, pleasure to be here, mate. |
|Jason Heaton (Host)|Thanks. Yeah, so you're in the UK for A short time, I'm guessing, before you head back to the mountains? |
|Nirmal 'Nims' Purja (Guest)|Yeah, I'm flying back on the 29th of this month and I'm going to start climbing. I've got three mountains left. |
|Jason Heaton (Host)|On the 29th, okay, so you've got a couple of weeks. Is it a bit of a culture shock to go from being in such an extreme environment as the high mountains and then sitting in London traffic or standing in line for food or something? |
|Nirmal 'Nims' Purja (Guest)| No, but I think, you know, obviously I have been climbing in the most part in Nepal and Pakistan and I'm just glad to be back here and see some of the old friends and all. So yeah, I was actually looking forward to get back here. So good. |
|Unknown|Yeah. |
|Jason Heaton (Host)|Well, before we dive into the Bremont Project Possible, I just thought it would be nice to learn a little bit more about you. So you were born in Nepal, right? |
|Nirmal 'Nims' Purja (Guest)| Yes, I was born in Nepal and obviously joined the Gurkhas. Since I was a kid, that was my only dream to do so. And in 2003, there were like 30,000 people who applied for the British Gurkhas and only 315 made it. And I was one of them. And that's how my military career started in the United Kingdom. |
|Jason Heaton (Host)| I guess, you know, for me as an American and probably for a lot of our listeners, the Gurkha Regiment of the British military might be a little, I guess, a little confusing. Can you tell me a little bit about maybe the history of that regiment and how, you know, what the process is to join up? |
|Nirmal 'Nims' Purja (Guest)|Yeah. So, well, the story started in 1918, roughly 203 years ago.  So the British were in India, obviously when they were trying to take the whole of the world and obviously they started attacking Nepal and obviously neither the British could win and neither the Nepalese could win. And obviously after having that, you know, the Phil Marshall who was out there was really impressed with how The Nepalese were fighting and then they were called as a Gurkha soldier. So and obviously they said, OK, you know, we don't want to attack with you guys anymore. But, you know, is there any chance, you know, we have, you know, the Gurkhas, you know, you know, fighting alongside with us. Yeah. And obviously the king at that time agreed. And obviously since and then, you know, we we share loads of history together.  and we have been involved in the Second World War, you know, yeah, and this is crazy. And for me, you know, more than anything else, to join the Gurkhas was about the pride, because my dad was in the Gurkhas, my two brothers were in the Gurkhas, and... Oh, wow. |
|Jason Heaton (Host)|Yeah, so... Wow, family affair there, wow. Yeah. So, is the selection process, is it done in Nepal then, or do they do that in the UK,|
|Nirmal 'Nims' Purja (Guest)| So the selection process is done in Nepal. It takes almost a year and there's only one selection per year in Nepal. And to go into the selection, you know, of course, you have to be both physically, mentally fit. And the age group is, you know, they are looking anything between 18 to 21 only. And that, of course, is a big kind of, you know, fight to get in the Gurkhas. And it's a huge competition, of course. |
|Jason Heaton (Host)|Yeah. When I think of Nepal, and I think when a lot of people think of Nepal, they associate it with the Himalayas, but a lot of that country is lowland and jungle and hot and humid. And are you from the mountain region or are you from the lowland? |
