
# The Grey NATO - Ep 89 - Our Fav Watch Complications
Published on Thu, 12 Sep 2019 06:00:16 -0400



## Synopsis
This is an episode of the GrayNado podcast where the hosts Jason Heaton and James Stacey discuss their favorite watch complications. They cover various complications like GMTs, chronographs, world timers, depth gauges, and more. They analyze the practicality, functionality, and pricing of these complications from the perspective of avid watch enthusiasts. The conversation is interspersed with personal anecdotes and product recommendations related to the topic.

Towards the end, James shares about the recent discovery of the shipwrecks HMS Terror and Erebus from the famous Franklin expedition in the Arctic. Jason then recommends the Anker PowerCore Fusion portable battery pack which can charge devices as well as act as a wall charger, making it a handy travel accessory.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-89-our-fav-watch-complications)
- [episode MP3](https://www.buzzsprout.com/2049759/11311031-the-grey-nato-ep-89-our-fav-watch-complications.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of the GrayNado, a Houdinki podcast. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 89 and it's brought to you by Gear Patrol and their upcoming stocked product culture conference. You can stay tuned for more on that, or you can visit stock2019.com for all the details. |
|James Stacey|Hey Jason, how's it going?  Great. Yeah, boy, it's been a while since we talked. I did my NIMS interview last time, and I think before that, you know, we both had a lot of travel. And so, yeah, good to be back. |
|Jason Heaton|Yeah, I'm in a recording in Toronto, HQ in Toronto, and this is just recently closed the loop on what would have been, yeah, 14 or so days on the road. |
|James Stacey|Yeah, lots of one-way flights. I remember you were|
|Jason Heaton| Yeah, yeah, yeah. So yeah, it was San Francisco where we did this event with Leica and a meetup and Stephen Pulverin, my managing editor at Hodinkee and I did this, this kind of fun day long kind of class on watch photography, the Hodinkee style of watch photography. So that's kind of like fast, run a gun, shoot anywhere.  but get what you really need sort of stuff. So we had a handful of guys come out to that. It was great. We had a really good time. Was that filmed or recorded or anything? I'd love to see it. It was not. I mean, it was the first time we've ever done it. And the people who very kindly came along and participated paid a considerable amount of money to be part of the course. So it wasn't something that we put online. I think it could conceivably become something online, but a lot of it was hands-on. We spent about half the day.  just working through sample problems. They could put a watch down and we'd kind of show them how we would set it up and how to operate the various lighting, whether it was constant lighting or daytime lighting, or even a flash. And we'd all sorts of awesome Leica gear there. So a lot of it kind of translates more to in the scene sort of thing. But certainly there's some of that would translate okay as far as a video presentation. And maybe that's the future of something like that.  And after that, I went from, uh, from there down to LA for a couple of days, uh, to hang out. And then from LA, I was in Virginia working on a project I can't yet speak about. And then from Virginia, I went to Geneva working on another project I can't yet speak about. And then I was back in New York for a few days, taking some meetings and now back in Toronto. And I leave on, uh, I leave in three days for, uh, another few days on the road. |
|James Stacey|Wow. You should have just kept going East and gone around the world.  Yeah, I suppose I could have, yeah. Geneva to Shanghai, you could have gone to the AORUS launch in Shanghai. |
|Jason Heaton|Oh, true enough, yeah. So our guy Cole did that in Shanghai, yeah. I wonder if I could have strung that together. Could you imagine the jet lag? Oh man, yeah. But yeah, this is a watch that you and I saw in... Basel, yeah. In a special VR presentation at Basel this past March, and it's kind of a big thing for AORUS. |
|James Stacey|It is, yeah. I mean, I didn't quite... I think the Basel presentation kind of caught me off guard.  You know, I was sitting in my meeting at Baselworld and I think, you know, Vijay and Rolf were like, you know, put your stuff down. I mean, we're going to take you downstairs and kind of walk you into this special room and you can't tell anybody about this. And it was very top secret. And they had the VR masks on and they had a watchmaker explaining things. And I left feeling a little bit discombobulated. And then we went back and looked at kind of normal Aorus watches. And I was like, what did I just see? And I remember them saying, you know, this will launch, I think, you know, in the fall, obviously, which it just did.  Yeah, really, really big news for Aorus. I mean, you know, it's so cool. That brand is, they've always kind of appealed to me and I know to you as a smaller independent. And then when they do something kind of this big and then keep it at the reasonable price point that everybody's used to with Aorus, it, you know, you, they can't lose with something like this. It's amazing. |
|Jason Heaton|No, it really is an incredible thing. And it's, so it's a, it's a, it's called the Aorus Big Crown ProPILOT-X Caliber 115. And we'll obviously put a link to Cole's really nicely produced piece for Hodinkee.com.  And obviously if it's a caliber and then a three-digit, a 110, a 111, this is an in-house, a fully in-house designed and executed movement by Oris. And then the X actually suggests that it's not so much a pilot's watch, but a watch that's inspired by pilots and inspired by aviation. So you can see some of that in the styling, but it really is more of a sort of avant-garde luxury and sort of proposition. And then on top of that, you're looking at this really kind of industrial style finishing and aesthetic that I think is really gorgeous. It has a movement that was designed so it's not skeletonized as much as it was designed to be skeleton. And it has these gorgeous galvanized bridges that it's an entirely titanium execution for the case and the bracelet. And Jason, what did the price come out at for that? |
|James Stacey|It's right around $7,600. So, you know, after you read through all the specs and you see all the photos of the watch, you think, okay, AORUS has gone up market, this is going to be a $18,000 watch or something. And then they come at, come at it with, uh, you know, sub 8,000 and, and, you know, with all of the technology and the, the, the finishing and, and that spectacular bracelet that comes on it, all titanium with the galvanized bridges, uh, you know, you're just expecting a much more expensive watch and, you know, under eight grand is, is definitely territory for people that, that want in-house, they want avant-garde, they want, you know, somebody compared it to, I think like a Zenith Defy, Which certainly is a nice comparison, but Oris has always just been such an appealing brand, and then to see them do this, it's like, okay, they haven't sold out, you know, with this. It still has the big crown pro-pilot kind of feel to it with that sort of engine turned or, you know, sort of radial finished bezel, you know, and that kind of funky cool seat belt inspired clasp on it, you know, so there's these elements from their old watches that I've always kind of found endearing and sort of quaint and And then they do this real beefy, powerful movement. I mean, 10-day power reserve is nothing to sniff at. I mean, you'd be hard-pressed to find many other brands. You know, my Blancpain with the 100 hours is, I consider that pretty cool. But then, you know, 10 days is like, you know, with a hand-wound watch, you know, you can just, you're winding it every, almost every two weeks. |
|Jason Heaton|It's amazing. I guess, like, I guess I kind of get the Zenith connection because a lot of, with the Defy stuff, the new Defy line is also like skeletonized.  and still sporty, you know, they're drawing from different aspects of watch design. But I guess what I saw more of it, especially when I saw like the live pictures where it was on people's wrists and that sort of thing is I see a little bit more of the same sort of like cleanly modern, but still industrial sort of styling that we're getting from Bulgari. And I think they're like one of the most like well-positioned brands in the world right now with Bulgari's product. Like they just make an incredible watch. That's not like what anyone else is making.  It's really beautifully made. Don't get me wrong. It's very expensive. It's not really the TGN price point. It's certainly not a price point for like you and I to play around with, but it's really, really high end. They make really exciting stuff. That's not vintage inspired. It feels modern and now and considered and like it exemplifies proper, strong watchmaking skills. And I think we see that in something like this from Oris, which is exciting because this is a brand like that we attribute to like functional dive watches and trying to save the ocean and these great pilots watches. And then every now and then they're just kind of like, well, we were, I don't know, were they bored? Were they looking for a new challenge? It is one of these things where like, if you already know a brand for this, this, this, and this, and then they do something else, but they stick to just enough of it where it makes sense. And I really think it's a, it's kind of a successful thing. And, and, and, and, you know, it's kind of fun to, to see more kind of gray scale Auris stuff happening. I only just got home yesterday, and it's the first time I've taken that new Hodinkee LE off my wrist since I got it in early July. I've just been wearing it constantly. And it's really fantastic, but that's a watch that they didn't make that many of, and I get a lot of DMs saying, like, oh, where should I find one? Should I spend 40% more on one from the secondhand market that somebody's trying to flip, et cetera, et cetera?  It's an exciting time for Oris. They make a lot of great stuff. We're obviously huge fans of the brand and their watches. And it's exciting because they can really nail all the sides. So it's something like a $7,600 fully titanium in-house 10-day power reserve, sporty but still elegant and kind of boundary pushing for the brand watch at one end and then On the other end, they recently announced, and this is where I've been pointing some people who came to me for questions about the Hodinkee LE, is they just did another 65 limited edition with timeless luxury watches out of Texas. |
|James Stacey|Oh, yeah. Yeah, that's a beauty. |
