
# The Grey NATO - Ep 90 - A Chat With Paul Scurfield Of Scurfa Watches
Published on Thu, 26 Sep 2019 06:00:25 -0400



## Synopsis
The podcast is a conversation between the host and Paul Scurfield, a UK-based commercial saturation diver and founder of the Scurfa Watch Company. They discuss Paul's diving career, the challenges and technicalities of saturation diving, the use of watches in this profession, and the founding and philosophy behind Scurfa Watches. Paul provides insights into his journey from being a recreational diver to a professional commercial diver, the rigors of working at depths over 100 meters, the need for helium release valves in watches, and his motivation for starting his own watch brand catering to divers.

Paul also explains the design and pricing considerations for Scurfa watches, keeping them affordable yet functional for diving applications. The conversation touches on the history of dive watches, the challenges of manufacturing customized components, and Paul's approach to running Scurfa as a passion project alongside his diving career.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-90-a-chat-with-paul)
- [episode MP3](https://www.buzzsprout.com/2049759/11311030-the-grey-nato-ep-90-a-chat-with-paul-scurfield-of-scurfa-watches.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Host| Hello and welcome to another episode of The Grey Nado, a Hodinkee podcast, a loose discussion of travel, adventure, diving, gear, and most certainly watches. This is episode 90, and we thank you for listening. Today's episode is a conversation I had with Paul Scurfield, a UK-based commercial saturation diver.  For some, Paul may be familiar from his other job as the founder of the Scurfa Watch Company, a brand he started in order to make tough, affordable watches he and his fellow divers could wear on the job. But Paul isn't just a micro-brand champion. He's collected Tudors, Rolexes, and the odd Patek Philippe over the years, and remembers his teenaged years looking longingly at Comex and Military Submariners in the Army-Navy shops in Newcastle, England, before their prices got to where they are today.  Paul talks to me about his work in commercial diving, the nature of this arcane kind of work, his history collecting and wearing watches, and he explains why older iPhones were more helium safe than newer ones. We also talked a little bit about running his own small brand and the philosophy behind Scurfa. A note, this recording was done several months ago via Skype between Paul's home base in England and mine in the U.S. At the time, we didn't have a specific intention of using it for the Graynado.  So the sound quality isn't quite up to the standards you've come to expect from TGN. But I think the content of my chat with Paul is worth it, which is why we decided to run this as a full episode. I hope you enjoy it. So you're, you're, you're on dry land for a while? |
|Paul Scurfield|Yes. Um, I should be here another, maybe two weeks before I go back. So just getting busy with, I come home and I have a lot to do when I come home. I'm trying to tone it down a bit. I had all sorts of plans to, to make all sorts of new designs and automatic watches but at the minute I think I'm just going to mainly concentrate on the quartz diver one watches. Oh sure. And the bell divers that I've already done so it just creates too much too much work. |
|Host|Well I can imagine I mean the the diving work is full-time when you're on and then when you get home you probably don't necessarily want to dive into another full-time job.  What's your typical schedule? What's your typical on-off schedule for the diving? |
|Paul Scurfield|Pretty much, it works out about a month away and a month at home. Up to 23, 25 days in the chamber in the dive system. |
|Host|And where do you live? |
|Paul Scurfield|I live in Sunderland, the tiny way up, but I'm originally from Elk's Hills, which is right next door. |
|Host|I was intrigued because you had written that post on Watch You Seek about helium valves. Everybody's very interested in helium valves, of course, and nobody ever really talks to a to anybody who would even remotely come close to using it. |
|Paul Scurfield|I don't think anybody fully understands the complexities of what actually happens in a dive system with the pressures, the different gas mixtures, the different depths. There's a lot that the watch could never be tested. It's impossible. |
|Host|It's interesting, last week I was out in Colorado with Oris watch company Oh yeah. And we were doing a little ski trip and they introduced some new watches and they have a new addition to their pro diver line that they call the Dive Control. You know, one of their ambassadors is a Swiss commercial diver. I guess he's one of very few Swiss commercial divers. And his name is Roman Frischknecht. So he came on Skype, did a video chat with us, with our group there. But he was describing the name Dive Control as a role in the in the diving system? Is that the case? Maybe he's the guy who's got topside? |
|Paul Scurfield|Yeah, dive control. It's like the Starship Enterprise. How is it anyway? I'll send you a picture of it. I'll take out the picture because it's quite impressive. It is literally like, it's more complicated than the bridge on the ship. Oh wow. You've got to cover every eventuality. I'll send you a photograph because it does look like the Starship Enterprise. Our new one. The old ones are just cobbled together with sticks of Wages here and vows here and there dotted about, no rhyme or reason. But obviously now, we've got it a bit more perfected now. You know, it's more organized now. |
|Unknown|Yeah. |
|Host|Where are you doing most of your diving these days? |
