
# The Grey NATO - Ep 91 - Ready For Adventure
Published on Thu, 10 Oct 2019 06:00:14 -0400



## Synopsis
The podcast hosts Jason and James discuss various topics related to travel, adventure, exercise, and living an active lifestyle. They share their personal experiences with different types of workouts like running, cycling, and strength training, and offer advice on finding activities that fit one's preferences and schedule. They also touch on the importance of a balanced diet and moderation. Additionally, they provide an overview of Bremont's new limited edition H4 Hercules watch, which incorporates materials from the historic Spruce Goose aircraft.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-91-ready-for-adventure)
- [episode MP3](https://www.buzzsprout.com/2049759/11311029-the-grey-nato-ep-91-ready-for-adventure.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to The Grey Nado, a Hodinkee podcast. It's a loose discussion of travel, adventure, diving, driving, gear, and most certainly watches. This is episode 91, and it's proudly sponsored by Bremont Watches. And Bremont has an exciting new release, so let's stay tuned for a bit more later in the show. |
|James| Yeah. And if you, if you can hear from the room sound, we're both in New York for some meetings and Jason, it's great to see you. |
|Jason Heaton|Yeah. Great. I'm just here for a day, but you know, we wanted to take the opportunity to meet up here at, we're actually at the Hodinkee offices and, and a great new space. They just opened some new offices here and I got a quick tour from from everybody and just great to see some old faces. I think last time I was in New York was gosh, in the spring, I think we met up at the Bramont townhouse. |
|James| So I mean, that was another one where we recorded in kind of a live room. We're in a room in the Hodinke's new offices. It's not a perfect room. They're currently working on a podcast studio. And normally, Jason, I do this from the extreme quiet of our own home. So you do get a face to face, but you might also get a little bit of echo. And of course, I'll do my best to mitigate that. But we appreciate a little bit of flexibility on the audio quality on the top there.  It's, yeah, it's nice to be in New York. We had a nice breakfast this morning and we don't get to do a lot of things face to face, especially hang out. Like often, like with the Braymont thing, I see you, but we're socializing and you're on other people's schedules and other people's pages. So it's nice to be able to spend like a day with you. And then oddly enough, we get to spend more time together next week doing a project that we kind of can't talk about, but a really, really interesting project that we'll share more about once it's live. |
|Jason Heaton| Yeah, two weeks in a row. Wow. |
|James|Yeah. I like this pattern. This is good. Yeah. |
|Jason Heaton|Very cool. And today if we get some time, we're going to sneak off to head up to the Upper East Side, go to the Explorers Club, maybe grab a drink there and just take a peek around all the old artifacts. |
|James|I've never been, so that sounds like an absolute blast for me. And I, you know, I've been, I finally got to a point where I've handed in a few things. We're going to record this and I actually kind of have an afternoon off, which is a first.  in a while, so I'm excited. And the Explorers Club, you've spoken about it in the past with very glowing reviews. |
|Jason Heaton|Yeah. And then we'll grab maybe some Thai food tonight and then I'm out of here tomorrow morning and then we see each other again next week. Yeah. About a week from today. |
|James|So that's pretty cool. Anything else new as far as comings and goings or not so much? |
|Jason Heaton|No. I mean, you know, we've had the summer kind of winding down and I guess the last time we spoke, I had come back from my dive trip up in Michigan.  And since then, it's just been kind of getting feedback on dry land and just plugged in my Rolex review story, which I would assume by the time this episode's up should be live and people can read about that. Really fun one to write. Some great photographs, both from Ghoshani on the kind of a close up product side. And then my friend Chris, who did a lot of the dive photos. So excited to see the reaction to that, that one. Actually, I thought, you know, since we recorded last was the release of the the new Land Rover Defender. And a few people have written to me and said, Oh, are you guys going to talk about it on the next TGN? And, uh, it just occurred to me, we, we probably should, you know, kind of rehash that a bit. I mean, I'm, I'm an old pre Defender Land Rover owner and, and you're obviously well into the car scene. Uh, what are your kind of impressions from what you've seen? |
|James|Um, okay. So I mean, simply as this is, this is a modern take on the Defender platform, which is their kind of, It's like Land Rover's most rugged or agricultural sort of heritage vehicle. And obviously the previous generation, which ended a couple of years ago, you know, commonly just called the Defender or a D90 or a D110. That's a wheelbase indication. But, you know, it's this very boxy, squared, military-esque. They're in James Bond movies. I think they're in like an iconic style within the automotive world. And that body style, which of course came after yours, lasted for a really long time, and there were versions that were actually federated for North America. Those are commonly called NAS. They're very expensive. They could be $80,000, $90,000. You can find them on Bring a Trailer if you really want to track one down. Otherwise, you'll see a lot of people driving right-hand drive ones, which they imported. You can buy a TD5 D90 for $10,000 to $15,000 and bring it over and then deal with some of the headaches of trying to do drive-throughs and toll booths from a right-hand drive car, all part of the fun.  But I think, you know, when they removed this Land Rover's really, um, you know, under, under this connection with Jaguar and, and launching some very successful vehicles, they arguably make one of the best perceived luxury SUVs in the world with the Range Rover. And then they recently redid and on a brand new platform and everything, the Evoque, which has been a very popular vehicle for them. I'm not a huge fan of the Evoque. It looks kind of like a Barbie's.  Yeah. Vehicle in any color. I don't necessarily mean that it's feminine. It looks kind of toy-like, but they did kind of give it some of the look of the Velar, which I think works nicely. And then with the Defender, they really tried to bring the original style into something that would pass modern day crash standards and durability standards and things like that. And it'll be interesting to see if they really make something that resonates with the sort of agricultural landed gentries of people who have really appreciated the original Defender for its ruggedness and its simplicity and yes, certainly some lack of creature comforts, but in trade, a vehicle that just kind of always worked and could get itself out of a bog and could get you down to the store and get to go to church on Sunday or whatever it is that you use your, your more, uh, pedestrian vehicles for, uh, with this new one, we're looking at a starter of, uh, about 50 grand. I'm running a two liter turbocharged inline for about 300 horsepower.  And then they're making a shorter version and a longer version like they have in the past. So there's a two door Defender and a four door. I think aesthetically, I really like most of it. And we can get into some of the stuff I don't like. But you know, where do you land? I mean, you a Land Rover fan, obviously, I think there's a charm inherent to a series two series three sort of existence that doesn't exist. Yeah, with a modern vehicle, but where do you kind of sit, sit with it? |
|Jason Heaton| You know, I'm not such a purist that I'm going to hate on it initially just because it has, you know, electronic control units throughout the vehicle or, you know, the creature comforts you mentioned. Right. But to me, it has lost a bit of the charm of the last one. I think it's such an extreme departure from the previous Defender and obviously the series vehicles.  it's a really tough act to follow. And I think they kind of did the best they could looking at the market that they're trying to hit, uh, you know, in reading a lot of the feedback online from a lot of people, including purists, you know, people are by and large impressed with what it can do. The capabilities doubtless. I mean, this thing has, well, I think I've read 900 millimeters of water waiting, uh, capability. So we're talking what, that's almost a meter, uh, you know, three over three feet of, uh, water can forward.  uh, you know, all the, the traction control features. Um, I think it has dual drive for front and rear, uh, all of this, you know, insane capability that that's been honed over, you know, years with Land Rover's experiences with the Range Rover and all these other vehicles. I guess I would have really liked to see a much more stripped down version, uh, with some of those capabilities and that they do make one with the coil springs. So you can opt for a version that doesn't have the air suspension.  which a lot of people will like, but the days are over where if you get stuck in the bush with something wrong with it, you can't just pull out a hammer and a screwdriver and fix it yourself. That's just not going to happen. But I also think that those days were over for Land Rover for a while. You could do that with a Defender, but the people that were driving them that way, were fewer and fewer. And I think Land Rover recognized the reality of that. The argument that, you know, if you're going to be stuck out in the bush and you get a flooded ECU and all this electronics, you're kind of dead in the water and you can't fix it. OK, that's fine. But those people are in a great minority. I think that the farmers that were buying Land Rovers back in the 70s, 80s, 90s moved to something like a Toyota Hilux or something like that, probably back in the early 90s. |
|James|Yeah, or like Subaru Foresters or like just some other kind of agricultural but polished vehicle. And I think the other thing to keep in mind is, yes, I would agree that these modern vehicles on a whole aren't as fix them with a hammer as older stuff, but they're also much better made. So this may not be the same sort of expedition vehicle as a previous D110, but it might drive over all the same stuff and just not break. |
|Unknown| Right. |
