
# The Grey NATO - Ep 92 - TGN Film Club 3
Published on Thu, 24 Oct 2019 06:00:22 -0400



## Synopsis
The hosts discuss several movies they recommend, including Jaws, The Constant Gardener, Three Days of the Condor, Downhill Racer, Marathon Man, Blade Runner 2049, Sicario, The Town, Collateral, and the Hitchcock film Rope. They give brief descriptions of the plots and what they appreciate about each film.

They also discuss some recent vacations and experiences, like one host staying at the former estate of Ian Fleming in Jamaica. For final notes, they recommend products like a Topo bag, a Fraser wallet, and the Inside Skunk Works podcast about secret Lockheed Martin aircraft projects.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-92-tgn-film-club-3)
- [episode MP3](https://www.buzzsprout.com/2049759/11311028-the-grey-nato-ep-92-tgn-film-club-3.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello, and welcome to another episode of the Graynado, a Hodinkee podcast. It's a loose discussion of travel, diving, driving gear, and most certainly watches. This is episode 92, and it's proudly brought to you by Hamilton Watches and their Intramatic Automatic Chronograph. Stay tuned for more on that a little later in the show. And we thank you for listening. Hey, Jason, how's it going? Howdy. |
|James Stacey|Good. Good. Yeah.  It's been a while since we talked. I think, uh, we recorded an episode in person in New York. We did last time we, we spoke, uh, then I did an interview and, um, yeah, so it's been a while. |
|Jason Heaton|Yeah. I mean, that last interview I thought was a, was a really good one, despite the fact that the audio quality kind of wasn't great. Uh, you know, you and I kind of hemmed and hawed on whether or not it was something that had to go out. Right. And I think it really did like Paul, uh, for those of you who didn't listen to episode 91, Paul Schofield, he's just the sweetest guy on record and an absolute expert in what we talk to him about. I really liked that one and we had... We'll get to this, but I had a chance recently, just in the last week, to talk to a bunch of listeners in London and Glasgow, and they all kind of agreed. It was a little hard to understand him at times, but when you could get the audio, he's just incredible.  It'd be really fun to do a round two of that at some point, you know, like you, me and him may be in a quiet pub somewhere and really ask some like borderline dumb, but also like really deep questions, like try and do both. I found him fascinating. I thought even just his voice was incredible. He's great on mic. But this is, you know, this is why we go to such kind of extremes for audio quality when it comes to recording apart. I mean, you and I are, you and I are a fairly considerable flight in distance apart right now. And you always try and make it as good as possible. But in that case, we kind of bent our rules and, uh, and we rolled it and I was happy with it. I thought that was a good one. Uh, but since that, so, I mean, it has been the better part of a month since we, uh, since we were last kind of actually recording one of these together. How have you been? |
|James Stacey|Good. You know, it's funny. Um, since the last time we did talk, our, our last episode that we recorded together was the fitness episode. And I think we both have, have updates, which is kind of a fun, it's kind of a fun thing to do on the show because I, I've been thinking that it, it's almost a way of holding ourselves accountable for kind of upping our fitness game. Yeah, no, I agree. You know, since that episode, uh, I heard from a listener on Instagram, his name is, uh, Dr. Rob. So it's dr.rob.3 on Instagram. And he heard that episode and he pinged me in a direct message and gave me a recommendation for a rowing machine. Um, I had mentioned that I was interested in maybe buying a Concept 2 rowing machine, which is the one you usually see in a lot of gyms and a lot of the rowing clubs and things use them. And he said, you might want to consider a Water Rower. So that's the brand name. And Water Rower, some might recall, was made semi-famous by the show House of Cards. Oh, yeah, yeah, yeah.  It was the rowing machine that, well, even before he was president, but the Kevin Spacey character used. Frank Underwood? Frank Underwood. |
|Jason Heaton|Underwood, Underhill, yeah, Underwood. Underwood, yeah. Okay. Which one did you get here? |
|James Stacey|So it's the one that he used. I don't know, it was about, it wasn't the very base model, it's a wooden one with the dual rail seat. Okay, like an A1 home? That sounds right.  Yeah. Cool. All right. Yeah. And I love it. I got it last week and, you know, just for some background, maybe people didn't listen to episode 91. Yeah. But the back story was, you know, I'm a big cyclist in the summer and cross country skier in the winter, but there's always this period like right about now where it's dark days, it's raining, it starts to get kind of icy if we don't get good enough snow for skiing. Like I just want something to kind of get in a good you know, half hour, 40 minute workout. And I've always liked rowing and so that seemed like a good solution. Um, so I, I, I bought one, I bought this, this water rower, I've got it set up in the basement and I love it so far. It's, it's just such a simple exercise. Like this, this unit, you're, you're basically pushing around sort of a spinning set of paddles that's inside of a tank of water. That's what provides the resistance. And so there's really no, There's really no way to like dial up or down the resistance. It's basically, it's based on your own intensity. So if I want it to be harder, I just have to row faster to kind of increase the resistance. And there's a very simple interface that kind of tracks. I've been doing like 5,000 meters of rowing and you can just kind of set it, just counts down. And then I'm using the Garmin, the Phoenix, which has an indoor row function on it.  So it tracks my strokes based on my arm movement, I suppose, and then my heart rate and my time. And then I just, you know, I put on a podcast or some music and kind of crank up a fan right in my face and just go to town. And it's, so far I've used it, I think, three times since I got it.  I love it. I can see it as a great sort of indoor alternative to, um, you know, if I, if I can't get out. |
|Jason Heaton|Yeah. And it's kind of nice looking like it's, it's kind of has like its own aesthetic to it, which is kind of cool. |
|James Stacey|And yeah. And what's cool about it is, is it, um, speaking of the looks, you know, what, what's nice about this and kind of sold me on it over the concept too, is that it's, it's a little more low slung and actually has a smaller footprint, but also if you need extra space, you can, tip it up on its end and just kind of lean it against a wall and it takes up no greater footprint than like a chair. So it's, and because it's this kind of nice, you know, polished wood, it, it kind of looks, looks pretty decent too. So yeah, I'm, I'm thrilled with it. And then I downloaded your recommendation of the, the, I think it's called the six week hundred pushup app. Oh yeah, yeah. Um, so I actually started the routine today. Um, I did the test last week to see how many I could do in a row and I'm not going to embarrass myself by admitting how few I could do. |
|Jason Heaton| The lower the number, the higher you can climb. |
|James Stacey|Yeah, right. So I started in on the routine today and so far so good. And I'm doing that and rowing. So yeah, exciting. That's great. Good stuff. I'm glad to hear. |
|Jason Heaton|And then on my side, I mean, just to fill in my side of a similar scenario is, you know, I was kind of looking for, I've been getting back into running, even since that last, uh, one and, and pretty, pretty, you know, successfully seeing some more considerable jumps in speed in pace, which I'm pretty happy about. You know, I'm, I'm still chasing that sub five minute kilometer, um, which, uh, is fine. I enjoy the, I enjoy the chase there, but, uh, you know, I have this longstanding sort of group chat on a Google Hangouts with some buddies that I used to work with.  and a few guys I used to even go to high school with and one of them said, hey, I have an exercise bike if anyone wants it. And it turns out it's not this like super casual exercise. It's like kind of like something you'd find in a decent gym. |
|James Stacey|Oh, nice. |
|Jason Heaton|So I went and picked it up and I've done two workouts on it so far and loving it. It's fine. I mean, like, I guess I kind of thought it would be like riding a bike outside.  Uh, but it's way more intense than that. So like I finished, I, you know, I found some, a couple of YouTube videos, like ones from GNC. Um, I'll see if I can throw a couple up and I haven't found one that I love. When I find one that I love, I'll mention it. I'll put it in the show notes, but I found a couple, you know, if you just type like literally exercise bike into YouTube and then picks a couple of them have like 10, 10 million views. So I started with those and it's good. I mean, I finished, I finished a 30 year, 40 minute workout, just like pouring sweat. And it's nice if it's a, you know, too dark to go for a run or pretty soon it's going to be colder and colder and then snow and all that kind of scenario. So I'm thrilled. I can push it right up in front of my, um, in front of my computer today on, on one screen, I had the audio and video of like a standup comedy routine from Netflix. And on my main monitor, I had the actual like bike flow video, but I don't want to listen to the guy yell at me for 40 minutes. I can, there's all these graphics that tell you what you're supposed to be doing. So it just mimics whatever the other people were doing on their bike. Yeah. I like it. I think I'm going to continue with this and, uh, and then just kind of blend it into a normal sort of strength workout over the winter. Um, so yeah, I I'm pretty happy with that so far, which is, uh, which is nice. And, and, and to, to put a footnote on the fitness thing, a really big thank you to everyone that wrote in emails. I don't think I'm exaggerating when I say like we got in excess of 50, maybe closer to a hundred emails.  from people who either just appreciated the fact that we took some time to talk about fitness from a layman's standpoint, from a functional standpoint. And then other people who are simply saying like, this is what I do when I'm in a hotel. This is what I do when I'm at home. This is why I like gyms. This is why I hate gyms. And there's always like a thousand opinions when you bring up something like this, but everybody was so nice and supportive.  And, uh, and, and I'd like to kind of keep that cycle moving. So if you ever want to write in and you want to share something, or you think you found like what you, what feels like the key for your lifestyle, like to really accept some exercise or activity, then maybe write us in if you've stuck with it and it's, and it's like, it feels good. And so, and you're able to support it as a, as a functional sort of part of your life right in. And we'll try and reflect that back out towards everyone who's listening.  Uh, cause we would like to keep you all as healthy as possible. And, and in return, Jason, I would like to feel like we should try and keep ourselves as healthy as possible instead of sitting on the couch. Um, so I like kind of having a little bit more of an impetus to get on this bike or put my running shoes on or, uh, throw a kettlebell around or whatever it is. So I thank you to everybody who was really cool about the fact that we spent what, like the better part of an hour talking about, uh, exercise on, uh, on, on a podcast. It's generally about watches. So. |
|James Stacey| Yeah. Yeah. That's awesome. And, and you'll, you'll just have to tell everybody, um, because you told me before we started this, uh, how you got your exercise bike home. |
|Jason Heaton|Oh yeah. Uh, so that's the next big thing. And I guess it, this really puts a highlight on, on how long it's been since you and I recorded an actual episode. But, uh, I finally, you know, after nine months now I've, I've, I've found a vehicle. I did buy a Jeep. When I first started my, my thought of getting a vehicle is what I basically wanted was something you could take the roof off of.  uh, that had a stick. But then of course I have two kids and I'd like something that you can drive year round. So that's snow in Toronto. And I like some of you could probably take like camping. I also don't like having to worry about the physical condition of a vehicle, whether it be like the wheels or the actual like body work of the vehicle. Like I'm not prepared to own a really nice car. Yeah. And I still get these cars. I still get to borrow really nice cars for free.  Uh, so, uh, yeah, the, the end result is when you, when you really start to take all of those pieces and put them into one vehicle, it was pretty clearly going to be a Jeep, uh, Wrangler. So I ended up finding a 2011 Wrangler JK. So it's the unlimited, it's the four door. It has the three eight, which is the lesser wanted engine. This is the, in fact, the last year of the three eight. So it's not very good on fuel, but I don't drive that much. |
|James Stacey| It's a V6, I'm guessing. |
|Jason Heaton|Correct. Yeah, it's a 3.8 liter V6. It was later replaced by the Pentastar, which is a little bit more powerful, also better on gas, also a little bit more free revving, just kind of a better engine all around. That said, as far as Jeeps go, I don't need a fast one. One of the things I actually like about this Jeep is I think it's going to be tough for me to get a speeding ticket in it, but it's a six-speed, which is what I wanted, which is a six-speed Jeep, and it's green with a tan interior. I love it. It has a paint-matched hard top.  which is the only way I would have bought it. I don't like the non paint matched hard tops. The ones that are just kind of that like matte plastic color, uh, black plastic. And then it has a full soft top as well, which I can put on next summer and it's in nice shape. It doesn't have too many kilometers. Uh, it runs really beautifully. I, it took me, you know, I got it on a Friday. I went on a trip for, I don't know, a week or whatever. And then I came back and I immediately started modifying it.  Um, so I came back to, you know, like six or seven Amazon boxes of stuff. Uh, for anyone who owns a Jeep, you're, you, it depends on which camp you're in. Like my dad, he's had a Jeep for really a Wrangler for quite a while, uh, an old TJ, and he's never tried to really change anything about it. Aside from the top, he has like a, like a bikini top. So it just goes over the front cab and then the back is kind of like a pickup. |
|Unknown|Yeah. |
