
# The Grey NATO - Ep 93 - A Chat With Andy Mann
Published on Thu, 07 Nov 2019 07:00:02 -0500



## Synopsis
Andy Mann is an award-winning photographer and Emmy-nominated filmmaker who uses his camera to raise awareness for ocean conservation and protection of marine environments and wildlife. He discusses his journey from rock climbing and mountaineering to becoming immersed in ocean photography and videography, working with organizations like National Geographic and Sea Legacy. Andy shares stories of his adventures, such as tagging six-gill sharks from a deep-diving submersible, and his approach to capturing stunning underwater imagery, often through freediving. He also talks about his recent collaboration with Zodiac Watches to design a limited edition dive watch.

As an ambassador for Sony, Andy Mann provides insights into his gear choices and techniques for both stills and video, highlighting the importance of editing to his creative process. Throughout the interview, he emphasizes the thrill of exploration, forming bonds through shared experiences in the field, and the power of visual storytelling to inspire people to care about remote and wild places.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-93-a-chat-with-andy)
- [episode MP3](https://www.buzzsprout.com/2049759/11311027-the-grey-nato-ep-93-a-chat-with-andy-mann.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Introduction| Hello and welcome to another episode of The Graynado, a Hidinki podcast. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 93, and it features a chat between Jason and Andy Mann. Andy is an award-winning photographer and Emmy-nominated filmmaker. Working with brands like National Geographic and operating as a senior fellow for Sea Legacy, Andy points his camera at the world's oceans to help raise awareness for conservation and protection of marine environments and wildlife. One quick note from me, your editor, this interview was recorded remotely while Andy was on the road and includes some strange audio qualities as a result of the audio equipment available on site. My apologies for the less than incredible audio quality, but we thank you for your patience as we work out a solid solution for recording these remote interviews in dynamic environments. Aside from a huge thanks to Andy and to Zodiac for making this happen, That's all from me. Here's Jason. |
|Jason Heaton|Hi, Andy. Uh, welcome to the gray NATO. Thanks for, for taking the time today to talk to me. |
|Andy Mann|Are you kidding? Thanks, Jason. This is awesome. |
|Jason Heaton|Yeah. So you're talking to us from Boulder, Colorado, right? |
|Andy Mann|From beautiful Boulder, Colorado. |
|Jason Heaton|Yeah. What a great place. Um, you know, I read somewhere that Colorado, this was a while ago, boasts more certified scuba divers per capita than any other state.  Have you heard that? That sounded so strange to me. |
|Andy Mann|Boulders, it's this bubble. It's like you get more, you know, doctorate degrees, more breweries, more coffee shops, more rock climbers, more scuba divers. And it's, you know, people always tell me, they're like, wow, you're a diver and you live in Boulder, Colorado. How does that work? But the truth is there is a big community here. And I always tell people too, if you spend as much time in the Atlantic as you do the Pacific, You might as well be somewhere in the middle. |
|Jason Heaton|Yeah, that's a good point. I'm friends with Jonathan Kingston. I don't know if you know Jonathan, but he's a diver as well, and he's based in like Bend, Oregon as well. So it's like, must be something about these middle kind of inland locations for divers. But so, you know, I think speaking of diving and mountains, I think your work, at least recently with Sea Legacy and the Zodiac Partnership, you seem to be probably best known these days for your diving adventures and underwater photography.  You actually have quite a background in the mountains as well. Can you kind of tell me maybe what came first or if you have a preference and kind of how all of those came together? |
|Andy Mann|Yeah, you know, climbing came first. So basically the first decade of my career as a filmmaker and photographer was almost exclusively in the rock climbing industry. You know, I grew up in rural Virginia where like the greatest adventure you could have is like as far as you could ride your bike to like the nearest farm pond to go fishing.  You know, after I studied fisheries in college and after college, I just moved out West with a group of guys because we'd had enough of Virginia. You know, it was just like be out where the good music was, man, in the, in the outdoors. And so I landed in Boulder and then. Like within a few days, someone took me rock climbing and it just like clicked for me. Just the fact that like, we were just bouldering.  You know, which is like, you don't have ropes, you just have like a little pad on the ground and you can literally traverse a boulder from right to left, no more than like 12 inches off the ground. But there's so much, so many challenges in that, just that one set of moves to get from right to left that I remember just beating my head against the boulder and I couldn't figure out why I wasn't strong enough to do it. You know, there'd be like an old man or like a child come through and just like do it effortlessly.  Here I was, you know, and I remember when I finally did the route, it felt easy and I was like, wow, I can't believe like I just spent like three weeks of my life literally just like totally tuned into like 10 feet of rock. And I was like, as soon as it clicked for me, I was like, oh, climbing is it like that's what I want to do. And so in order to sort of fulfill that obsession, I picked up a camera.  I literally called a friend of mine, Keith Ludzinski, who is now also a National Geographic photographer. And and I was like, man, can you show me the ropes? You know, I had worked with him as a climber and him as a photographer. And I just saw like, wow, you know, spinning his life out with climbers like traveling the world. And so that's what led me to the camera. And then and then I started working for Climbing Magazine.  in a rock and ice magazine, an alpinist magazine, and just slowly grinding it through the editorial world up into the commercial aspects, started making films, started doing bigger expeditions to the mountains and to, you know, big walls and Greenland and all these crazy places. And so that was like the first 10 years of my life. And then when I started to really look for purpose in my work, I got my first opportunity with National Geographic.  And that was an ocean conservation trip. And that sort of like, again, like flipped the light switch on for me to, to like open a new chapter. |
|Jason Heaton|Oh, okay. So that's when you started diving. How long ago was that? |
|Andy Mann|It was not long ago. Um, 2013. |
|Jason Heaton|Wow. That's amazing. |
|Andy Mann|Yeah. So that was an expedition, uh, with my friend Corey Richards. |
|Jason Heaton|Sure. My, my cohost James just interviewed him for an episode about four episodes ago. So. |
