
# The Grey NATO - Ep 95 - The 2019 Watch (And Watch Things) Gift Guide
Published on Thu, 05 Dec 2019 06:01:03 -0500



## Synopsis
The hosts discuss various gift ideas for watch enthusiasts and others, ranging from inexpensive items like spring bars and coasters to watches like the Seiko SKX or SRP diver models under $500. They also recommend some books, travel cases, and the Garmin Fenix 6 outdoor smartwatch around $900. The episode also includes discussions of Oris's ocean conservation efforts, the Ford v Ferrari movie, a new James Bond Omega Seamaster watch, and personal submarine exploration.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-95-the-2019-watch-and)
- [episode MP3](https://www.buzzsprout.com/2049759/11311025-the-grey-nato-ep-95-the-2019-watch-and-watch-things-gift-guide.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Unknown| Hello and welcome to another episode of the Graynado, a Hodinkee podcast. It's a loose discussion of travel, diving, driving gear, and most certainly watches. This is episode 95 and it's proudly brought to you by Oris watches and their efforts to support clean ocean conservation all over the world. Hey Jason, how's it going? |
|Unknown|Oh, pretty good. Yeah, it's a full on winter here. We've got snow and cold. It just feels like it came overnight. |
|Unknown| Oh boy. Wow. Yeah. The, uh, the, the weather's been pretty hitter. I've been in New York for the last little while and the weather's been kind of hit or miss here. We did get a bunch of snow last night. Uh, so there was, you know, I came out in the, there was snow on the car, like maybe an inch, maybe not even quite an inch. Yeah. |
|Unknown|Yeah. That's right. You drove to New York. |
|Unknown|I did. Yeah. Yeah. Big long road trip. Kind of put the first road trip on the Jeep. Uh, I was coming down to do sort of Thanksgiving in the area, which I thought would be kind of fun. And I drove down.  from Toronto, stopped in Ithaca and at Lucifer Falls and then into Woodstock and then finally drove into Brooklyn, which is where I stay when I'm in the city. And how long did that take? I mean, the Google Maps, if I hadn't bothered stopping, like I think maybe just with a fuel stop somewhere along the way was like nine, nine and a half hours, something like that. Wow. And I think this took more like 13.  with a handful of stops and went for a hike, a hike out to Lucifer Falls. And I wasn't in like a specific rush. So, yeah, that would be simple enough. |
|Unknown|And how did the Jeep do on the highway? |
|Unknown|Yeah, I mean, I don't have many hours. I don't think it loves going much over 75 miles an hour, which is, I suppose, fine. There's not many places where you have to. But other than that, it was great. I mean, it's not it's not I wouldn't say it's very good on fuel, but You know, I was getting maybe 21 miles to the gallon on the highway and sixth, uh, which isn't that bad and fairly comfortable, uh, coming back from, uh, coming back from where I did Thanksgiving, it was kind of, uh, a mix of heavy rain and hail. And you quickly learn that like this plastic roof that's above you isn't especially insulative to things hitting it. Yeah. So it was a pretty noisy drive coming back, but, uh, outside of that fine, you know, very charming. And then, you know, there's a handful of great roads.  in and out of Lucifer Falls and around Woodstock and New Hope and a few other areas that I got to over the weekend. And these kind of second, third, fourth gear roads, I just have a blast on. So it's super. Huh. Very cool. Yeah. How about you? What have you been up to with any of your free time? |
|Unknown|Yeah. So like I said, we've got full on winter here. So I've been this is I think the earliest winter or season that I've been able to get out on cross-country skis with reliable conditions and I'm just thrilled about that. I was out just yesterday and it's like mid-season conditions on some of the trails. I live between a couple of groomed, you know, about 5k loops, kind of some moderate hills and just sort of sweeping through trees and that sort of thing. And so it's just been really amazing to get out this early and ski. You know, in the past, Often I've had to wait until sometimes almost January to get reliable snow that they're able to groom with any good quality. And hence the rowing machine purchase. I thought I'd be kind of bound to the basement for my exercise for a couple of months, but this is great. I love being able to get out. It's been today again, it's blue sky and sun and twenties, which is perfect, perfect for any sort of outdoor exercise in the winter. And so that's been great. And you know, not living anywhere where we have a lot of, sort of dirt roads or off-road trails. Uh, this is my big opportunity to do quote unquote off-roading with the Land Rover. So, you know, it's fun to throw it in four wheel drive and kind of bash around the unplowed alleys and rescue stranded cars and that sort of thing. The nights, nights we get snowstorms. So yeah, for sure. That's been a lot of fun too. That's great. Oh, and then I got a, I got a, we got a drone, uh, sort of a year-end business write-off that we've been eyeing for for quite a while and you know I've polled a few people on which one to get and we settled on the Mavic 2 Pro. So it's got a Hasselblad, little Hasselblad lens camera on the front and we got the smart controller with it. This is not the the zoom version which does not have the the Hasselblad camera on the front so that we kind of opted for image quality over the ability to zoom for any sort of cinematography purposes. But I haven't had a chance to try it. It just arrived two days ago and we had a bit of a snowstorm and I thought that probably wouldn't be the best time to take it out. So excited to go and have some fun with this thing. |
|Unknown|Yeah, they're super fun. I've flown the Mavics before and actually the first time I ever flew a drone wasn't even that long ago. It was a project that you and I actually worked on and you were underwater at the time and I figured I would fly it out of the boat.  And then I didn't quite realize just how stressful that is. You know, somebody else's thousand dollar drone and I was, you know, having it take off out of my hand. It was very, very calm water, of course, but like still you just kind of like, well, it's now in the air. So to get it back, I literally need to drop it on this, I don't know, eight square feet or whatever of deck.  Yeah. And, uh, they're, they're amazing, really, really amazing technology. They're super fun to use. And, uh, certainly if you have the excuse, whether it's for, to capture, you know, these giant wide angle stills or some really awesome video, uh, they're a tool that kind of can't be beat for the job. |
