
# The Grey NATO - Ep 96 - DOXA
Published on Thu, 19 Dec 2019 06:00:33 -0500



## Synopsis
This is the final episode of The Graynado podcast for 2019. Jason and James discuss the year in review, highlighting the growth of the podcast and their partnership with Hodinkee. They thank their listeners and sponsors for a successful year. The main topic is a deep dive into the Swiss watch brand Doxa, known for its distinctive dive watches with bright colored dials. They cover the history of the brand, its iconic designs like the Doxa Sub 300, current model lineup and pricing. They share their personal experiences and favorite Doxa watches from their collections. The episode concludes with some final notes, podcast recommendations, and well wishes for the new year.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-96-doxa)
- [episode MP3](https://www.buzzsprout.com/2049759/11311024-the-grey-nato-ep-96-doxa.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of the Graynado, a Houdinki podcast. A loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 96 and we thank you for listening. Hey, how's it going? This is our last episode of the year, James. |
|James Stacey|It sure is. Yeah, it's, uh, yeah, 96, you know, we're getting pretty close to 100 and yeah, this will be the last one. The next one will come out just... Like the second.  Just barely into 2020, which is a fun sentence to say, I suppose. 2020 feels so much more aggressive than 2019. Yeah. A new decade. It feels more like 2020 really feels like a, not only a new decade, but it feels like a title from a science fiction novel. You know, like an important year in the development of our species. We'll see. Yeah. I mean, you know, 2019, it's been an incredible year for TGN. |
|Jason Heaton|It sure has. I mean, we, I mean, going back slightly into 2018, we had that really fun meetup out in New York during the week of H10, and that was in December. And I kind of feel like that sort of kicked things off for what became such a big year for us. And then certainly our partnership with Hodinkee, which launched this year. And that's just been really rewarding for us. You know, we brought in a lot of new listeners and some new opportunities. Some new sponsors came on board.  Yeah, it's just, you're right, it was our biggest year yet. I'm sure 2020 will just continue to grow. |
|James Stacey|I hope so. I mean, a huge thank you from Jason and I to everyone who's been listening, whether it's just you just started this year, or you've been around for the past several years. We can't thank you enough that we get the chance to do this. And you know, the number has to, there has to be someone listening on the other side for it to be possible for a couple guys in our position to put these sorts of things together.  This has been a great year. I think there's a lot of like proof of concept in that. And part of that comes with the advertisers. So along with the listeners, a big thank you to this year's advertisers. So that's Alps and Meters, Drive Coffee, Garmin, Manta Watches, Gear Patrol, Bremont, Hamilton and Oris. And like if you and I had sat down a couple of years ago and tried to dream up some great sponsors, some people who like we align with not only at a product level, but people we know and like at a personality level.  I think we nailed almost all of them in one year. |
|Jason Heaton|I think so. Just you reading that just made me kind of get goosebumps. I mean, that's quite a list that feels so TGN. And I remember back when we were in Colorado and we sat down with the guy from Drive Coffee and chatted with him and then Alps and Meters was talking to us and it was like, you could kind of feel the buzz building. And I thought, you know, it's going to be a good year, but I had no idea we'd get all these other great brands on board as well. So yeah, thanks to Thanks to the sponsors and then of course to our listeners. And I think that, you know, both serve each other. I think, uh, hopefully we've stayed loyal to what TGN is all about with, even with bringing in these advertisers that I think are well suited for, for what our listeners are into as well. So, um, good, good stuff. |
|James Stacey|I would agree.  And outside of that, since we talked last, what have you been up to? How's the weather? Are you still getting some skiing in? We got some snow on the ground. What's the scene? |
|Jason Heaton|Yeah, we've got a good bed of snow here. And then my skiing sort of got sidetracked a little bit. It's been just super cold here, or it was this past week. So I was back on the rowing machine in the basement. I sort of wimped out. But yeah, kind of staying busy.  just the brief sort of fitness update since our fitness episode, you know, I was doing the, the a hundred pushup challenge with, with that app. And, uh, I sort of veered from the app. Uh, I was sick and kind of took a week off and then was, I was getting back into it. I was like, you know what, I'm never going to be able to do a hundred pushups in a row. So, so I sort of, I sort of started my own program and I'm kind of just doing, you know, multiple sets doing about 80 pushups a day. So it's, uh, you know, That's good for a guy who's pushing 50 years old. I think I'll be happy with that. And then rowing and skiing. So I'm staying on top of it. Yeah, that's great. I'm glad to hear it. |
|James Stacey|What about for me? Yeah, I mean, you know, when I'm in Toronto, I'm on the bike. I'm still really enjoying that as a mode of exercise that feels, you know, in many ways equal to running.  Um, which I'm happy with, uh, but you know, this is such an insanely busy time of year for Hodinkee. And there's something every couple of days that requires months and months of work beforehand. So it's, it's crazy to see it all kind of start to come up. And that includes, you know, a handful of LEs have gone up since the last time that we recorded and the new Leica camera, the ghost edition M10P with Leica. |
|Jason Heaton|Yeah. What do you think of that? What, what's your, what's your take on that? I mean, I know you're.  You're a fan, you're, uh, you know, certainly a congrats on that, on that really cool Leica video that, that Hodinkee put up in partnership with Leica. But what, what's your feeling on the M10, the ghost edition? Do you like it? |
