
# The Grey NATO - Ep 97 - Our Best Bits Of 2019
Published on Thu, 02 Jan 2020 06:00:43 -0500



## Synopsis
The hosts reflect on their favorite adventures, content, and experiences from 2019, as well as discuss their hopes for 2020. Some highlights include Jason's road trip in his new Jeep, travel for work like the Formula 1 race in Monaco, diving trips to places like Bonaire and Mexico, and hiking in Wales. They discuss their favorite movies like Parasite, TV shows like Succession and Barry, podcasts, audiobooks, and music albums. For 2020, Jason hopes to find better work-life balance and take more personal trips, while the other host plans to finish writing a novel and do more hiking and outdoor activities.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-97-our-best-bits-of)
- [episode MP3](https://www.buzzsprout.com/2049759/11311023-the-grey-nato-ep-97-our-best-bits-of-2019.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Gray Nado, a Hodinkee podcast. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 97 and we thank you for listening to the first episode of 2020. Jason, how you doing, man? |
|Other Host|Good. Yeah, we're straddling the new year here. We're recording just before New Year's and this goes live one day into the new year. |
|Jason Heaton| Yeah, it's gonna be, I think it's gonna be a great year. I'm looking forward to it. Yeah, new decade. Yeah, you know, it's funny, I don't always enter the new year with like a lot of optimism. Sometimes it feels like there's a loss of momentum this time of year, with holidays and everything else where it really starts to drag on me. It's also a lot of socializing, which I find weighs me down in a big way.  But I'm feeling pretty crispy about this coming year. I think it could be great. I think it's going to be a great year for TGN and for the sort of work that you and I like to do, the stuff that we really enjoy doing. Yeah, I agree. And yeah, how about the holidays? They've been going fine for you so far? |
|Other Host|Yeah, I kind of got in the spirit this year. I mean, it was fun. We saw some friends for dinner, went to a show, spent Christmas with my parents.  Uh, did a little baking and cooking and I don't know, just, it felt more festive this year. It was really fun. And then, uh, I got a really cool gift. Uh, my parents obviously were listening to our gift guide episode, uh, a couple of weeks ago and I got the Lego defender. Hey, there you go. So I'm super excited. The box is here and that might be the new year's day plan. I'm not sure, but, uh, I've seen pictures, you know, people have been posting this, uh, people that have built it and it looks amazing. I mean, there's like the pistons go up and down and the, You can raise and lower the suspension, and I'm super excited. I mean, I feel like a kid, truly. |
|Jason Heaton|Yeah, for sure. I feel for you. I just did my family Christmas a couple days ago, and we do it a little late for my family. And my brother actually bought me the same kit. And so I also have an entire LEGO Defender to build, and it's got a four-speed transmission and a functionally correct engine.  And yeah, this crazy suspension and some off-road gear that clips onto it. It's like 2,500 pieces. I don't know for the life of me when I'm going to have the time, but I might be able to start it on the first or something like that. So maybe we'll be Defender build teams. We should, I don't know, YouTube live stream it or something as we click our way through 2,500 pieces of Lego. |
|Other Host|Yeah. It's a little intimidating. And I, you know, I've got the Saturn V rocket that I built and it's, I can see it from my desk here. It's over on a side table and I always think If that fell on the floor and broke, there's no hope to putting it back together because you build it, you know, in modules, um, based on the instructions. And, you know, if it's shattered, that'd be, I'd be ruined. I don't, I mean, or it would be ruined. I guess I would be, I don't know. It's like a, it's like those Buddhist sand mandalas that you build and then you throw into the wind when you're done with it. But, uh, I don't want that. I don't want to do that with this. |
|Jason Heaton|No, I think, I think if, if such a time comes to one of our defenders has a, you know, a bad crash and it has to be written off, I think that's the end of it. |
|Other Host| That's the end of it. |
|Jason Heaton|Yeah. Yeah. So it's a pretty killer gift. You know, your parents crushed it with that one, as did my brother. That's, uh, it, you know, it's probably 10 hours of like fairly intense focus, uh, to build something like that. And then, uh, did you, did you snag anything else? Uh, any other gifts come to mind or little experiences or. |
