
# The Grey NATO - Ep 98 - Collection Inspection Vol 8
Published on Thu, 16 Jan 2020 06:00:10 -0500



## Synopsis
In this episode, Jason and James discuss their latest watch acquisitions as part of their ongoing "Collection Inspection" series. James talks about his recently obtained Oris Hodinkee Limited Edition Divers 65, highlighting its unique features like the handwound movement, screw-down crown, and attractive gray colorway. Jason shares details about his vintage 1968 Omega Speedmaster Professional, touching on its historical significance, robust build, and versatility across different strap options. They explore the appeal and collectibility of the iconic Speedmaster in relation to its role in space exploration.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-98-collection-inspection)
- [episode MP3](https://www.buzzsprout.com/2049759/11311022-the-grey-nato-ep-98-collection-inspection-vol-8.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to another episode of The Grey Nado, a Houdinki podcast. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. My name is James Stacy. This is episode 98. We thank you for listening. And I'm here with Jason. How's it going, man? Hey, good. |
|Jason Heaton|Yeah, really good. It's, uh, you know, well into the new year and got some, got some things cooking and You know, despite the kind of gloomy weather here, it's all's well. |
|James Stacey|Yeah, you know, it's kind of a kind of a mixed bag. It's been a little bit colder. Is it pretty cold in Minneapolis? |
|Jason Heaton|It's been a roller coaster yesterday. It was boy, it was really chilly. I don't know what it was in centigrade, but it was in the single digits Fahrenheit. And today it's it's pushing the thawing point. So zero centigrade, 32 Fahrenheit. And yeah, so you don't quite know how to dress on a given day. |
|James Stacey| But yeah, I'm feeling the same way here. It's kind of up and down. It's, you know, it's below freezing today. I was just out running some errands and it got real cold, got pretty chilly on my walk around. My fingers got fairly cold, but yeah, made it back in time to make a nice, strong cup of coffee. And now for a quick record. Yeah. I know the other thing that you've done as far as achievements since the last time we talked is while my Lego Defender remains in its 2,500 plus pieces, you have yours assembled. |
|Jason Heaton| Yes, so Ghoshani and I worked on it together. It's the first time. So when I did the Saturn V rocket, I did it by myself. And it certainly was fun, but it was fun to do it together. And we did it over, I think, about four nights. It took about three hours each night. So, you know, we might have worked slower. I was talking to a guy who did his in one eight-hour push, which seemed like I'd have, you know, be cross-eyed by the end of that. Yeah, it was fun to kind of do it in modules and then kind of set it aside, come back to it the next night. We were sitting by the fire and doing it every day.  Um, it came together. We had a bit of a crisis on day three. I had, you know, we were well into it and then it came time to attach a piece. And I realized that way before this I had installed one of the kind of the cross members on the frame of the truck. Uh, I was off by one hole and that was going to jeopardize the remainder of the build. So we actually had to backtrack and disassemble all the way back to that point because, you know, If anyone's done these complicated Lego models, they're done in steps and you can't just sort of start pulling stuff apart because you won't know where things go once you put it back together. I think that's kind of the downfall, not downfall, but the negative aspect of these is that you can't just creatively patch stuff together. You have to kind of do it in order. So I had to backtrack and take everything apart back to that level and move that one piece over by one hole and then reassemble it.  So all's well, it's together. I'm discovering a few little things that need to be pushed together, tightened up, adjusted a little bit, but it looks really, really good. It was really a lot of fun. |
|James Stacey|We got to do the old 10, 50, 100.  shake down your drive at 10 miles and then see what falls off, drive another 50, see how it falls off. |
|Jason Heaton|Yeah, exactly. |
|James Stacey|But yeah, I'm glad it's coming together. I'm eyeballing a couple of big Lego boxes that I need to get to eventually. And I just, man, I had a kind of a busy holidays. I didn't, you know, the few times that I had a night, um, where I wasn't driving really late back from family or friends or something like that. I really did just kind of like sit still and listen to music or watch a movie or something. I find that the Lego thing can be a task, depending on what your mental state is. |
|Jason Heaton|Well, as well as the space required. I mean, once you lay it out, you're kind of, you know, you're kind of committed, you know, unless you're going to shovel it all back into a Ziploc.  The whole thing is about organizing by color, by shape or whatever you want to do. And then once you have it spread out, you're kind of set for the next few hours, you know, so if you're going to read a book, you know, you, you know, that that's simple enough, but like committing to this is, uh, you gotta be ready for it. |
|James Stacey|Yeah, I did. I did, uh, you know, kind of warm up my Lego-ing fingers. I, um, you know, I've talked quite a bit in the, on some past episodes about the, uh, speed champions, these little cheaper car sets, uh, that mimic, you know, real life vehicles.  Yeah. And they recently, you know, announced a handful of new ones, including like a Ferrari F8 Tributo and a couple bigger sets, including like a Lamborghini one and a Nissan GT-R Nismo and that kind of thing. But the one that caught my eye and I ordered it immediately was a little 85 Audi Sport Quattro S1, like the very end, tail end Group B, yellow and white with the giant air dam and the huge wing and Oh, yeah. |
|Jason Heaton|The car looks like a Lego in real life. |
