
# The Grey NATO - Ep 99 - Gold Oris And The Black Diamond Boys
Published on Thu, 30 Jan 2020 06:00:30 -0500



## Synopsis
This episode of The Grey Nato podcast features an interview with Martha Ressler from the Coral Restoration Foundation, a nonprofit dedicated to restoring coral reefs. Martha discusses the organization's mission, the process of growing and replanting coral, and the threats facing coral reefs like the Florida Reef Tract. She shares details about the foundation's partnership with watchmaker Oris, which has released a limited edition solid 18k gold diving watch where proceeds will benefit coral restoration efforts.
The hosts also review the Oris Carysfort Reef Limited Edition watch, providing details on its design, functionality as a dive watch, and significance as Oris' first solid gold sports watch. They discuss how it connects to the brand's outdoorsy ethos and ski culture. The episode features commentary on the hosts' experience skiing at Vail while wearing apparel from Alps & Meters, another sponsor.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-99-gold-oris-and-the)
- [episode MP3](https://www.buzzsprout.com/2049759/11311021-the-grey-nato-ep-99-gold-oris-and-the-black-diamond-boys.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Gray Nado, a Hodinkee podcast. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 99, and we thank you for listening. This episode is proudly brought to you by Alps and Meters. It's a skiing-heavy episode, so why not bring in a great apparel brand that connects nicely with skiing both on and off the mountain.  Well, here we are face to face in Colorado face to face. |
|James Stacey|This is one of the few episodes of the year. Like people who listen know that this will be the third time that we've done the Oris kind of winter preview or spring. I don't know what you call it. New year preview. Yeah. Right. So the, and they do this in Colorado and it's basically a press trip. There's a bunch of other, like all of the normal watch folk that you follow on Instagram or here. And, uh, and it's one of maybe Probably three times a year that we're face-to-face. Yeah, the Braymont one we do occasionally and and then the odd New York meetup Yeah, the odd New York one and the odd like Basel, right? Yeah. Yeah, but this is one where like there's Legitimately like time in the schedule that works perfectly we see some watches like we ski in the morning, right? It's super fun You and I don't ski a ton, but it's a nice day out Yeah, and we've now lucked out two years in a row with some of the most incredible weather And what a gorgeous state, and Vail's fantastic. And then we get to go to lunch, and you get to see some watches, some that we can talk about, some that we can't. And then we basically go right from there back to my hotel room in this case, and we're sitting near a fire. And yeah, we've got a couple of microphones. So let's do episode, and we're almost at episode 100. |
|Jason Heaton|Yeah, I know. Geez, what a milestone. Man, this is the last of the old century, I guess you'd call it. So yeah, onward. |
|James Stacey| So yeah, today was a pretty fun day. Like I said, so Jason, I don't do a ton of skiing, you a little bit more than me. I would say I'm ski capable. |
|Jason Heaton|I'm barely that. |
|James Stacey|Yeah. You know, I can ski. I'm not a proficient skier. I'm not a talented skier, but I do absolutely relish the opportunity, especially in a scenario where it's combined with work. So I kind of don't have any other reason to say like, well, no, it's too expensive or I don't have the time or all these other things. So Yeah, this is a nice way to get that day of skiing in a year. |
|Jason Heaton|Yeah, I feel like I, you know, I mean, we don't have mountains in Minnesota, so I always feel like any skiing I do there early season is almost in preparation to come out here because I'm a bit scared of just showing up here, you know, totally fresh. I guess you did, but in skiing with Rolf Studer, who's the CEO of Oris and just an incredibly talented and accomplished skier. And then Vijay Geronimo, the CEO of Oris North America, skied today.  with us and that was a great chance. The past two years he's kind of gone with the other non-skiing group of journalists that comes and they do things like snowmobiling and today they went snowshoeing. But Vijay, you know, he promised us one of these years he'd come skiing with us and so he did all the runs with us. |
|James Stacey| It's a solid day. I mean, it's big hills. You and I, you and I are squarely when it comes to Colorado Rockies were blue square folk. Yes, exactly. We dipped ever so briefly. It took longer than it should have, but ever so briefly into the black diamond realm on an un groomed piece in the back bowl that really, really demanded the most of my patience and also my thigh strength. |
|Jason Heaton| Oh, my legs are burning. And I forgot to pack ibuprofen. I don't know if you have any, but man. I do. Yeah. |
|James Stacey|No, I always had pink. |
|Jason Heaton|I'm sure I got. Yeah. So, you know, we started out the day, um, kind of, uh, went up to the top and, you know, it was a little chilly in the morning and we headed up on the lift, all of us, uh, with, uh, Barbara Palumbo and Vijay and Rolf and Matt Heronic was here. Um, super fun to be able to like hang out with Matt. Yeah. And, and so we went up, uh, on the first lift, got the first, first chair of the day and, went up and we did kind of a green run to kind of warm up a little bit and then went right into some blue runs and then you know Rolf I think he lives by that credo that you know you'll never get better if you don't just try something that's a little beyond your abilities. For sure. |
|James Stacey|We went a little like it wasn't like maybe I think that's true if you go like five percent. Yeah. Towards the middle of the day when you're warmed up and we were warmed up. |
|Unknown|Sure. |
|James Stacey|It wasn't and like I wouldn't say it was terrible. It was just like beyond me. |
|Jason Heaton|Yes. Yeah. Me too. Me too. I'll fully admit. So we got up to, you know, you keep going up and up and up and take various lifts and kind of work your way across the range here. And we got up to the top and there's the famous back bowls of Vail, which for those that aren't familiar, you know, you kind of, Vail's, the town of Vail is sort of sits down at the bottom of the, of the ski area and the mountain sides that you see from the town or what they call the front side.  And then once you get up to the top, if you crest over the top of those mountains and you go down the back of it, you get into what are called the back bowls. And it's like a big, it's a big bowl of mountains. You dip back into a whole other valley and yeah, for sure. And most of that, or a lot of that is ungroomed. There's a lot of trees, powder skiing, which people love. That's what people come here for. Of course, this was my first time skiing powder and it was not groomed and it was bumpy and it was steep. |
|James Stacey| um i didn't see signs but you know we ducked under and don't tell anybody but we ducked under a we were trying to make our way to what we thought was a blue square and then we got about like i was in i was like i'm okay with steep if it's groomed yeah like i think that run groomed would have been fine sure yeah but it's it was the mix of steep and then it's light powder on top of like heavier stuff so if you try and turn hard yeah Yeah. My outside leg wouldn't always cooperate. So I bailed at least once, lost a ski, the whole, which is fine. |
|Unknown|Like, yeah, sure. This is skiing. Yeah. |
|James Stacey|Right. And if you're going to fall, fall in powder. Oh, it was, I had no problem falling. |
|Jason Heaton|I had no problem falling. |
|James Stacey|A little bit more work to put everything back together. |
|Jason Heaton|Yeah, exactly. You lose your ski in about six feet of snow below you. But, uh, Yeah, it was fun. And Rolf and Vijay, you went on ahead a little bit, and Matt went way on ahead. |
